Source Name,Sample Name,Factor Value[Spaceflight],Term Source REF,Factor Value[Altered Gravity],Parameter Value[Body Weight at Launch],Parameter Value[Body Weight at Euthanasia],Unit,Term Accession Number,Parameter Value[Age at Euthanasia],Parameter Value[Euthanasia Date],Parameter Value[BSP Dissection Date]
MHU-8_FLT02,MHU-8_RTN_FLT_FLT02,Space Flight,MESH,0.33G by centrifugation,26.1,27.59,gram,http://purl.obolibrary.org/obo/UO_0000027,15 - 16,15-Apr-2023,15-Apr-2023
MHU-8_FLT06,MHU-8_RTN_FLT_FLT06,Space Flight,MESH,0.33G by centrifugation,26.2,24.45,gram,http://purl.obolibrary.org/obo/UO_0000027,15 - 16,16-Apr-2023,16-Apr-2023
MHU-8_FLT10,MHU-8_RTN_FLT_FLT10,Space Flight,MESH,0.33G by centrifugation,26.8,28.02,gram,http://purl.obolibrary.org/obo/UO_0000027,15 - 16,16-Apr-2023,16-Apr-2023
MHU-8_FLT14,MHU-8_RTN_FLT_FLT14,Space Flight,MESH,0.33G by centrifugation,24.9,24.95,gram,http://purl.obolibrary.org/obo/UO_0000027,15 - 16,16-Apr-2023,16-Apr-2023
MHU-8_FLT18,MHU-8_RTN_FLT_FLT18,Space Flight,MESH,0.33G by centrifugation,26.8,26.41,gram,http://purl.obolibrary.org/obo/UO_0000027,15 - 16,16-Apr-2023,16-Apr-2023
MHU-8_FLT22,MHU-8_RTN_FLT_FLT22,Space Flight,MESH,0.33G by centrifugation,25.9,25.45,gram,http://purl.obolibrary.org/obo/UO_0000027,15 - 16,16-Apr-2023,16-Apr-2023
MHU-8_FLT03,MHU-8_RTN_FLT_FLT03,Space Flight,MESH,0.66G by centrifugation,26,24.35,gram,http://purl.obolibrary.org/obo/UO_0000027,15 - 16,15-Apr-2023,15-Apr-2023
MHU-8_FLT07,MHU-8_RTN_FLT_FLT07,Space Flight,MESH,0.66G by centrifugation,26.5,26.07,gram,http://purl.obolibrary.org/obo/UO_0000027,15 - 16,16-Apr-2023,16-Apr-2023
MHU-8_FLT11,MHU-8_RTN_FLT_FLT11,Space Flight,MESH,0.66G by centrifugation,26.4,24.33,gram,http://purl.obolibrary.org/obo/UO_0000027,15 - 16,16-Apr-2023,16-Apr-2023
MHU-8_FLT15,MHU-8_RTN_FLT_FLT15,Space Flight,MESH,0.66G by centrifugation,27.2,24.49,gram,http://purl.obolibrary.org/obo/UO_0000027,15 - 16,16-Apr-2023,16-Apr-2023
