"","RR10_Cb_FLT_WT_F1","RR10_Cb_FLT_WT_F3","RR10_Cb_FLT_WT_F5","RR10_Cb_FLT_WT_F7","RR10_Cb_FLT_WT_F9","RR10_Cb_GC_WT_G1","RR10_Cb_GC_WT_G3","RR10_Cb_GC_WT_G5","RR10_Cb_GC_WT_G7","RR10_Cb_GC_WT_G9"
"ENSMUSG00000000001",1339,1431,1990,3616,3709,3094,1203,3178,2103,2028
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",47,47,76,192,204,141,80,165,101,118
"ENSMUSG00000000031",64,42,14,329,92,236,37,212,38,46
"ENSMUSG00000000037",34,6,10,9,43,35,10,17,16,22
"ENSMUSG00000000049",22,6,18,8,17,2,2,12,17,16
"ENSMUSG00000000056",1172,1310,2213,4310,5240,3216,1446,3902,2703,2150
"ENSMUSG00000000058",3370,521,1122,1809,1204,2935,634,1621,1125,1273
"ENSMUSG00000000078",2774,1570,1971,3553,3931,4235,1538,3392,2136,2029
"ENSMUSG00000000085",735,668,686,1799,2002,1255,815,1509,1041,944
"ENSMUSG00000000088",2215,2362,5693,6906,7331,4945,2529,6838,6434,4307
"ENSMUSG00000000093",16,10,36,24,61,39,9,20,22,47
"ENSMUSG00000000094",0,3,8,0,10,7,2,11,4,6
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",20,79,186,246,162,218,50,149,165,152
"ENSMUSG00000000125",32,105,312,583,791,276,155,724,342,440
"ENSMUSG00000000126",489,34,50,74,88,232,23,73,31,42
"ENSMUSG00000000127",1188,1385,1375,2852,2590,1808,1334,2151,1516,1469
"ENSMUSG00000000131",1585,1353,1757,3303,5031,2713,1460,3009,2251,2563
"ENSMUSG00000000134",451,369,567,953,1494,868,354,1085,804,759
"ENSMUSG00000000142",560,652,680,1050,1436,975,526,1189,790,681
"ENSMUSG00000000148",376,257,483,1051,1382,626,343,775,629,507
"ENSMUSG00000000149",1125,1258,3438,2471,3534,2329,922,3407,2867,2933
"ENSMUSG00000000154",22,12,12,32,26,98,14,56,19,21
"ENSMUSG00000000157",0,0,1,2,0,4,0,0,0,0
"ENSMUSG00000000159",0,6,11,3,1,31,1,9,5,5
"ENSMUSG00000000167",54,43,80,58,53,196,33,82,80,64
"ENSMUSG00000000168",2521,2327,5024,6397,7405,5082,1935,5322,4285,4707
"ENSMUSG00000000171",3052,3170,5925,11600,8023,5796,3700,7936,5797,3963
"ENSMUSG00000000182",3,0,3,15,14,13,0,11,4,3
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",1269,250,538,314,476,2246,166,599,499,713
