"","RR10_HPC_FLT_WT_F1","RR10_HPC_FLT_WT_F3","RR10_HPC_FLT_WT_F5","RR10_HPC_FLT_WT_F7","RR10_HPC_FLT_WT_F9","RR10_HPC_GC_WT_G1","RR10_HPC_GC_WT_G3","RR10_HPC_GC_WT_G5","RR10_HPC_GC_WT_G7","RR10_HPC_GC_WT_G9"
"ENSMUSG00000000001",3519,3878,1907,1467,1909,1184,835,644,1794,3159
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",109,116,42,75,77,49,15,25,67,107
"ENSMUSG00000000031",18,39,19,35,21,6,8,3,59,69
"ENSMUSG00000000037",44,46,21,38,21,20,18,26,45,17
"ENSMUSG00000000049",34,15,30,9,17,2,7,7,30,16
"ENSMUSG00000000056",3814,3574,2022,1467,2482,1272,839,874,1683,3438
"ENSMUSG00000000058",3384,3927,2396,2097,2374,1662,1665,1237,3089,4513
"ENSMUSG00000000078",5864,4957,2766,2083,3167,2231,1351,1331,2719,4560
"ENSMUSG00000000085",1837,1650,708,700,1035,698,786,459,1154,1633
"ENSMUSG00000000088",8999,8199,5064,3185,4554,3680,2106,1846,5260,7086
"ENSMUSG00000000093",37,48,25,19,21,15,12,7,18,46
"ENSMUSG00000000094",14,5,12,8,15,0,2,8,0,6
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",289,207,134,24,90,48,26,24,117,346
"ENSMUSG00000000125",1151,698,235,214,349,170,109,150,97,392
"ENSMUSG00000000126",817,650,255,257,297,234,124,120,266,502
"ENSMUSG00000000127",2654,3407,1538,1358,1859,1327,1238,845,1798,2708
"ENSMUSG00000000131",5988,4570,2230,1730,2569,1168,1035,709,1706,4492
"ENSMUSG00000000134",1528,1169,589,475,713,352,273,226,443,1179
"ENSMUSG00000000142",2077,1868,919,867,1149,774,785,601,991,1503
"ENSMUSG00000000148",1422,987,408,446,580,363,256,247,400,1185
"ENSMUSG00000000149",6797,4963,2828,1867,2994,1369,999,861,1941,4961
"ENSMUSG00000000154",65,99,41,23,39,6,9,13,20,90
"ENSMUSG00000000157",0,1,0,0,0,1,1,3,0,0
"ENSMUSG00000000159",16,16,4,7,4,9,2,1,6,10
"ENSMUSG00000000167",173,238,99,108,97,98,47,34,111,144
"ENSMUSG00000000168",8923,7490,3536,2995,4276,1966,1561,1197,3178,6182
"ENSMUSG00000000171",7889,7966,5346,4224,5301,4016,2590,2789,6917,7100
"ENSMUSG00000000182",3,6,0,7,6,3,5,1,6,1
"ENSMUSG00000000183",0,5,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",3415,4363,1825,1821,2020,938,685,488,1370,3881
"ENSMUSG00000000194",4199,3383,1466,1308,1920,1069,768,600,1263,2987
"ENSMUSG00000000197",18916,17589,8513,6934,9848,5995,5200,4371,8136,14520
"ENSMUSG00000000202",1595,1407,821,561,742,473,275,244,475,1363
"ENSMUSG00000000204",1,1,0,0,0,0,1,1,0,0
"ENSMUSG00000000214",193,220,78,63,225,93,22,49,102,177
"ENSMUSG00000000215",44,45,16,7,13,12,2,2,20,11
"ENSMUSG00000000216",24,29,13,5,4,0,3,2,10,4
"ENSMUSG00000000223",4852,4096,1873,1661,2496,1088,927,588,1765,4340
"ENSMUSG00000000244",9,34,6,6,20,7,4,2,10,4
"ENSMUSG00000000247",889,1241,641,591,624,298,324,261,747,1296
"ENSMUSG00000000248",2,4,0,0,0,0,0,0,0,0
"ENSMUSG00000000253",2521,1816,926,790,1182,572,339,398,1004,1866
"ENSMUSG00000000263",482,348,60,82,235,84,35,40,31,116
"ENSMUSG00000000266",3767,3079,1501,1236,1916,1000,755,593,1323,2802
"ENSMUSG00000000275",468,512,190,247,267,178,161,98,285,530
"ENSMUSG00000000276",7539,5946,2292,2234,2999,1478,1150,843,2149,4810
"ENSMUSG00000000278",1200,1097,565,430,612,337,241,217,455,1045
"ENSMUSG00000000282",1058,852,347,437,494,227,167,132,407,827
"ENSMUSG00000000290",461,464,248,196,324,173,113,77,178,495
"ENSMUSG00000000295",974,1051,632,496,716,544,439,364,895,965
"ENSMUSG00000000296",2003,2166,848,1049,1025,936,499,615,949,1257
"ENSMUSG00000000301",157,188,103,75,99,66,31,48,91,166
"ENSMUSG00000000303",226,329,190,154,256,158,116,67,185,357
"ENSMUSG00000000305",1980,1429,393,655,773,379,218,283,406,954
"ENSMUSG00000000308",19242,11621,4706,4949,7350,3526,2100,1846,4474,10689
"ENSMUSG00000000317",69,108,43,42,57,36,20,16,27,172
"ENSMUSG00000000318",73,121,64,47,40,50,39,27,66,113
"ENSMUSG00000000320",46,40,21,29,9,22,8,5,18,36
"ENSMUSG00000000326",4802,4005,2021,1598,2371,1379,806,816,1759,3708
"ENSMUSG00000000339",3136,2365,1447,1067,1465,912,636,533,1265,2187
"ENSMUSG00000000340",1911,2004,1057,819,1177,634,468,343,1029,1938
"ENSMUSG00000000346",6393,5998,3762,2707,3573,2028,1460,1177,3321,6501
"ENSMUSG00000000355",3042,3591,1684,1297,1886,1190,1042,747,2131,3137
"ENSMUSG00000000359",43,31,20,17,16,11,3,2,19,22
"ENSMUSG00000000365",77,69,65,86,53,51,30,16,36,129
"ENSMUSG00000000374",10143,7739,3687,2890,4690,2006,1526,1325,3077,7849
"ENSMUSG00000000378",3071,2208,1151,767,1312,761,499,535,1012,2207
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",1240,963,397,352,420,284,221,141,357,1045
"ENSMUSG00000000385",1,10,0,10,6,7,0,1,0,0
"ENSMUSG00000000386",7,6,9,8,3,8,0,6,1,4
"ENSMUSG00000000392",234,393,108,123,195,120,79,34,222,176
"ENSMUSG00000000394",2,0,5,0,0,0,0,0,0,0
"ENSMUSG00000000399",10672,10750,5419,4217,6028,3353,2245,1965,5142,8969
"ENSMUSG00000000402",332,329,148,161,191,104,66,62,102,291
"ENSMUSG00000000409",80,106,34,56,57,33,17,37,66,62
"ENSMUSG00000000411",12,7,4,0,6,0,1,0,1,12
"ENSMUSG00000000416",5369,3880,1440,1973,2397,1559,1547,973,2131,4429
"ENSMUSG00000000420",5216,4734,2519,1868,2875,1368,1024,746,2167,4067
"ENSMUSG00000000435",0,0,3,0,0,0,0,0,0,0
"ENSMUSG00000000439",2636,2330,1300,834,1509,716,525,403,1055,2154
"ENSMUSG00000000440",167,202,119,101,121,68,91,40,122,158
"ENSMUSG00000000441",4566,3990,1892,1482,2235,1391,1048,833,1835,3416
"ENSMUSG00000000486",51,37,29,22,17,24,7,6,30,75
"ENSMUSG00000000489",658,686,430,292,313,165,128,110,233,621
"ENSMUSG00000000530",765,679,368,322,477,212,166,127,383,932
"ENSMUSG00000000531",1025,958,441,409,479,229,208,130,370,932
"ENSMUSG00000000532",6862,5374,2094,2100,2793,1293,1005,742,1955,4918
"ENSMUSG00000000538",18717,12731,5784,5886,7772,3361,2825,2171,5441,13584
"ENSMUSG00000000544",2,0,0,0,2,0,1,0,0,0
"ENSMUSG00000000552",3013,1651,562,687,948,502,299,273,576,1685
"ENSMUSG00000000555",259,166,75,57,75,53,44,23,108,227
"ENSMUSG00000000560",7930,4126,1832,4364,2013,2459,2297,2497,5695,3246
"ENSMUSG00000000561",1637,1978,834,613,882,524,485,401,1003,1362
"ENSMUSG00000000562",38,58,28,18,21,18,6,3,21,41
"ENSMUSG00000000563",27166,25085,15024,10884,13400,11767,7875,6903,16320,22284
"ENSMUSG00000000567",2989,1894,796,1406,1371,936,643,474,1427,2685
"ENSMUSG00000000568",8336,7055,2648,3299,3728,2121,1885,1207,2891,6948
"ENSMUSG00000000579",103,122,72,41,63,40,36,16,78,132
"ENSMUSG00000000581",5095,6371,4064,2441,3370,3313,2719,2014,5574,4914
"ENSMUSG00000000594",6120,5804,2791,2103,3381,1682,1066,929,2485,4744
"ENSMUSG00000000600",4634,4136,1773,1908,2395,1589,1525,997,2151,3462
"ENSMUSG00000000605",19824,17215,9012,6498,9795,5267,3609,3205,7047,14050
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000000627",1650,1421,563,707,835,354,220,245,541,1392
"ENSMUSG00000000628",452,345,242,197,278,87,65,78,175,533
"ENSMUSG00000000631",7779,5461,2043,2731,3333,1612,1291,964,2229,5999
"ENSMUSG00000000632",11432,5045,1920,3217,3575,1664,1196,947,2197,7348
"ENSMUSG00000000673",15,17,10,7,5,15,5,2,9,9
"ENSMUSG00000000682",226,234,222,113,123,145,89,93,224,229
"ENSMUSG00000000686",161,125,68,50,66,28,21,21,26,89
"ENSMUSG00000000690",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000693",304,495,168,118,227,97,60,45,113,384
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",18,8,7,6,11,2,1,1,3,4
"ENSMUSG00000000708",3567,2906,1487,1140,1607,792,625,506,1241,2484
"ENSMUSG00000000711",10935,9848,5589,4042,6154,3088,1977,1831,4303,8529
"ENSMUSG00000000724",6,7,5,0,4,2,1,0,1,0
"ENSMUSG00000000730",5,3,1,2,6,2,1,0,5,0
"ENSMUSG00000000731",1,0,0,4,0,1,3,0,1,10
"ENSMUSG00000000732",304,282,162,136,196,136,70,27,153,392
