Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
detection of light stimulus (GO:0009583),1/8,0.000799859993014768,0.00357062495978944,0.00228310428735186,0.00996466589797848,-4.27039087648958,30.4524727271628,ninaE
optomotor response (GO:0071632),1/6,0.000599924996256889,0.00357062495978944,0.00177597327083102,0.00996466589797848,-4.00544496729281,29.7152182782742,ninaE
negative regulation of compound eye retinal cell programmed cell death (GO:0046673),1/9,0.000899819991017392,0.00357062495978944,0.00253662147595971,0.00996466589797848,-3.81843062966553,26.7798599602672,ninaE
negative regulation of retinal cell programmed cell death (GO:0046671),1/9,0.000899819991017392,0.00357062495978944,0.00253662147595971,0.00996466589797848,-3.71465716064166,26.0520638477858,ninaE
cellular response to mechanical stimulus (GO:0071260),1/8,0.000799859993014768,0.00357062495978944,0.00228310428735186,0.00996466589797848,-3.57271850566364,25.4773195246679,Gat
phospholipase C-activating G-protein coupled receptor signaling pathway (GO:0007200),1/10,0.000999774988741042,0.00357062495978944,0.00279010645143397,0.00996466589797848,-3.13099698709795,21.6288655549501,ninaE
rhodopsin mediated signaling pathway (GO:0016056),1/14,0.00139954497719391,0.00403644220685945,0.00380372422229251,0.0107236829159979,-3.1568852392971,20.7458126455771,ninaE
photoreceptor cell morphogenesis (GO:0008594),1/19,0.00189914495729583,0.00403644220685945,0.00507002164076211,0.0107236829159979,-2.82240412043879,17.6861763405024,ninaE
phototaxis (GO:0042331),1/21,0.00209894994756691,0.00403644220685945,0.00557631511631889,0.0107236829159979,-2.64544268903162,16.312641094289,ninaE
regulation of compound eye retinal cell programmed cell death (GO:0046669),1/19,0.00189914495729583,0.00403644220685945,0.00507002164076211,0.0107236829159979,-2.56719806335523,16.0869654776574,ninaE
cellular response to radiation (GO:0071478),1/24,0.00239861993086724,0.00426172043917758,0.00633551373143749,0.0111767654328848,-2.63451068520967,15.8936387054262,ninaE
monocarboxylic acid transport (GO:0015718),1/17,0.00169931996600167,0.00403644220685945,0.00456359931269449,0.0107236829159979,-2.33917114066283,14.918127406491,Gat
detection of visible light (GO:0009584),1/21,0.00209894994756691,0.00403644220685945,0.00557631511631889,0.0107236829159979,-2.22727423828362,13.7340814141683,ninaE
response to UV (GO:0009411),1/28,0.00279810990540494,0.00426172043917758,0.00734732756797592,0.0111767654328848,-2.23640275614388,13.1473893994958,ninaE
sodium ion transmembrane transport (GO:0035725),1/27,0.00269824491234428,0.00426172043917758,0.00709442242843885,0.0111767654328848,-2.20671577786734,13.053063108194,Gat
amino acid transport (GO:0006865),1/40,0.0039960998051053,0.00525802605934908,0.0103796766189969,0.0136574692355222,-2.30754772606002,12.7432856546369,Gat
photoreceptor cell development (GO:0042461),1/29,0.00289796989864075,0.00426172043917758,0.00760020049436163,0.0111767654328848,-2.10650088083525,12.309853615088,ninaE
cellular response to light stimulus (GO:0071482),1/32,0.00319751987613326,0.00444099982796286,0.00835862599491499,0.0116092027707153,-2.03663739833409,11.7012553853855,ninaE
detection of UV (GO:0009589),1/7,0.000699894994744389,0.00357062495978944,0.00202955488564349,0.00996466589797848,-1.39963617517883,10.1677693037463,ninaE
inorganic cation transmembrane transport (GO:0098662),1/79,0.00788459422959602,0.00821311898916252,0.0202027750951586,0.0210445573907902,-2.01360417042174,9.75157192407778,Gat
rhabdomere development (GO:0042052),1/43,0.00429548477423691,0.00536935596779614,0.0111370390865537,0.0139212988581921,-1.72183763860252,9.38434376113683,ninaE
sodium ion transport (GO:0006814),1/63,0.00629023451194767,0.00714799376357689,0.0161787131893287,0.0183849013515099,-1.67239735307341,8.4769756658568,Gat
response to light stimulus (GO:0009416),1/62,0.00619054452708525,0.00714799376357689,0.0159269355084296,0.0183849013515099,-1.39529575159516,7.09470527477889,ninaE
compound eye photoreceptor development (GO:0042051),1/78,0.00778498424914037,0.00821311898916252,0.0199515128239767,0.0210445573907902,-1.3505283048028,6.55756918572974,ninaE
cell morphogenesis involved in neuron differentiation (GO:0048667),1/160,0.0159363968198154,0.0159363968198154,0.0404480392845008,0.0404480392845008,-0.952258956153385,3.9415423513617,ninaE
