Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
ER-associated_misfolded_protein_catabolic_process_(GO:0071712),1/9,0.000899819991017392,0.0221209874058013,0.00205761316872945,0.0460347352995582,-16.9249557214196,118.700059792114,ninaE
eye_photoreceptor_cell_fate_commitment_(GO:0042706),1/9,0.000899819991017392,0.0221209874058013,0.00205761316872945,0.0460347352995582,-6.01890965556164,42.2125143343405,ninaE
compound_eye_photoreceptor_fate_commitment_(GO:0001752),1/5,0.00049994999751729,0.0221209874058013,0.0012345679012294,0.0460347352995582,-5.44034485924809,41.3520747101217,ninaE
R7_cell_fate_commitment_(GO:0007465),1/8,0.000799859993014768,0.0221209874058013,0.00185185185184683,0.0460347352995582,-5.78858678089332,41.2788398468279,ninaE
R8_cell_fate_commitment_(GO:0007460),1/9,0.000899819991017392,0.0221209874058013,0.00205761316872945,0.0460347352995582,-5.82484441358143,40.8514735017509,ninaE
deactivation_of_rhodopsin_mediated_signaling_(GO:0016059),1/11,0.00109972498628654,0.0221209874058013,0.00246913580245473,0.0460347352995582,-5.38573903376073,36.6913981562444,ninaE
metarhodopsin_inactivation_(GO:0016060),1/12,0.00119966998350231,0.0221209874058013,0.00267489711933148,0.0460347352995582,-5.08147092979671,34.1764936161374,ninaE
N-glycan_processing_(GO:0006491),1/20,0.00199904995245516,0.0221209874058013,0.00432098765428782,0.0460347352995582,-4.99681176662534,31.0556010394744,ninaE
basement_membrane_organization_(GO:0071711),1/29,0.00289796989864075,0.0221209874058013,0.00617283950618727,0.0460347352995582,-5.2421416030217,30.6337378492685,ninaE
regulation_of_clathrin-dependent_endocytosis_(GO:2000369),1/15,0.00149947497376899,0.0221209874058013,0.00329218106997728,0.0460347352995582,-4.63349573489488,30.1299558622244,ninaE
negative_phototaxis_(GO:0046957),1/14,0.00139954497719391,0.0221209874058013,0.00308641975309872,0.0460347352995582,-4.48161734427842,29.4514328922106,ninaE
