Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
tetrahydrofolate_metabolic_process_(GO:0046653),1/96,0.009577198859871,0.0199004950251436,0.0104932929466962,0.0217438338379698,-1.64976243471283,7.66870641377833,ninaE
acyl-CoA_metabolic_process_(GO:0006637),1/200,0.0199004950251436,0.0199004950251436,0.0217438338379698,0.0217438338379698,-1.80636873856877,7.07556562640687,ninaE
acyl-CoA_biosynthetic_process_(GO:0071616),1/200,0.0199004950251436,0.0199004950251436,0.0217438338379698,0.0217438338379698,-1.80293341666404,7.06210943384455,ninaE
ER-associated_misfolded_protein_catabolic_process_(GO:0071712),1/200,0.0199004950251436,0.0199004950251436,0.0217438338379698,0.0217438338379698,-1.76207813629498,6.90207886463442,ninaE
N-glycan_processing_(GO:0006491),1/200,0.0199004950251436,0.0199004950251436,0.0217438338379698,0.0217438338379698,-1.73194005895419,6.78402769405924,ninaE
coenzyme_A_metabolic_process_(GO:0015936),1/200,0.0199004950251436,0.0199004950251436,0.0217438338379698,0.0217438338379698,-1.72946073580935,6.77431615884173,ninaE
coenzyme_A_biosynthetic_process_(GO:0015937),1/200,0.0199004950251436,0.0199004950251436,0.0217438338379698,0.0217438338379698,-1.72381486733641,6.75220123178093,ninaE
divalent_metal_ion_transport_(GO:0070838),1/200,0.0199004950251436,0.0199004950251436,0.0217438338379698,0.0217438338379698,-1.67050486217444,6.54338537264109,ninaE
clathrin-dependent_endocytosis_(GO:0072583),1/200,0.0199004950251436,0.0199004950251436,0.0217438338379698,0.0217438338379698,-1.65511808334481,6.48311519575887,ninaE
cellular_response_to_ketone_(GO:1901655),1/199,0.0198014900743818,0.0199004950251436,0.0216356555610624,0.0217438338379698,-1.65162010631593,6.4776508987949,ninaE
wax_metabolic_process_(GO:0010166),1/200,0.0199004950251436,0.0199004950251436,0.0217438338379698,0.0217438338379698,-1.62188264156614,6.35293161562564,ninaE
rhabdomere_membrane_biogenesis_(GO:0045313),1/200,0.0199004950251436,0.0199004950251436,0.0217438338379698,0.0217438338379698,-1.60979164610523,6.30557105737105,ninaE
