Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
Golgi_vesicle_transport_(GO:0048193),1/25,0.00249849992505482,0.0125972920864788,0.00779844031194652,0.0383323335331485,-704.333333333333,4220.41094397102,ninaE
glycolipid_metabolic_process_(GO:0006664),1/29,0.00289796989864075,0.0125972920864788,0.00899820035994259,0.0383323335331485,-657.101240264773,3839.93197037965,ninaE
glycolipid_biosynthetic_process_(GO:0009247),1/29,0.00289796989864075,0.0125972920864788,0.00899820035994259,0.0383323335331485,-637.668053147322,3726.36938378553,ninaE
Golgi_to_plasma_membrane_protein_transport_(GO:0043001),1/67,0.00668894444714724,0.0125972920864788,0.0203959208157079,0.0383323335331485,-687.666666666667,3443.35274848182,ninaE
Golgi_to_plasma_membrane_transport_(GO:0006893),1/68,0.00678860943064854,0.0125972920864788,0.0206958608279459,0.0383323335331485,-685.666666666667,3423.19711064572,ninaE
amino_acid_transmembrane_transport_(GO:0003333),1/42,0.00419569478464795,0.0125972920864788,0.0128974205158862,0.0383323335331485,-556.8,3047.75411692901,ninaE
endocytosis_(GO:0006897),1/45,0.00449504975258798,0.0125972920864788,0.0137972405519436,0.0383323335331485,-512.970797903184,2772.49356153415,ninaE
ERAD_pathway_(GO:0036503),1/6,0.000599924996256889,0.0125972920864788,0.00209958008399649,0.0383323335331485,-331.557988572318,2459.73121158395,ninaE
regulation_of_phosphate_metabolic_process_(GO:0019220),1/32,0.00319751987613326,0.0125972920864788,0.00989802039582633,0.0383323335331485,-310.739446116326,1785.31613938473,ninaE
eye_pigment_biosynthetic_process_(GO:0006726),1/72,0.00718721936134809,0.0125972920864788,0.0218956208758374,0.0383323335331485,-346.100291279895,1708.16100066304,ninaE
regulation_of_eye_pigmentation_(GO:0048073),1/14,0.00139954497719391,0.0125972920864788,0.0044991001799787,0.0383323335331485,-259.288273732329,1703.94092287108,ninaE
eye_pigment_metabolic_process_(GO:0042441),1/72,0.00718721936134809,0.0125972920864788,0.0218956208758374,0.0383323335331485,-273.630213069546,1350.48848655988,ninaE
regulation_of_protein_modification_process_(GO:0031399),1/41,0.00409589979518808,0.0125972920864788,0.012597480503956,0.0383323335331485,-218.375073823467,1200.5756797081,ninaE
cellular_response_to_radiation_(GO:0071478),1/12,0.00119966998350231,0.0125972920864788,0.00389922015600805,0.0383323335331485,-160.110628755334,1076.8574605919,ninaE
eye_morphogenesis_(GO:0048592),1/108,0.0107711085559963,0.0141620131014026,0.0326934613077191,0.042985847274964,-220.503658939122,999.077352060907,ninaE
transmembrane_transport_(GO:0055085),1/66,0.00658927446395104,0.0125972920864788,0.0200959808038449,0.0383323335331485,-135.158625646147,678.808791952613,ninaE
rhodopsin_mediated_signaling_pathway_(GO:0016056),1/9,0.000899819991017392,0.0125972920864788,0.00299940011998138,0.0383323335331485,-91.3056663968213,640.355475018786,ninaE
membrane_fusion_(GO:0061025),1/74,0.00738649432476992,0.0125972920864788,0.022495500899713,0.0383323335331485,-128.157894736842,629.012024283138,ninaE
regulation_of_endocytosis_(GO:0030100),1/153,0.0152418570930958,0.0183884639231768,0.0461907618478925,0.0557238552286763,-150.302927955697,628.82384462785,ninaE
regulation_of_rhodopsin_gene_expression_(GO:0007468),1/26,0.00259837491877617,0.0125972920864788,0.00809838032390602,0.0383323335331485,-104.96976360181,624.871258044561,ninaE
retinal_cell_programmed_cell_death_(GO:0046666),1/90,0.0089799739990483,0.0131560449462897,0.0272945410917176,0.0399838399665003,-120.624116937435,568.472307324277,ninaE
"regulation_of_vesicle_targeting,_to,_from_or_within_Golgi_(GO:0048209)",1/106,0.0105721736088264,0.0141620131014026,0.032093581283824,0.042985847274964,-113.674662522354,517.166271562497,ninaE
positive_regulation_of_endocytosis_(GO:0045807),1/23,0.00229873493679307,0.0125972920864788,0.00719856028798814,0.0383323335331485,-81.6816257238338,496.24824954708,ninaE
positive_regulation_of_protein_secretion_(GO:0050714),1/52,0.00519336966850864,0.0125972920864788,0.0158968206358298,0.0383323335331485,-94.1822382323305,495.433658879882,ninaE
positive_regulation_of_protein_metabolic_process_(GO:0051247),1/50,0.00499387469355275,0.0125972920864788,0.01529694061194,0.0383323335331485,-85.1508207316346,451.260451180832,ninaE
rhodopsin_biosynthetic_process_(GO:0016063),1/80,0.00798419920974011,0.0125972920864788,0.0242951409717139,0.0383323335331485,-83.3875388908573,402.786061035604,ninaE
positive_regulation_of_cellular_catabolic_process_(GO:0031331),1/50,0.00499387469355275,0.0125972920864788,0.01529694061194,0.0383323335331485,-72.2883048053723,383.094992641107,ninaE
positive_regulation_of_cellular_protein_metabolic_process_(GO:0032270),1/55,0.0054925746286396,0.0125972920864788,0.016796640671889,0.0383323335331485,-69.2723881598382,360.518319027487,ninaE
rhodopsin_metabolic_process_(GO:0046154),1/80,0.00798419920974011,0.0125972920864788,0.0242951409717139,0.0383323335331485,-73.3988940687376,354.538001955084,ninaE
positive_regulation_of_protein_catabolic_process_(GO:0045732),1/50,0.00499387469355275,0.0125972920864788,0.01529694061194,0.0383323335331485,-62.1482765612133,329.357475126545,ninaE
positive_regulation_of_cellular_process_(GO:0048522),1/65,0.00648959948022479,0.0125972920864788,0.0197960407917641,0.0383323335331485,-63.5232886577257,320.002026316535,ninaE
positive_regulation_of_secretion_by_cell_(GO:1903532),1/55,0.0054925746286396,0.0125972920864788,0.016796640671889,0.0383323335331485,-59.5863172179906,310.108536620701,ninaE
regulation_of_G-protein_coupled_receptor_protein_signaling_pathway_(GO:0008277),1/72,0.00718721936134809,0.0125972920864788,0.0218956208758374,0.0383323335331485,-51.6771291847887,255.049934726275,ninaE
phospholipid_translocation_(GO:0045332),1/31,0.00309767488375283,0.0125972920864788,0.00959808038395424,0.0383323335331485,-41.5176110613403,239.851535609841,ninaE
positive_regulation_of_cellular_biosynthetic_process_(GO:0031328),1/50,0.00499387469355275,0.0125972920864788,0.01529694061194,0.0383323335331485,-44.9943159800827,238.449320338751,ninaE
positive_regulation_of_peptide_secretion_(GO:0002793),1/79,0.00788459422959602,0.0125972920864788,0.0239952009597325,0.0383323335331485,-48.1768827024725,233.313152431852,ninaE
regulation_of_ATPase_activity_(GO:0043462),1/126,0.0125606230307462,0.0161770431376108,0.0380923815237313,0.0490562601768443,-35.381163239852,154.870021374224,ninaE
phosphatidylinositol_biosynthetic_process_(GO:0006661),1/38,0.00379648482436267,0.0125972920864788,0.0116976604678519,0.0383323335331485,-27.137082417284,151.253405022519,ninaE
phosphatidylinositol_metabolic_process_(GO:0046488),1/38,0.00379648482436267,0.0125972920864788,0.0116976604678519,0.0383323335331485,-26.7269915082983,148.96768965345,ninaE
positive_regulation_of_catabolic_process_(GO:0009896),1/44,0.00439526976377743,0.0125972920864788,0.0134973005398356,0.0383323335331485,-24.2314265332898,131.509437064905,ninaE
misfolded_or_incompletely_synthesized_protein_catabolic_process_(GO:0006515),1/23,0.00229873493679307,0.0125972920864788,0.00719856028798814,0.0383323335331485,-21.1559875055887,128.531008951563,ninaE
phospholipid_transport_(GO:0015914),1/30,0.00299782489129492,0.0125972920864788,0.00929814037185109,0.0383323335331485,-21.1343504416426,122.787792450395,ninaE
regulation_of_cell_maturation_(GO:1903429),1/94,0.00937814390799243,0.0133169643493493,0.0284943011397043,0.0404619076183801,-19.513541394321,91.1160113831832,ninaE
organelle_membrane_fusion_(GO:0090174),1/99,0.00987574378724874,0.0137485844881306,0.0299940011995237,0.0417563546111016,-8.47215863126315,39.1216636770126,ninaE
rhabdomere_morphogenesis_(GO:0061541),1/37,0.00369666983364024,0.0125972920864788,0.0113977204558715,0.0383323335331485,-6.9198930382176,38.7536355137574,ninaE
regulation_of_protein_dephosphorylation_(GO:0035304),1/58,0.00579173458653026,0.0125972920864788,0.0176964607078945,0.0383323335331485,-6.902005087504,35.5544606530493,ninaE
dephosphorylation_(GO:0016311),1/84,0.00838256912844064,0.0129383132199845,0.0254949010198852,0.0393508254872142,-6.92651417265914,33.1198259370867,ninaE
vesicle_fusion_(GO:0006906),1/67,0.00668894444714724,0.0125972920864788,0.0203959208157079,0.0383323335331485,-6.61012048729621,33.0988510146302,ninaE
synaptic_vesicle_transport_(GO:0048489),1/77,0.0076853692688853,0.0125972920864788,0.0233953209358355,0.0383323335331485,-6.56729392594497,31.972455770551,ninaE
protein_localization_to_cell_surface_(GO:0034394),1/107,0.010671643581834,0.0141620131014026,0.0323935212957531,0.042985847274964,-6.84971789174602,31.0988507188417,ninaE
neuron_maturation_(GO:0042551),1/53,0.00529310965565138,0.0125972920864788,0.0161967606477854,0.0383323335331485,-5.75264589420682,30.1516269289074,ninaE
photoreceptor_cell_morphogenesis_(GO:0008594),1/176,0.0175229961496398,0.0200666568810391,0.0530893821236742,0.0607959053351753,-7.16512849294614,28.9775078185527,ninaE
regulation_of_neuron_death_(GO:1901214),1/91,0.00907952397701686,0.0131560449462897,0.027594481103641,0.0399838399665003,-6.02997239903779,28.3513233121177,ninaE
regulation_of_eye_photoreceptor_cell_development_(GO:0042478),1/172,0.0171264663226879,0.0199340837526367,0.0518896220754893,0.0603961174977007,-6.65179788683652,27.0537285608642,ninaE
regulation_of_intracellular_protein_transport_(GO:0033157),1/196,0.0195044452235069,0.0219812001725236,0.0590881823632945,0.0665914436157763,-6.66918673577941,26.2573409913041,ninaE
regulation_of_cytoplasmic_translation_(GO:2000765),1/152,0.0151426171310597,0.0183884639231768,0.0458908218354781,0.0557238552286763,-6.20941052060766,26.0189339005199,ninaE
protein_dephosphorylation_(GO:0006470),1/88,0.00878085904308633,0.0131560449462897,0.0266946610676375,0.0399838399665003,-4.91095661570355,23.2542686314824,ninaE
organelle_fusion_(GO:0048284),1/128,0.012759357967693,0.0161770431376108,0.0386922615479336,0.0490562601768443,-4.63495085652075,20.2152932867104,ninaE
GTP_metabolic_process_(GO:0046039),1/156,0.0155395469773325,0.0183884639231768,0.0470905818833884,0.0557238552286763,-4.57202373281651,19.0395851516625,ninaE
protein_modification_process_(GO:0036211),1/64,0.00638991949615344,0.0125972920864788,0.0194961007798838,0.0383323335331485,-2.87887730705989,14.5470637890002,ninaE
proteasomal_protein_catabolic_process_(GO:0010498),1/75,0.00748612430618783,0.0125972920864788,0.0227954409118713,0.0383323335331485,-1.70906157800308,8.36535065230359,ninaE
protein_maturation_(GO:0051604),1/44,0.00439526976377743,0.0125972920864788,0.0134973005398356,0.0383323335331485,-1.32143670935509,7.17173615533707,ninaE
cellular_protein_complex_localization_(GO:0034629),1/293,0.029086099303291,0.0303693095666715,0.0881823635272395,0.0920727619181471,0.0228235797721413,-0.0807382971830467,ninaE
eye_photoreceptor_cell_development_(GO:0042462),1/285,0.0282976398822129,0.0303693095666715,0.0857828434314966,0.0920727619181471,0.139479432969259,-0.497240952961777,ninaE
peripheral_nervous_system_development_(GO:0007422),1/267,0.0265224361221713,0.0294017180856344,0.0803839232156999,0.0891144847951403,0.596453930905282,-2.16498715998711,ninaE
photoreceptor_cell_development_(GO:0042461),1/291,0.0288890144502991,0.0303693095666715,0.0875824835036985,0.0920727619181471,1.12308816269,-3.98055450054983,ninaE
peripheral_nervous_system_neuron_development_(GO:0048935),1/380,0.0376399319978948,0.0376399319978948,0.114277144571174,0.114277144571174,1.3000538689584,-4.26377337565645,ninaE
protein_complex_localization_(GO:0031503),1/271,0.0269170658530456,0.0294017180856344,0.0815836832631566,0.0891144847951403,1.3655484967262,-4.93645068095253,ninaE
protein_localization_to_organelle_(GO:0033365),1/156,0.0155395469773325,0.0183884639231768,0.0470905818833884,0.0557238552286763,2.17208395738947,-9.04535494127906,ninaE
cellular_modified_amino_acid_biosynthetic_process_(GO:0042398),1/331,0.0328269113456613,0.0332958672220279,0.0995800839831906,0.101002656611522,9.29131247041523,-31.7438306764241,ninaE
cellular_modified_amino_acid_catabolic_process_(GO:0042219),1/331,0.0328269113456613,0.0332958672220279,0.0995800839831906,0.101002656611522,9.47979901048076,-32.3877961906264,ninaE
