Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
cellular_amide_metabolic_process_(GO:0043603),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-79.0305988472829,309.563699093488,ninaE
calcium_ion_transport_(GO:0006816),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-78.1176612178166,305.987712656066,ninaE
metal_ion_transport_(GO:0030001),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-76.354603929642,299.08179844307,ninaE
amide_biosynthetic_process_(GO:0043604),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-48.3038140198005,189.206555010274,ninaE
eclosion_rhythm_(GO:0008062),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-32.8858252489612,128.814128455266,ninaE
positive_regulation_of_circadian_rhythm_(GO:0042753),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-21.0690425880225,82.5276646645418,ninaE
rhodopsin_biosynthetic_process_(GO:0016063),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-19.2692112892299,75.4777062595052,ninaE
rhodopsin_mediated_signaling_pathway_(GO:0016056),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-18.9488548547448,74.2228666868068,ninaE
ion_transmembrane_transport_(GO:0034220),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-18.9275536351455,74.1394295823114,ninaE
response_to_light_stimulus_(GO:0009416),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-18.8330832772317,73.7693881821827,ninaE
response_to_sucrose_(GO:0009744),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-18.4414104950069,72.2352017143053,ninaE
rhodopsin_metabolic_process_(GO:0046154),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-17.406957917249,68.1832399276265,ninaE
inositol_phosphate_metabolic_process_(GO:0043647),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-16.8275451579478,65.9136739659937,ninaE
inositol_phosphate_catabolic_process_(GO:0071545),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-16.7197547758813,65.4914578891082,ninaE
cytosolic_calcium_ion_transport_(GO:0060401),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-14.3264340602113,56.116795104488,ninaE
regulation_of_ion_transport_(GO:0043269),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-13.8176454513867,54.1238646939678,ninaE
sensory_perception_of_light_stimulus_(GO:0050953),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-10.319509395908,40.4216284328093,ninaE
regulation_of_membrane_potential_in_photoreceptor_cell_(GO:0016057),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-7.34158535544025,28.7570681861131,ninaE
regulation_of_rhodopsin_gene_expression_(GO:0007468),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-7.1500395113834,28.0067810707794,ninaE
regulation_of_metal_ion_transport_(GO:0010959),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-6.85671753757292,26.8578357690534,ninaE
regulation_of_calcium_ion_transport_(GO:0051924),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-1.90618951986467,7.46656469202287,ninaE
pteridine_metabolic_process_(GO:0019889),1/200,0.0199004950251436,0.0199004950251436,0.0220225703951694,0.0220225703951694,-1.80042109250881,7.05226863331719,ninaE
