Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
inaD signaling complex (GO:0016027),1/10,0.000999774988741042,0.002859284964345,0.00213467882784624,0.00605472540263549,-4.37607649315027,30.2298502740666,ninaE
endoplasmic reticulum subcompartment (GO:0098827),1/6,0.000599924996256889,0.002859284964345,0.00135843198137803,0.00605472540263549,-4.02204504993874,29.838369409619,ninaE
rough endoplasmic reticulum (GO:0005791),1/7,0.000699894994744389,0.002859284964345,0.00155249369298117,0.00605472540263549,-3.74442255424031,27.2016581040394,ninaE
perinuclear endoplasmic reticulum (GO:0097038),1/7,0.000699894994744389,0.002859284964345,0.00155249369298117,0.00605472540263549,-3.56587906789617,25.9046146208629,ninaE
secondary lysosome (GO:0005767),1/11,0.00109972498628654,0.002859284964345,0.00232874053947519,0.00605472540263549,-2.56611446883375,17.4821555779566,ninaE
multivesicular body (GO:0005771),1/14,0.00139954497719391,0.00303234745058681,0.00291092567433021,0.00630700562771545,-2.22762867903156,14.6391026964898,ninaE
rhabdomere (GO:0016028),1/33,0.00329735986796975,0.00612366832622953,0.0065980981951921,0.0122536109339282,-1.93862360050649,11.0785227329983,ninaE
perinuclear region of cytoplasm (GO:0048471),1/70,0.0069879243960139,0.0077861543081271,0.0137783815254051,0.0153470470276229,-1.42139012036994,7.05517178449322,ninaE
late endosome (GO:0005770),1/62,0.00619054452708525,0.0077861543081271,0.0122258878320422,0.0153470470276229,-1.35624585789985,6.89614702183293,ninaE
cytoplasmic vesicle (GO:0031410),1/60,0.00599114955729081,0.0077861543081271,0.0118377644090936,0.0153470470276229,-1.302957150338,6.66784669826396,ninaE
lysosome (GO:0005764),1/72,0.00718721936134809,0.0077861543081271,0.014166504948575,0.0153470470276229,-1.34528528221379,6.63958948241737,ninaE
early endosome (GO:0005769),1/61,0.00609084954249059,0.0077861543081271,0.0120318261205844,0.0153470470276229,-1.27447271068088,6.50104414324011,ninaE
integral component of plasma membrane (GO:0005887),1/419,0.0414621231075529,0.0414621231075529,0.0815059188817449,0.0815059188817449,-0.912414193177761,2.90419153433072,ninaE
