Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
inaD_signaling_complex_(GO:0016027),1/36,0.00359684984249829,0.0226245598012331,0.0115842204133241,0.0715627515880434,-187.736842105263,1056.52603688684,ninaE
late_endosome_membrane_(GO:0031902),1/129,0.0128587179352548,0.0226245598012331,0.0407013149656146,0.0715627515880434,-182.438596491228,794.288985293782,ninaE
coated_vesicle_(GO:0030135),1/107,0.010671643581834,0.0226245598012331,0.0338134001255254,0.0715627515880434,-165.001158833618,749.132517294747,ninaE
cortical_actin_cytoskeleton_(GO:0030864),1/129,0.0128587179352548,0.0226245598012331,0.0407013149656146,0.0715627515880434,-165.731446338414,721.550510008111,ninaE
cation_channel_complex_(GO:0034703),1/60,0.00599114955729081,0.0226245598012331,0.0190983093299004,0.0715627515880434,-137.779104395254,705.080705143177,ninaE
cytoplasmic_dynein_complex_(GO:0005868),1/76,0.00758574928768814,0.0226245598012331,0.0241077019411633,0.0715627515880434,-140.053660189455,683.669685334686,ninaE
secondary_lysosome_(GO:0005767),1/33,0.00329735986796975,0.0226245598012331,0.0106449592987227,0.0715627515880434,-116.55226225024,666.053423977872,ninaE
rhabdomere_microvillus_(GO:0035996),1/46,0.00459482474131015,0.0226245598012331,0.014715090795235,0.0715627515880434,-111.463034508815,599.98597139814,ninaE
ER_to_Golgi_transport_vesicle_membrane_(GO:0012507),1/42,0.00419569478464795,0.0226245598012331,0.0134627426424562,0.0715627515880434,-102.352695693146,560.247574851952,ninaE
autophagosome_membrane_(GO:0000421),1/127,0.0126599929995141,0.0226245598012331,0.0400751408892024,0.0715627515880434,-122.592236203804,535.643289286803,ninaE
polymeric_cytoskeletal_fiber_(GO:0099513),1/58,0.00579173458653026,0.0226245598012331,0.0184721352536554,0.0715627515880434,-96.8254751662925,498.779340694127,ninaE
MIS_complex_(GO:0036396),1/79,0.00788459422959602,0.0226245598012331,0.0250469630558564,0.0715627515880434,-101.65658164502,492.307019437525,ninaE
autophagosome_(GO:0005776),1/198,0.0197024801250038,0.0254225550000049,0.0623043206008017,0.08039267174297,-110.505677704837,433.956985000336,ninaE
polysome_(GO:0005844),1/132,0.0131567678376675,0.0226245598012331,0.0416405760802107,0.0715627515880434,-84.5201315540186,366.041390627021,ninaE
unconventional_myosin_complex_(GO:0016461),1/24,0.00239861993086724,0.0226245598012331,0.00782717595494386,0.0715627515880434,-51.245151507854,309.15491367834,ninaE
endoplasmic_reticulum_exit_site_(GO:0070971),1/22,0.0021988449422977,0.0226245598012331,0.00720100187851664,0.0715627515880434,-42.0817978048436,257.533157568468,ninaE
rough_endoplasmic_reticulum_(GO:0005791),1/58,0.00579173458653026,0.0226245598012331,0.0184721352536554,0.0715627515880434,-6.60659616390097,34.0327137378204,ninaE
dendrite_(GO:0030425),1/100,0.00997524876197719,0.0226245598012331,0.0316217908578323,0.0715627515880434,-6.69628608158877,30.8541317022763,ninaE
zonula_adherens_(GO:0005915),1/115,0.0114672233607767,0.0226245598012331,0.0363180964311464,0.0715627515880434,-6.85771200910643,30.6420571012263,ninaE
rhabdomere_membrane_(GO:0033583),1/109,0.0108705685283031,0.0226245598012331,0.0344395742015056,0.0715627515880434,-6.51586547984011,29.4627646797034,ninaE
trans-Golgi_network_(GO:0005802),1/105,0.0104726986347653,0.0226245598012331,0.0331872260489697,0.0715627515880434,-6.35015678971142,28.9502602683313,ninaE
rhabdomere_(GO:0016028),1/158,0.0157379818985599,0.0226245598012331,0.0497808390731657,0.0715627515880434,-6.5880484894235,27.3514576830679,ninaE
late_endosome_(GO:0005770),1/195,0.0194054202714783,0.0254225550000049,0.0613650594864661,0.08039267174297,-6.7212543554007,26.4965481191201,ninaE
recycling_endosome_(GO:0055037),1/173,0.01722560628096,0.0237594569392551,0.0544771446467999,0.0751408891679999,-6.44025307946498,26.1561750727727,ninaE
microvillus_membrane_(GO:0031528),1/108,0.0107711085559963,0.0226245598012331,0.0341264871636916,0.0715627515880434,-5.71858771469312,25.9102796706924,ninaE
microvillus_(GO:0005902),1/132,0.0131567678376675,0.0226245598012331,0.0416405760802107,0.0715627515880434,-5.96035240441178,25.8132073699342,ninaE
multivesicular_body_(GO:0005771),1/132,0.0131567678376675,0.0226245598012331,0.0416405760802107,0.0715627515880434,-4.97021255942988,21.5250909282228,ninaE
type_I_terminal_bouton_(GO:0061174),1/159,0.0158371918608632,0.0226245598012331,0.0500939261116304,0.0715627515880434,-3.7884971672652,15.704814145343,ninaE
type_Is_terminal_bouton_(GO:0061177),1/159,0.0158371918608632,0.0226245598012331,0.0500939261116304,0.0715627515880434,-3.71836202939312,15.4140763523056,ninaE
nuclear_periphery_(GO:0034399),1/153,0.0152418570930958,0.0226245598012331,0.0482154038822473,0.0715627515880434,-3.16529750264494,13.2426864338319,ninaE
nuclear_lamina_(GO:0005652),1/137,0.0136534176704873,0.0226245598012331,0.0432060112710212,0.0715627515880434,-2.27754861220777,9.77925945046444,ninaE
lysosome_(GO:0005764),1/220,0.0218795439782923,0.0257406399744615,0.0691922354417148,0.0814026299314292,0.315460505339217,-1.20575413518552,ninaE
cortical_cytoskeleton_(GO:0030863),1/237,0.0235601630086221,0.0269259005812824,0.0745147150901343,0.0851596743887249,0.343596889176703,-1.28786917328246,ninaE
cytoplasmic_vesicle_(GO:0031410),1/212,0.0210881644102314,0.0257406399744615,0.0666875391358647,0.0814026299314292,0.477928088640535,-1.8443451999658,ninaE
early_endosome_(GO:0005769),1/293,0.029086099303291,0.0294802090092247,0.0920475892298348,0.093299937382765,0.56095050416743,-1.9843595510697,ninaE
endocytic_vesicle_(GO:0030139),1/287,0.0284947847388071,0.0294802090092247,0.0901690670009711,0.093299937382765,0.60832130680387,-2.16442801424148,ninaE
sensory_dendrite_(GO:0071683),1/263,0.0261277263867701,0.0282461906884001,0.0826549780839904,0.0893567330637734,0.655000849795584,-2.38731972801964,ninaE
Golgi_membrane_(GO:0000139),1/297,0.0294802090092247,0.0294802090092247,0.093299937382765,0.093299937382765,0.783024021251003,-2.75940493514206,ninaE
lysosomal_membrane_(GO:0005765),1/217,0.0215828141411773,0.0257406399744615,0.0682529743272708,0.0814026299314292,0.989272544096741,-3.79470892587915,ninaE
dendrite_membrane_(GO:0032590),1/257,0.0255355117768667,0.0282461906884001,0.0807764558545902,0.0893567330637734,4.70035556401687,-17.2394244283567,ninaE
