Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
flavin_adenine_dinucleotide_binding_(GO:0050660),1/19,0.00189914495729583,0.0207555951336379,0.00558971492452502,0.0586098050173503,-308.280742421013,1931.79549780113,ninaE
guanyl_ribonucleotide_binding_(GO:0032561),1/13,0.00129960998047985,0.0207555951336379,0.0039128004471568,0.0586098050173503,-238.064109007938,1582.10052440324,ninaE
bitter_taste_receptor_activity_(GO:0033038),1/23,0.00229873493679307,0.0207555951336379,0.00670765790947166,0.0586098050173503,-239.587622018999,1455.58976068939,ninaE
dynein_complex_binding_(GO:0070840),1/92,0.00917906895393888,0.0207555951336379,0.0259921743993921,0.0586098050173503,-309.003537405614,1449.48290906213,ninaE
G-protein_coupled_photoreceptor_activity_(GO:0008020),1/79,0.00788459422959602,0.0207555951336379,0.0223588596981891,0.0586098050173503,-258.625,1252.48066422926,ninaE
G-protein_coupled_peptide_receptor_activity_(GO:0008528),1/98,0.00977623381159071,0.0207555951336379,0.0276690888765285,0.0586098050173503,-253.9375,1175.1722062651,ninaE
endonuclease_activity_(GO:0004519),1/174,0.0173247412370909,0.0213465561671299,0.048910005589823,0.0602641140303176,-275.848651417887,1118.73721658584,ninaE
antiporter_activity_(GO:0015297),1/86,0.00858172408627986,0.0207555951336379,0.0243152599217832,0.0586098050173503,-232.083552520018,1104.28149577868,ninaE
GTPase_activity_(GO:0003924),1/112,0.0111689184464014,0.0207555951336379,0.03158188932367,0.0586098050173503,-225.702656232265,1014.44778498118,ninaE
G-protein_coupled_receptor_activity_(GO:0004930),1/154,0.0153410920552976,0.0207555951336379,0.0433202906649981,0.0586098050173503,-229.71875,959.585824764114,ninaE
cyclic_nucleotide_binding_(GO:0030551),1/151,0.0150433721689695,0.0207555951336379,0.0424818334267231,0.0586098050173503,-220.703211258403,926.251159397537,ninaE
GTPase_regulator_activity_(GO:0030695),1/162,0.0161347917409106,0.0211348063627372,0.0455561766348406,0.0596728434770321,-190.066666666667,784.362817052101,ninaE
O-acetyltransferase_activity_(GO:0016413),1/79,0.00788459422959602,0.0207555951336379,0.0223588596981891,0.0586098050173503,-143.623577648205,695.546656092048,ninaE
taste_receptor_activity_(GO:0008527),1/46,0.00459482474131015,0.0207555951336379,0.0131358300727097,0.0586098050173503,-120.104671838662,646.502389963873,ninaE
calcium_ion_binding_(GO:0005509),1/96,0.009577198859871,0.0207555951336379,0.0271101173839822,0.0586098050173503,-121.289339536642,563.797742303116,ninaE
symporter_activity_(GO:0015293),1/86,0.00858172408627986,0.0207555951336379,0.0243152599217832,0.0586098050173503,-111.265970027566,529.416886621937,ninaE
protein_phosphatase_1_binding_(GO:0008157),1/63,0.00629023451194767,0.0207555951336379,0.0178870877583757,0.0586098050173503,-97.5281606859407,494.346539924355,ninaE
endoribonuclease_activity_(GO:0004521),1/131,0.013057422871116,0.0207555951336379,0.036892118501923,0.0586098050173503,-109.922963257146,476.889619408948,ninaE
calcium:cation_antiporter_activity_(GO:0015368),1/49,0.00489411970613004,0.0207555951336379,0.0139742873113251,0.0586098050173503,-81.0664573016034,431.250923506768,ninaE
ribonuclease_activity_(GO:0004540),1/171,0.0170273213665542,0.0213465561671299,0.0480715483510602,0.0602641140303176,-97.4416577000624,396.873643905103,ninaE
