Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
bitter_taste_receptor_activity_(GO:0033038),1/200,0.0199004950251436,0.0199004950251436,0.0597543126286061,0.0597543126286061,-43.7969758066757,171.553221632822,ninaE
calcium-transporting_ATPase_activity_(GO:0005388),1/200,0.0199004950251436,0.0199004950251436,0.0597543126286061,0.0597543126286061,-33.4090298981648,130.863526649797,ninaE
cation:chloride_symporter_activity_(GO:0015377),1/200,0.0199004950251436,0.0199004950251436,0.0597543126286061,0.0597543126286061,-24.2106168017708,94.8332443864404,Gat
G-protein_coupled_photoreceptor_activity_(GO:0008020),1/200,0.0199004950251436,0.0199004950251436,0.0597543126286061,0.0597543126286061,-21.8791034398067,85.7006816658899,ninaE
diacylglycerol_kinase_activity_(GO:0004143),1/200,0.0199004950251436,0.0199004950251436,0.0597543126286061,0.0597543126286061,-18.8063973065195,73.664858950112,ninaE
calcium:cation_antiporter_activity_(GO:0015368),1/200,0.0199004950251436,0.0199004950251436,0.0597543126286061,0.0597543126286061,-18.3871170041836,72.0225335313342,ninaE
FAD_binding_(GO:0071949),1/200,0.0199004950251436,0.0199004950251436,0.0597543126286061,0.0597543126286061,-14.3658969964611,56.2713718469237,ninaE
flavin_adenine_dinucleotide_binding_(GO:0050660),1/200,0.0199004950251436,0.0199004950251436,0.0597543126286061,0.0597543126286061,-3.2049774958006,12.5539310543327,ninaE
"phosphotransferase_activity,_for_other_substituted_phosphate_groups_(GO:0016780)",1/200,0.0199004950251436,0.0199004950251436,0.0597543126286061,0.0597543126286061,-2.1835106072945,8.5528343510356,ninaE
lipase_activity_(GO:0016298),1/200,0.0199004950251436,0.0199004950251436,0.0597543126286061,0.0597543126286061,-1.71388285814872,6.7132974457991,ninaE
guanyl_ribonucleotide_binding_(GO:0032561),1/200,0.0199004950251436,0.0199004950251436,0.0597543126286061,0.0597543126286061,-1.24900062382058,4.89234877274709,ninaE
"phosphatidylinositol-4,5-bisphosphate_phosphatase_activity_(GO:0106019)",1/200,0.0199004950251436,0.0199004950251436,0.0597543126286061,0.0597543126286061,-0.720744107372644,2.82316236030623,ninaE
phospholipid_transporter_activity_(GO:0005548),1/200,0.0199004950251436,0.0199004950251436,0.0597543126286061,0.0597543126286061,-0.557656089975309,2.18434485569766,ninaE
