Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
G-protein_coupled_photoreceptor_activity_(GO:0008020),1/23,0.00229873493679307,0.0163331666586851,0.0106053910737937,0.0729120636321785,-1.94988825769806,11.8463439741837,ninaE
phosphatidylinositol_phosphate_binding_(GO:1901981),1/36,0.00359684984249829,0.0163331666586851,0.0163499779053821,0.0729120636321785,-1.93068048434482,10.8652845000764,ninaE
protein_kinase_binding_(GO:0019901),1/76,0.00758574928768814,0.0163331666586851,0.0340256296951209,0.0729120636321785,-1.79822442740436,8.77800356507393,ninaE
phosphatidylinositol_binding_(GO:0035091),1/64,0.00638991949615344,0.0163331666586851,0.0287229341581717,0.0729120636321785,-1.70612102535445,8.62108688227935,ninaE
G-protein_coupled_receptor_binding_(GO:0001664),1/55,0.0054925746286396,0.0163331666586851,0.0247459125055758,0.0729120636321785,-1.63013055063624,8.48378324354424,ninaE
Rac_GTPase_binding_(GO:0048365),1/78,0.00778498424914037,0.0163331666586851,0.0349094122846107,0.0729120636321785,-1.55631977394196,7.5568017023041,ninaE
Rho_GTPase_binding_(GO:0017048),1/104,0.0103732186603728,0.0163331666586851,0.0463985859476345,0.0729120636321785,-1.3961133840774,6.37818297882112,ninaE
Rab_GTPase_binding_(GO:0017137),1/89,0.00888041902124222,0.0163331666586851,0.0397702165266758,0.0729120636321785,-1.34370429107375,6.34753348307401,ninaE
small_GTPase_binding_(GO:0031267),1/125,0.012461248063109,0.0163331666586851,0.055678303137507,0.0729120636321785,-1.39388159252903,6.11235422511113,ninaE
DNA-dependent_ATPase_activity_(GO:0008094),1/155,0.0154403220162103,0.0163331666586851,0.0689350419799265,0.0729120636321785,-1.25674506491905,5.24159823211751,ninaE
GTPase_binding_(GO:0051020),1/162,0.0161347917409106,0.0163331666586851,0.072028281043127,0.0729120636321785,-1.2261056932835,5.05986521705087,ninaE
GTP_binding_(GO:0005525),1/152,0.0151426171310597,0.0163331666586851,0.0676093680952689,0.0729120636321785,-1.19012123724706,4.98689621225201,ninaE
GTPase_activity_(GO:0003924),1/164,0.0163331666586851,0.0163331666586851,0.0729120636321785,0.0729120636321785,-1.07656296267385,4.42958018447566,ninaE
