Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
rhodopsin mediated signaling pathway (GO:0016056),2/14,4.5447689449359e-06,9.43252695069862e-05,2.31267904917466e-05,0.000438310693448671,-3.1682672813343,38.9745466331703,trp;ninaC
cellular response to UV (GO:0034644),2/17,6.79014384243993e-06,9.43252695069862e-05,3.29389319259579e-05,0.000438310693448671,-3.0144595437966,35.8721844233845,ninaC;TotC
"phototransduction, visible light (GO:0007603)",2/20,9.48338336070039e-06,9.43252695069862e-05,4.44738385730097e-05,0.000438310693448671,-2.62120584810731,30.3167866585679,trp;ninaC
detection of light stimulus (GO:0009583),1/8,0.00199860035007783,0.00899370157535025,0.00456041830464803,0.0205218823709161,-4.24631029073367,26.3921270354521,trp
detection of visible light (GO:0009584),2/21,1.04805855007762e-05,9.43252695069862e-05,4.87011881609634e-05,0.000438310693448671,-2.25260102992739,25.8282919002987,trp;ninaC
cellular response to mechanical stimulus (GO:0071260),1/8,0.00199860035007783,0.00899370157535025,0.00456041830464803,0.0205218823709161,-3.56340917734739,22.1476861672299,Gat
response to light stimulus (GO:0009416),3/62,2.82438481302166e-07,1.27097316585975e-05,2.12901734168981e-06,9.58057803760416e-05,-1.41969500581114,21.4087239541173,trp;ninaC;TotC
detection of light stimulus involved in sensory perception (GO:0050962),1/12,0.00299670148493004,0.00973830584938792,0.00658225625950804,0.0212617024327687,-3.66245563981535,21.2797576111591,trp
detection of light stimulus involved in visual perception (GO:0050908),1/9,0.0022482005399474,0.00919718402705753,0.00506616685371925,0.0207252280379424,-3.24411029733154,19.7813685149209,trp
inorganic cation transmembrane transport (GO:0098662),2/79,0.000152874718191476,0.00114656038643607,0.000617569588824864,0.00463177191618648,-2.08727036976036,18.3385316414029,trp;Gat
visual perception (GO:0007601),1/13,0.00324610194979597,0.00973830584938792,0.00708723414425622,0.0212617024327687,-2.91703052832907,16.7154612107615,trp
transition metal ion transport (GO:0000041),1/13,0.00324610194979597,0.00973830584938792,0.00708723414425622,0.0212617024327687,-2.91676770479523,16.7139551529597,trp
cation transmembrane transport (GO:0098655),1/15,0.00374475314943831,0.0100496954812542,0.00809661233165578,0.0215649964795989,-2.82639494300811,15.7921979143351,trp
sensory perception of light stimulus (GO:0050953),1/10,0.00249775078749318,0.00936656545309941,0.00557172266329918,0.0208939599873719,-2.53175216022167,15.1711821147383,trp
regulation of cytosolic calcium ion concentration (GO:0051480),1/17,0.00424320475875176,0.0100496954812542,0.00910522073583066,0.0215649964795989,-2.69576373337339,14.7254380937062,trp
regulation of rhodopsin mediated signaling pathway (GO:0022400),1/17,0.00424320475875176,0.0100496954812542,0.00910522073583066,0.0215649964795989,-2.68781523827394,14.6820199443053,ninaC
deactivation of rhodopsin mediated signaling (GO:0016059),1/18,0.00449235573603462,0.0101078004060779,0.00960923639176021,0.0216207818814605,-2.57175283397778,13.901296323956,ninaC
monocarboxylic acid transport (GO:0015718),1/17,0.00424320475875176,0.0100496954812542,0.00910522073583066,0.0215649964795989,-2.30815639162774,12.6081576195753,Gat
calcium ion transmembrane transport (GO:0070588),1/24,0.00598621448448723,0.0128276024667583,0.0126292937595031,0.0270627723417923,-2.44301895042221,12.5040942175713,trp
