Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
metarhodopsin_inactivation_(GO:0016060),1/12,0.00299670148493004,0.0337128917054629,0.00800160348617277,0.0900180392194436,-5.08958976536299,29.5717538172343,ninaC
divalent_metal_ion_transport_(GO:0070838),1/9,0.0022482005399474,0.0337128917054629,0.00615888242489924,0.0900180392194436,-4.73538520543317,28.8746038893402,trp
regulation_of_membrane_potential_in_photoreceptor_cell_(GO:0016057),2/57,7.93659127692549e-05,0.00178573303730824,0.000430974546272635,0.00969692729113428,-2.86767092874087,27.0749475790761,trp;ninaC
cytosolic_calcium_ion_transport_(GO:0060401),2/43,4.49673924526126e-05,0.00178573303730824,0.000249848417137175,0.00969692729113428,-2.36310882941903,23.6537102003559,trp;ninaC
cellular_response_to_cadmium_ion_(GO:0071276),1/18,0.00449235573603462,0.0404312016243116,0.0116802094648867,0.10512188518398,-4.10400941070848,22.183722393851,trp
regulation_of_rhodopsin_mediated_signaling_pathway_(GO:0022400),1/31,0.00772678253143501,0.0496721734163679,0.0196193007001131,0.126124075929299,-4.09801353349989,19.9288968998745,ninaC
response_to_cadmium_ion_(GO:0046686),1/26,0.00648376867908369,0.0486282650931277,0.0165708553445393,0.124281415084045,-3.53254252613627,17.7985507297579,trp
rhodopsin_mediated_signaling_pathway_(GO:0016056),1/40,0.00996107209224256,0.0560310305188644,0.0250906149613688,0.141134709157699,-2.99552243245243,13.8065742953611,ninaC
regulation_of_rhodopsin_gene_expression_(GO:0007468),1/81,0.0200886306479617,0.0615261448972494,0.0497579875335977,0.150825512042757,-2.45535559338045,9.59455061868245,ninaC
rhabdomere_development_(GO:0042052),1/104,0.0257335491481978,0.0615261448972494,0.0634118173454292,0.150825512042757,-2.34097580382225,8.56787715700406,ninaC
rhabdomere_morphogenesis_(GO:0061541),1/93,0.023037060506142,0.0615261448972494,0.0568981607402504,0.150825512042757,-2.24719015441507,8.47336987819922,ninaC
compound_eye_photoreceptor_cell_differentiation_(GO:0001751),1/100,0.0247536976191954,0.0615261448972494,0.0610466967173284,0.150825512042757,-2.20410738351223,8.15250919485616,ninaC
regulation_of_metal_ion_transport_(GO:0010959),1/92,0.0227916294308845,0.0615261448972494,0.0563045171161575,0.150825512042757,-2.13268135248496,8.06444009783107,ninaC
eye_pigment_biosynthetic_process_(GO:0006726),1/105,0.025978388927645,0.0615261448972494,0.064002476279674,0.150825512042757,-2.12279118667018,7.74922859698694,ninaC
eye_pigment_metabolic_process_(GO:0042441),1/105,0.025978388927645,0.0615261448972494,0.064002476279674,0.150825512042757,-2.12033404719508,7.74025883321235,ninaC
Rab_protein_signal_transduction_(GO:0032482),1/110,0.0272018495759093,0.0615261448972494,0.0669520462221204,0.150825512042757,-2.10609537793277,7.59135825742324,ninaC
protein_autophosphorylation_(GO:0046777),1/172,0.0422708878519296,0.0637752338688066,0.103013422268605,0.154061603868855,-2.25461738471336,7.13283530562175,ninaC
eye_photoreceptor_cell_development_(GO:0042462),1/112,0.0276908894616888,0.0615261448972494,0.0681301369676219,0.150825512042757,-1.97966842973142,7.1003813768658,ninaC
cellular_response_to_metal_ion_(GO:0071248),1/94,0.0232824422671293,0.0615261448972494,0.0574915553540085,0.150825512042757,-1.86716478703632,7.02064369974223,trp
regulation_of_calcium_ion_transport_(GO:0051924),1/125,0.0308648568431767,0.0615261448972494,0.075763563631498,0.150825512042757,-1.97929084187466,6.88424483223081,ninaC
regulation_of_protein_serine/threonine_kinase_activity_(GO:0071900),1/133,0.0328139439451997,0.0615261448972494,0.0804402730894705,0.150825512042757,-1.94479272732741,6.64516564159414,ninaC
metal_ion_transport_(GO:0030001),1/102,0.02524372187962,0.0615261448972494,0.0622297541139695,0.150825512042757,-1.78095241031646,6.5524405577268,ninaC
compound_eye_photoreceptor_development_(GO:0042051),1/156,0.0384001073383686,0.0632715648063828,0.0937978781524355,0.154061603868855,-1.99375114872437,6.49902069883503,ninaC
cytosolic_transport_(GO:0016482),1/154,0.037915381117681,0.0632715648063828,0.0926415165534376,0.154061603868855,-1.77897151590783,5.82150356895597,ninaC
calcium_ion_transport_(GO:0006816),1/128,0.03159613239068,0.0615261448972494,0.0775191832917181,0.150825512042757,-1.64923489696523,5.69764570447314,ninaC
rhodopsin_biosynthetic_process_(GO:0016063),1/237,0.0578679666491411,0.0637752338688066,0.139809156788272,0.154061603868855,-1.8542325245994,5.28380487127938,ninaC
rhodopsin_metabolic_process_(GO:0046154),1/237,0.0578679666491411,0.0637752338688066,0.139809156788272,0.154061603868855,-1.85172604995343,5.27666244293319,ninaC
terminal_region_determination_(GO:0007362),1/217,0.053090672879112,0.0637752338688066,0.12859672862364,0.154061603868855,-1.77394771399834,5.20787412937102,ninaC
regulation_of_ion_transport_(GO:0043269),1/178,0.0437192126935071,0.0637752338688066,0.106453077417786,0.154061603868855,-1.61156265946651,5.04413894779268,ninaC
receptor_internalization_(GO:0031623),1/160,0.0393689736573048,0.0632715648063828,0.096107653119533,0.154061603868855,-1.54160158899208,4.98673773865031,ninaC
regulation_of_calcium-mediated_signaling_(GO:0050848),1/209,0.0511743378973047,0.0637752338688066,0.124084616922128,0.154061603868855,-1.63790824333398,4.86871023783927,ninaC
regulation_of_Toll_signaling_pathway_(GO:0008592),1/203,0.0497350516148844,0.0637752338688066,0.120690330617651,0.154061603868855,-1.57586308372438,4.72923654904489,TotC
octopamine_or_tyramine_signaling_pathway_(GO:0007211),1/183,0.0449248111182253,0.0637752338688066,0.109312730515005,0.154061603868855,-1.45674464587398,4.51993637501421,ninaC
compound_eye_morphogenesis_(GO:0001745),1/224,0.0547649248758627,0.0637752338688066,0.132532092398687,0.154061603868855,-1.53132006598628,4.4480335835804,ninaC
phospholipid_transport_(GO:0015914),1/128,0.03159613239068,0.0615261448972494,0.0775191832917181,0.150825512042757,-1.23201232037184,4.25625829161228,ninaC
Toll_signaling_pathway_(GO:0008063),1/216,0.052851300482014,0.0637752338688066,0.128033564079694,0.154061603868855,-1.43872615219696,4.23024760204825,TotC
photoreceptor_cell_development_(GO:0042461),1/123,0.0303770944371513,0.0615261448972494,0.0745919139125719,0.150825512042757,-1.21023800781544,4.22865199182979,ninaC
phospholipid_translocation_(GO:0045332),1/143,0.0352458915724129,0.0632715648063828,0.0862639400537321,0.154061603868855,-1.21108381180793,4.05156742311954,ninaC
female_mating_behavior_(GO:0060180),1/260,0.0633379970118103,0.0670286532857111,0.15258405843946,0.161414963517455,-1.35836043176241,3.74808299997094,TotC
cell_junction_maintenance_(GO:0034331),1/207,0.0506947697162317,0.0637752338688066,0.122954160518413,0.154061603868855,-1.23041369891526,3.66901064045528,ninaC
