Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
tetrahydrofolate_metabolic_process_(GO:0046653),2/96,0.000225875346535214,0.00104516892990139,0.000111232310304767,0.000509030491603945,-1.64976243471283,13.8506255176757,trp;ninaC
ceramide_biosynthetic_process_(GO:0046513),2/137,0.000459565599931538,0.00104516892990139,0.00022445383718772,0.000509030491603945,-1.63756678430317,12.5850755152167,trp;ninaC
ceramide_metabolic_process_(GO:0006672),2/137,0.000459565599931538,0.00104516892990139,0.00022445383718772,0.000509030491603945,-1.63687073492536,12.5797262164485,trp;ninaC
acyl-CoA_metabolic_process_(GO:0006637),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.7971583984851,12.4589257205344,trp;ninaC
acyl-CoA_biosynthetic_process_(GO:0071616),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.79375444600594,12.4353275829802,trp;ninaC
phospholipid_biosynthetic_process_(GO:0008654),2/135,0.000446286517069375,0.00104516892990139,0.000218018136505191,0.000509030491603945,-1.58341747833691,12.2153523531001,trp;ninaC
phospholipid_metabolic_process_(GO:0006644),2/135,0.000446286517069375,0.00104516892990139,0.000218018136505191,0.000509030491603945,-1.58301003524347,12.2122091132292,trp;ninaC
phospholipid_catabolic_process_(GO:0009395),2/135,0.000446286517069375,0.00104516892990139,0.000218018136505191,0.000509030491603945,-1.5829922392228,12.2120718249487,trp;ninaC
ER-associated_misfolded_protein_catabolic_process_(GO:0071712),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.74843500876375,12.1211474290367,trp;ninaC
basement_membrane_organization_(GO:0071711),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.73509341844473,12.0286559252725,trp;ninaC
coenzyme_A_metabolic_process_(GO:0015936),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.7177248938315,11.9082474191475,trp;ninaC
coenzyme_A_biosynthetic_process_(GO:0015937),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.71208823558582,11.8691708934199,trp;ninaC
N-glycan_processing_(GO:0006491),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.70989354703127,11.8539560622153,trp;ninaC
glycolipid_biosynthetic_process_(GO:0009247),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.68335370586404,11.6699667655478,trp;ninaC
anion_transport_(GO:0006820),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.68079501682316,11.6522284756291,trp;ninaC
glycolipid_metabolic_process_(GO:0006664),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.66756440449296,11.5605063344989,trp;ninaC
divalent_metal_ion_transport_(GO:0070838),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.65769645210582,11.4920960675415,trp;ninaC
rhabdomere_development_(GO:0042052),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.65351966812628,11.4631402218043,trp;ninaC
cellular_response_to_ketone_(GO:1901655),2/199,0.0009658331609219,0.00104516892990139,0.000470391213360505,0.000509030491603945,-1.64403189323513,11.4137233950885,trp;ninaC
clathrin-dependent_endocytosis_(GO:0072583),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.64428919598766,11.3991493310528,trp;ninaC
lipid_transport_(GO:0006869),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.61246623199297,11.1785344175587,trp;ninaC
sensory_perception_of_sound_(GO:0007605),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.60150052937744,11.1025139207146,trp;ninaC
regulation_of_Rab_protein_signal_transduction_(GO:0032483),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.59623833506419,11.0660333922697,trp;ninaC
response_to_lipopolysaccharide_(GO:0032496),2/184,0.000826622804812111,0.00104516892990139,0.000402640837120416,0.000509030491603945,-1.54723777177807,10.982544461156,trp;ninaC
wax_metabolic_process_(GO:0010166),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.57719260610303,10.9339975502313,trp;ninaC
cellular_response_to_light_stimulus_(GO:0071482),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.57255978591491,10.9018802017276,trp;ninaC
rhabdomere_membrane_biogenesis_(GO:0045313),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.57120867848646,10.8925135554122,trp;ninaC
detection_of_visible_light_(GO:0009584),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.56880399023123,10.8758428866619,trp;ninaC
wax_biosynthetic_process_(GO:0010025),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.55646948172374,10.7903330476718,trp;ninaC
deactivation_of_rhodopsin_mediated_signaling_(GO:0016059),2/200,0.000975491001241299,0.00104516892990139,0.000475095125497016,0.000509030491603945,-1.55217494067955,10.7605608428854,trp;ninaC
