Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
metal_ion_transport_(GO:0030001),2/29,2.02462502658829e-05,0.000394801880184716,8.36414426256709e-05,0.00163100813120058,-450.848496825398,4872.56359331551,trp;ninaC
calcium_ion_transport_(GO:0006816),2/37,3.31852461797471e-05,0.000431408200336712,0.00013328668599038,0.00173272691787494,-402.344204385377,4149.53879883053,trp;ninaC
ion_transmembrane_transport_(GO:0034220),1/8,0.00199860035007783,0.00974317670662944,0.00539082588277675,0.0262802761785367,-474.11970061255,2946.80004800473,trp
courtship_behavior_(GO:0007619),1/100,0.0247536976191954,0.0301685689733943,0.0596613510876223,0.0727122716380397,-514.878446434917,1904.42230727667,trp
cAMP_metabolic_process_(GO:0046058),1/50,0.0124388937863538,0.0235604624104999,0.0303553682067083,0.0574709474466826,-326.508975948227,1432.3710813643,trp
cAMP_biosynthetic_process_(GO:0006171),1/51,0.012686402836423,0.0235604624104999,0.030945894778983,0.0574709474466826,-319.395838383267,1394.87333118155,trp
regulation_of_metal_ion_transport_(GO:0010959),1/16,0.00399400389908044,0.0159274430641227,0.0101704396750904,0.0402889300836109,-238.307692307692,1316.16410676181,ninaC
rhodopsin_mediated_signaling_pathway_(GO:0016056),2/9,1.79883009897504e-06,7.01543738600264e-05,9.8930738589386e-06,0.000385829880498605,-91.4987914579424,1210.38023847205,trp;ninaC
male_courtship_behavior_(GO:0008049),1/92,0.0227916294308845,0.0286733402517579,0.0550026126710839,0.0691968352958797,-292.844862047975,1107.35241586455,trp
branched-chain_amino_acid_catabolic_process_(GO:0009083),1/18,0.00449235573603462,0.0159274430641227,0.0113635443825569,0.0402889300836109,-182.313944692181,985.475795212921,trp
branched-chain_amino_acid_metabolic_process_(GO:0009081),1/18,0.00449235573603462,0.0159274430641227,0.0113635443825569,0.0402889300836109,-176.07107653184,951.730732677474,trp
response_to_light_stimulus_(GO:0009416),1/5,0.00124950004998265,0.00812175032488723,0.00359550278849436,0.0233707681252133,-137.085789228748,916.420114176859,trp
rhodopsin_biosynthetic_process_(GO:0016063),2/80,0.000156778871527963,0.00122287519791811,0.000597361787010511,0.00465942193868198,-91.1125413357003,798.207290817141,trp;ninaC
rhodopsin_metabolic_process_(GO:0046154),2/80,0.000156778871527963,0.00122287519791811,0.000597361787010511,0.00465942193868198,-80.2537989549144,703.077386520945,trp;ninaC
tryptophan_metabolic_process_(GO:0006568),1/21,0.00523950944696142,0.0170284057026246,0.0131518523880708,0.04274352026123,-127.62826083158,670.243309029663,trp
transmembrane_transport_(GO:0055085),1/66,0.0163930873477103,0.0277969741982913,0.039782208475773,0.0674567882850065,-138.051699528722,567.516115357146,trp
regulation_of_ion_transport_(GO:0043269),1/44,0.0109527968781184,0.0234992676388424,0.0268084314170268,0.0574561612571892,-108.731503622269,490.831451436931,ninaC
cytosolic_transport_(GO:0016482),1/32,0.00797523593801193,0.0188659966722007,0.0196951314382632,0.0465451137657858,-60.9116397653445,294.289351929928,ninaC
cytosolic_calcium_ion_transport_(GO:0060401),1/8,0.00199860035007783,0.00974317670662944,0.00539082588277675,0.0262802761785367,-40.8846678275619,254.110809909947,ninaC
phospholipid_translocation_(GO:0045332),1/31,0.00772678253143501,0.0188659966722007,0.0191011872587943,0.0465451137657858,-40.9470006839167,199.12783311185,ninaC
regulation_of_calcium_ion_transport_(GO:0051924),1/25,0.00623501649282992,0.0187050494784898,0.0155337448252435,0.0465451137657858,-30.8437089436091,156.611216281318,ninaC
