Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
membrane_lipid_biosynthetic_process_(GO:0046467),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-81.8738020975836,567.595833317405,trp;ninaC
membrane_lipid_metabolic_process_(GO:0006643),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-81.6982807754769,566.379019531631,trp;ninaC
metal_ion_transport_(GO:0030001),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-76.354603929642,529.333607756622,trp;ninaC
cellular_amide_metabolic_process_(GO:0043603),1/200,0.0490147537911314,0.0490147537911314,0.0646164890345503,0.0646164890345503,-77.7371121688098,234.4266729532,ninaC
eclosion_rhythm_(GO:0008062),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-32.9541750541093,228.457112921557,trp;ninaC
positive_regulation_of_circadian_rhythm_(GO:0042753),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-21.0690425880225,146.062604625289,trp;ninaC
amide_biosynthetic_process_(GO:0043604),1/200,0.0490147537911314,0.0490147537911314,0.0646164890345503,0.0646164890345503,-47.4932757645888,143.222333767224,ninaC
rhodopsin_biosynthetic_process_(GO:0016063),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-19.3963840142116,134.466782607324,trp;ninaC
rhodopsin_mediated_signaling_pathway_(GO:0016056),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-19.0745937721618,132.235949350405,trp;ninaC
ion_transmembrane_transport_(GO:0034220),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-18.9530161408765,131.393103956956,trp;ninaC
response_to_sucrose_(GO:0009744),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-18.6002786074725,128.94772644809,trp;ninaC
rhodopsin_metabolic_process_(GO:0046154),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-17.5231799277354,121.480664860285,trp;ninaC
inositol_phosphate_metabolic_process_(GO:0043647),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-16.8502100446849,116.81525429205,trp;ninaC
inositol_phosphate_catabolic_process_(GO:0071545),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-16.7422590221071,116.066876312187,trp;ninaC
cellular_response_to_radiation_(GO:0071478),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-16.6608926247986,115.502798097897,trp;ninaC
cytosolic_calcium_ion_transport_(GO:0060401),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-14.3566586046421,99.5285353261475,trp;ninaC
sensory_perception_of_light_stimulus_(GO:0050953),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-10.3996920640968,72.0965892890867,trp;ninaC
response_to_light_stimulus_(GO:0009416),1/200,0.0490147537911314,0.0490147537911314,0.0646164890345503,0.0646164890345503,-18.4348534862051,55.5927696383441,ninaC
regulation_of_membrane_potential_in_photoreceptor_cell_(GO:0016057),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-7.36563326187492,51.0627654032899,trp;ninaC
regulation_of_rhodopsin_gene_expression_(GO:0007468),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-7.1813380180139,49.7851257940892,trp;ninaC
regulation_of_ion_transport_(GO:0043269),1/200,0.0490147537911314,0.0490147537911314,0.0646164890345503,0.0646164890345503,-13.5374917910335,40.8241195506689,trp
rhabdomere_morphogenesis_(GO:0061541),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-5.78097059199674,40.0769811158513,trp;ninaC
regulation_of_metal_ion_transport_(GO:0010959),1/200,0.0490147537911314,0.0490147537911314,0.0646164890345503,0.0646164890345503,-6.73273033854395,20.3034500397765,trp
negative_regulation_of_circadian_rhythm_(GO:0042754),1/200,0.0490147537911314,0.0490147537911314,0.0646164890345503,0.0646164890345503,-6.70352463601263,20.2153763323199,trp
rhabdomere_development_(GO:0042052),1/200,0.0490147537911314,0.0490147537911314,0.0646164890345503,0.0646164890345503,-5.48810573089896,16.5501178448231,trp
cellular_response_to_virus_(GO:0098586),1/200,0.0490147537911314,0.0490147537911314,0.0646164890345503,0.0646164890345503,-5.08042024481711,15.3206876608726,TotC
phototaxis_(GO:0042331),1/200,0.0490147537911314,0.0490147537911314,0.0646164890345503,0.0646164890345503,-5.05362473440297,15.2398822105386,trp
regulation_of_calcium_ion_transport_(GO:0051924),2/200,0.000975491001241299,0.00143756568603981,0.00144038496602027,0.00212267258150355,-1.92287243181867,13.3304470091709,trp;ninaC
