Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
store-operated calcium channel activity (GO:0015279),1/6,0.00149925011245636,0.0146074587740819,0.00352940856881571,0.0317272629110548,-3.50779077526217,22.8104275503635,trp
gamma-aminobutyric acid:sodium symporter activity (GO:0005332),1/9,0.0022482005399474,0.0146074587740819,0.00503946648529582,0.0317272629110548,-3.51297130918055,21.4207821806814,Gat
gamma-aminobutyric acid transmembrane transporter activity (GO:0015185),1/10,0.00249775078749318,0.0146074587740819,0.00554247989964343,0.0317272629110548,-3.53131356486105,21.1609185284796,Gat
anion:cation symporter activity (GO:0015296),1/13,0.00324610194979597,0.0146074587740819,0.00705050286912329,0.0317272629110548,-2.92496997591192,16.7609566304416,Gat
sodium:amino acid symporter activity (GO:0005283),1/19,0.00474145683828094,0.0170692446178114,0.0100619736510738,0.0362231051438655,-2.34316940133464,12.5392621357796,Gat
phosphatidylinositol binding (GO:0035091),1/28,0.00698112361323034,0.0179442808605268,0.0145677535077113,0.0372733330316534,-2.11009053891341,10.4756402765534,ninaC
calcium channel activity (GO:0005262),1/32,0.00797523593801193,0.0179442808605268,0.016565925791846,0.0372733330316534,-1.99434015559792,9.63548304034768,trp
calcium ion transmembrane transporter activity (GO:0015085),1/29,0.00722972637648691,0.0179442808605268,0.0150675500823505,0.0372733330316534,-1.90690854183105,9.40020879992954,trp
ion channel activity (GO:0005216),1/83,0.0205805293255688,0.038372412484353,0.0418063181101321,0.0778993997632426,-2.03996341191776,7.9220139636622,trp
"phosphotransferase activity, alcohol group as acceptor (GO:0016773)",1/158,0.0388846381681908,0.0437452179392147,0.0781342894173156,0.0879010755944801,-1.68763316418237,5.48000817521914,ninaC
"ATPase activity, coupled (GO:0042623)",1/107,0.0264679208134764,0.0419030034553435,0.0535331881215867,0.0846748183775772,-1.24480321616805,4.52090347538852,ninaC
cation channel activity (GO:0005261),1/86,0.0213180069357517,0.038372412484353,0.0432774443129126,0.0778993997632426,-1.14313752881759,4.39902545913312,trp
protein heterodimerization activity (GO:0046982),1/113,0.0279353356368957,0.0419030034553435,0.0564498789183848,0.0846748183775772,-1.10774062241028,3.96334405494065,trp
protein homodimerization activity (GO:0042803),1/139,0.0342737002738822,0.0437452179392147,0.0690196375662676,0.0879010755944801,-1.10268146679376,3.71976027060022,trp
ATPase activity (GO:0016887),1/148,0.0364600294916184,0.0437452179392147,0.0733445567001639,0.0879010755944801,-1.04826971888814,3.47138574303346,ninaC
kinase activity (GO:0016301),1/149,0.0367027103254553,0.0437452179392147,0.073824274789648,0.0879010755944801,-1.0103521371379,3.33911750225038,ninaC
protein serine/threonine kinase activity (GO:0004674),1/172,0.0422708878519296,0.044757410666749,0.0848121455008725,0.0898010952362179,-0.983015190046441,3.10992255318619,ninaC
protein kinase activity (GO:0004672),1/228,0.0557205764773271,0.0557205764773271,0.111201083789531,0.111201083789531,-0.890830662619374,2.5721896079509,ninaC
