Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
G-protein_coupled_amine_receptor_activity_(GO:0008227),1/14,0.00349545250210215,0.0159152008851128,0.00836583067710485,0.0379197889183389,-269.5625,1524.72433096618,trp
G-protein_coupled_photoreceptor_activity_(GO:0008020),1/79,0.0195965343527764,0.034986899853467,0.0442116932340164,0.0788732671531366,-263.3125,1035.45074568744,ninaC
GTPase_activator_activity_(GO:0005096),1/74,0.0183654286368031,0.034986899853467,0.0414777463282047,0.0788732671531366,-242.437596300992,969.092230189958,ninaC
calcium:cation_antiporter_activity_(GO:0015368),2/49,5.85270152661325e-05,0.000994959259524253,0.000199130665794002,0.00338522131849803,-81.7938369095137,797.164543055627,trp;ninaC
calcium-transporting_ATPase_activity_(GO:0005388),1/15,0.00374475314943831,0.0159152008851128,0.00892230327490328,0.0379197889183389,-104.741694954833,585.233702282667,trp
diacylglycerol_kinase_activity_(GO:0004143),1/32,0.00797523593801193,0.0271158021892406,0.0183584417579705,0.0624187019770997,-70.9190132317585,342.63911665958,trp
adrenergic_receptor_activity_(GO:0004935),1/55,0.0136759428236966,0.034986899853467,0.0310531388382896,0.0788732671531366,-30.443957302246,130.669026318631,trp
myosin_heavy_chain_binding_(GO:0032036),1/135,0.0333007253852793,0.0391190644159861,0.0745651415756485,0.0875516470756521,-26.68479902709,90.7863854536826,ninaC
phospholipid_transporter_activity_(GO:0005548),1/63,0.0156526425478549,0.034986899853467,0.0354493192150653,0.0788732671531366,-14.1102230591963,58.6578273173434,trp
PDZ_domain_binding_(GO:0030165),2/196,0.000937142152546397,0.00796570829664438,0.00304599637253794,0.0258909691665725,-7.70267851225019,53.7082783393698,trp;ninaC
cation_channel_activity_(GO:0005261),1/83,0.0205805293255688,0.034986899853467,0.046396039501845,0.0788732671531366,-6.86941843611961,26.6767670710419,trp
ATPase_binding_(GO:0051117),1/113,0.0279353356368957,0.0391190644159861,0.0626989842462189,0.0875516470756521,-6.92773550943884,24.786487730127,ninaC
myosin_binding_(GO:0017022),1/132,0.0325704797018037,0.0391190644159861,0.0729514803682505,0.0875516470756521,-6.99321152712241,23.9471964204419,ninaC
myosin_light_chain_binding_(GO:0032027),1/125,0.0308648568431767,0.0391190644159861,0.0691808045534019,0.0875516470756521,-6.28685623024726,21.8665476535351,ninaC
phosphatidic_acid_binding_(GO:0070300),1/140,0.0345168215435172,0.0391190644159861,0.077251453302046,0.0875516470756521,-4.44651667519484,14.9683468470954,ninaC
protein_kinase_activator_activity_(GO:0030295),1/264,0.0642867075660504,0.0642867075660504,0.142622849173599,0.142622849173599,-1.60301830274285,4.39932726825838,ninaC
Rab_GTPase_binding_(GO:0017137),1/235,0.0573911067901795,0.0609780509645657,0.127549516768085,0.135521361566091,-0.494951876714967,1.41450610131008,ninaC
