Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
bitter_taste_receptor_activity_(GO:0033038),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-43.7969758066757,303.625584043886,trp;ninaC
G-protein_coupled_photoreceptor_activity_(GO:0008020),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-22.0334969437218,152.7487515941,trp;ninaC
diacylglycerol_kinase_activity_(GO:0004143),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-18.9241875940462,131.193248048933,trp;ninaC
calcium:cation_antiporter_activity_(GO:0015368),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-18.445208489727,127.872692060417,trp;ninaC
FAD_binding_(GO:0071949),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-14.4673224200452,100.295719931144,trp;ninaC
calcium-transporting_ATPase_activity_(GO:0005388),1/200,0.0490147537911314,0.0490147537911314,0.0882724027386232,0.0882724027386232,-31.5919275553545,95.2696885999292,ninaC
antiporter_activity_(GO:0015297),1/200,0.0490147537911314,0.0490147537911314,0.0882724027386232,0.0882724027386232,-31.3008039070373,94.3917662487002,ninaC
cation:chloride_symporter_activity_(GO:0015377),1/200,0.0490147537911314,0.0490147537911314,0.0882724027386232,0.0882724027386232,-23.0242580218237,69.4327336671733,Gat
flavin_adenine_dinucleotide_binding_(GO:0050660),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-3.29968723267414,22.8753114736778,trp;ninaC
potassium_ion_antiporter_activity_(GO:0022821),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-3.29093125412654,22.8146100427817,trp;ninaC
potassium_ion_symporter_activity_(GO:0022820),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-3.22902690903787,22.3854538605062,trp;ninaC
"phosphotransferase_activity,_for_other_substituted_phosphate_groups_(GO:0016780)",2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-1.95606158570133,13.5605331291812,trp;ninaC
lipase_activity_(GO:0016298),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-1.75396430946183,12.1594796910911,trp;ninaC
taste_receptor_activity_(GO:0008527),1/200,0.0490147537911314,0.0490147537911314,0.0882724027386232,0.0882724027386232,-3.19000367957086,9.6198833278799,ninaC
guanyl_ribonucleotide_binding_(GO:0032561),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-1.29024899316736,8.94474097576306,trp;ninaC
symporter_activity_(GO:0015293),1/200,0.0490147537911314,0.0490147537911314,0.0882724027386232,0.0882724027386232,-2.45604510981716,7.40653296288031,ninaC
"phosphatidylinositol-4,5-bisphosphate_phosphatase_activity_(GO:0106019)",2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-0.734477798443006,5.09181847404025,trp;ninaC
"phosphatidylinositol-4,5-bisphosphate_binding_(GO:0005546)",2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-0.608136417908839,4.21594805725795,trp;ninaC
phosphatidylinositol_bisphosphate_binding_(GO:1902936),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-0.595791328766793,4.13036486728216,trp;ninaC
phospholipid_transporter_activity_(GO:0005548),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-0.539526828272601,3.74030730031923,trp;ninaC
phospholipase_activity_(GO:0004620),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-0.519668273807837,3.60263648888589,trp;ninaC
phosphoric_diester_hydrolase_activity_(GO:0008081),2/200,0.000975491001241299,0.00126240011925345,0.00271813240691741,0.00351758311483429,-0.46392114447035,3.21616563348759,trp;ninaC
