Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Z.score,Combined.Score,Genes
lipase_activity_(GO:0016298),1/7,0.00174895020992126,0.0140352825533434,0.00705620763582389,0.0503549964163755,-3.02273084055695,19.1905308397486,trp
cation_channel_activity_(GO:0005261),1/17,0.00424320475875176,0.0140352825533434,0.015841334480495,0.0503549964163755,-1.82658016827985,9.97757810085905,trp
protein_kinase_C_binding_(GO:0005080),1/45,0.0112006038536504,0.0140352825533434,0.0402320163516888,0.0503549964163755,-2.17307744527789,9.76100229348481,trp
amino_acid_transmembrane_transporter_activity_(GO:0015171),1/26,0.00648376867908369,0.0140352825533434,0.0237145725754912,0.0503549964163755,-1.886450553238,9.50479311220362,trp
protein_transmembrane_transporter_activity_(GO:0008320),1/41,0.0102090778353819,0.0140352825533434,0.0367663706673207,0.0503549964163755,-1.95633225727629,8.96876213671943,trp
myosin_light_chain_binding_(GO:0032027),1/27,0.00673247105008972,0.0140352825533434,0.0245874249916805,0.0503549964163755,-1.56030260539428,7.80278160496574,ninaC
P-P-bond-hydrolysis-driven_transmembrane_transporter_activity_(GO:0015405),1/41,0.0102090778353819,0.0140352825533434,0.0367663706673207,0.0503549964163755,-1.70064554110506,7.79657201904928,trp
P-P-bond-hydrolysis-driven_protein_transmembrane_transporter_activity_(GO:0015450),1/41,0.0102090778353819,0.0140352825533434,0.0367663706673207,0.0503549964163755,-1.68633991460479,7.7309881895027,trp
myosin_heavy_chain_binding_(GO:0032036),1/32,0.00797523593801193,0.0140352825533434,0.0289458316223224,0.0503549964163755,-1.47272981099554,7.11536749487327,ninaC
phosphatidic_acid_binding_(GO:0070300),1/47,0.0116960687944528,0.0140352825533434,0.0419624970136462,0.0503549964163755,-1.59775130887807,7.10760068251697,ninaC
phosphatase_binding_(GO:0019902),1/67,0.0166398032403185,0.018152512625802,0.0591814237019829,0.0645615531294359,-1.26018041367801,5.16164562866832,trp
myosin_binding_(GO:0017022),1/109,0.02695725585412,0.02695725585412,0.0948329166853986,0.0948329166853986,-1.20563610085489,4.35656940686372,ninaC
