pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GO:0000070,0.260485651214128,0.68160280883556,0.125033367555272,-0.440113315963486,-1.18114091441673,13,Q86BS3|A1Z6P3|Q7JNE1|Q9VCC0|Q7KND8|P25171|Q9VQ93
GO:0000165,0.450244698205546,0.807816079658403,0.0739901439101342,0.348205667158391,0.99609579157832,22,Q9VZU7|Q9V393|Q9VW73|O62602|O61443|Q7KJ08|Q9VB05
GO:0000226,0.350877192982456,0.7557726373898,0.12384217120105,-0.279610442865271,-1.04672180196815,48,Q9VHT3|Q9VJZ5|Q9I7K0|Q9VB22|Q86BS3|A1Z6P3|P17210|M9PGG8|A1Z9J3|Q9VCC0
GO:0000278,0.758208955223881,0.976515065270188,0.0449543067640062,0.234278286414791,0.836832698519071,65,Q9W2E7|Q9VH81|P48596|Q94901|Q9VPL0|Q7K012|O18332|Q9VP57|Q9VE85|Q02748|P48148|Q9NBD7|Q9VB05|P40797|Q9VGP6
GO:0000280,0.833060556464812,1,0.0448645113168564,0.254593186805737,0.742553172232378,24,P21187|Q9W2E7
GO:0000281,0.947019867549669,1,0.0526973085708419,-0.228660677158825,-0.592073110281319,12,P83967|Q23983|Q8T0Q4
GO:0000302,0.750915750915751,0.975293507473243,0.0547939500773363,0.339974349893649,0.785571809837454,10,P17336|Q9VXK7|P05031|O61443
GO:0000375,0.437596302003082,0.79820806939451,0.0725351864394589,0.295430060086175,1.0136217568422,52,P21187|Q94901|Q9VPL0|Q7KLW9|Q9W3M7|Q8MZI3|Q9V3L6|Q9VXE0|Q24297|Q02748|Q27268
GO:0000377,0.437596302003082,0.79820806939451,0.0725351864394589,0.295430060086175,1.0136217568422,52,P21187|Q94901|Q9VPL0|Q7KLW9|Q9W3M7|Q8MZI3|Q9V3L6|Q9VXE0|Q24297|Q02748|Q27268
GO:0000380,0.179930795847751,0.574809904237254,0.134273452883202,0.477861845133643,1.25054109615496,16,Q7KLW9|Q9W3M7|Q8MZI3|Q02748|Q27268
GO:0000381,0.56648451730419,0.899979434749398,0.0679922591544058,0.374837153427816,0.918618254481136,13,Q7KLW9|Q02748|Q27268|A0A0B4KGY6
GO:0000398,0.437596302003082,0.79820806939451,0.0725351864394589,0.295430060086175,1.0136217568422,52,P21187|Q94901|Q9VPL0|Q7KLW9|Q9W3M7|Q8MZI3|Q9V3L6|Q9VXE0|Q24297|Q02748|Q27268
GO:0000578,0.957547169811321,1,0.0552495663125249,-0.205811009157449,-0.603030525052979,18,Q9VQ91|P17210
GO:0000819,0.260485651214128,0.68160280883556,0.125033367555272,-0.440113315963486,-1.18114091441673,13,Q86BS3|A1Z6P3|Q7JNE1|Q9VCC0|Q7KND8|P25171|Q9VQ93
GO:0000902,0.636764705882353,0.938236326264601,0.0522693317499306,0.247482806141563,0.895430836917012,72,Q9V3I2|P06002|Q00174|P12080|Q9VN14|Q9VPX6|Q9U4G1|M9PF16|Q7K012|O18332|P48148|Q9NBD7|Q7KJ08|P11046|Q9VND8|P16620|Q0KI98|O44386|P08646|P35992|Q24090|O97102
GO:0000910,0.860103626943005,1,0.0458620343117985,0.272126817234997,0.720628026341051,17,P21187|O18332|P48148|Q9VB05|P40797
GO:0000956,0.761384335154827,0.976515065270188,0.0538979025357319,0.321450151057402,0.78778203805753,13,Q9VNH5|P23128|Q9VKK1|Q9VJI7|Q9VEN9|Q9W1H5|Q9W0C3|Q7K1Q7|Q9W2K2|Q8SY33|Q8IPX7|Q9W1M9|Q9VVI2
GO:0001558,0.91832229580574,1,0.0541200569620232,-0.247825135233049,-0.641695810781677,12,Q9VRJ6|A1Z9J3|M9PHA0|Q94533
GO:0001654,0.0107065479400119,0.210918994418235,0.380730400722792,0.488602900617245,1.61835179943612,41,Q9VZU7|P21187|Q24253|Q9VBC7|P06002|Q9VPX6|Q5U117|Q9U4G1
GO:0001666,0.24780701754386,0.66984942402507,0.128142916898415,-0.498397457479729,-1.21491303761475,10,P91927|Q9VF15|O46067|Q9VG69|Q9Y0V3
GO:0001667,0.017029558039895,0.226451508042196,0.352487857583619,0.571385675639325,1.58584112137146,20,Q9VU68|Q9V3I2|P48596|P12080|O76742
GO:0001700,0.928455284552846,1,0.0395979123961192,0.229448134168168,0.663729886370672,23,P32392|Q9V3I2
GO:0001709,0.357456140350877,0.762108870661502,0.103576326612592,-0.449079832738853,-1.09469447633865,10,Q9VB22|A1Z9J3|P92177|Q9VQQ0
GO:0001736,0.46448087431694,0.819916955559473,0.0780892306943345,0.409695413701554,1.00404584327291,13,Q9VU68|P16378|P48148|P08646
GO:0001738,0.508650519031142,0.857912262406977,0.0707899094502623,0.370578761296114,0.96978650855329,16,Q9VU68|P16378|P48148
GO:0001745,0.0138701807408459,0.226451508042196,0.380730400722792,0.501016595635372,1.60600399405685,36,Q9VZU7|P21187|Q9VBC7|P06002|Q9VPX6|Q5U117|Q9U4G1
GO:0001751,0.00948345095931849,0.210918994418235,0.380730400722792,0.541208008033529,1.63486928067867,27,Q9VZU7|P21187|Q9VBC7|P06002|Q9VPX6|Q9U4G1
GO:0001754,0.0180437216555887,0.23081903676305,0.352487857583619,0.514231405240348,1.56714152813563,28,Q9VZU7|P21187|Q9VBC7|P06002|Q9VPX6|Q9U4G1
GO:0001763,0.632058287795993,0.938236326264601,0.0626618230932492,0.36809352996482,0.883156285064142,12,Q9W4P5|Q9VVA7|Q9VND8|P08646|P35992|P40417
GO:0001894,0.0115844536522927,0.212667264080604,0.380730400722792,-0.680479634299328,-1.76197192525085,12,P10676|P19334|Q7K5M6|Q9W3E2|Q9W266
GO:0002009,0.638036809815951,0.938236326264601,0.0541200569620232,0.266116080023821,0.89884944549438,47,Q9VU68|Q9V3I2|Q9W4P5|Q9VLT3|P16378|O62602|P48148|Q9VVA7|Q9VW57|Q9VND8|Q24372|O44386|P08646|P35992|P40417|Q9VM50
GO:0002064,0.117370892018779,0.489353662717877,0.160801401070022,0.418064242655224,1.3139452869796,32,Q9VU68|Q9V3I2|P12080|O76742|Q9W414|Q7KY04|P48148
GO:0002164,0.240650406504065,0.658198474024396,0.109684061970549,0.41211246937591,1.19212720322377,23,Q9VQE0|P48596|Q9VW34|Q9VSN9|Q9VR79
GO:0002165,0.204477611940299,0.619724454649828,0.114750719227023,0.329178789532837,1.17581351202257,65,Q9VU68|Q9VBC7|Q9VHC3|Q9V3I2|P48596|P12080|Q9VW34|Q9VSN9|Q9VR79|P16378|P12370|Q9VF24|Q9VFC2|Q9VY05|O61443|P48148|P40797|Q9VW57|Q9W3N6|P14484|P08646|Q9VHI1|P42207|Q24090|P40417|O97102|Q9VM50
GO:0002168,0.0635208711433757,0.366612762462139,0.241339976815091,0.613599191270093,1.45994596393523,11,P48596|Q9VW34|Q9VSN9|Q9VR79
