"protein_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q9VC18",0.840900893783122,18.2100580023051,16.6428464139454,8.08835706183817e-09,8.23034465067389e-06,10.9051764882554
"Q9VC06",0.861311545357717,16.3836066963437,16.1279208945203,1.1081951571981e-08,8.23034465067389e-06,10.6069195850731
"Q8MSI2",-0.761746348228659,24.0545359721853,-15.5135982250325,1.63373398157613e-08,8.23034465067389e-06,10.2361431026761
"P10676",-1.06222841949458,19.7094940821678,-15.2222953299637,1.97370375315921e-08,8.23034465067389e-06,10.0543532220728
"Q9W3J5",0.639137617105982,16.0545409045738,14.4748461650063,3.25645909721152e-08,1.08635475482976e-05,9.56924794521206
"Q7JUS9",0.711004592010102,20.537771745897,13.9568042923957,4.67275586374568e-08,1.13107117237373e-05,9.21635189240244
"Q7JYW9",0.651452471682957,17.2082297076694,13.9346672633165,4.74670156271947e-08,1.13107117237373e-05,9.20095275581483
"Q9VLB7",0.814590382361004,21.0791828750061,13.2624395275421,7.73158519509241e-08,1.61203551317677e-05,8.72028315875468
"Q9VXP3",0.652701908406097,14.5121579002444,13.074400957357,8.897452689607e-08,1.6489945651405e-05,8.58114790043441
"Q9VFN7",-0.588266316630886,18.6432717821932,-12.8523114644121,1.05275679013624e-07,1.75599832594724e-05,8.41406800384503
"Q9VZU7",0.551207876873782,17.5103451390685,12.6972636876086,1.18578465514871e-07,1.7980807316255e-05,8.29561896662086
"Q9V3N7",0.605663705165867,20.5385384549374,12.2323686635011,1.70759607554139e-07,2.37355854500253e-05,7.9312559775038
"Q9VAJ9",0.869971970779755,17.6603525856979,11.9121380845183,2.21104881606807e-07,2.65667384605688e-05,7.6719288726211
"Q9V4E7",1.30292940665369,15.7149598382524,11.9017847987221,2.22982217294942e-07,2.65667384605688e-05,7.66342726320171
"Q9VHR8",0.524861763115318,20.3332388569267,11.725209570376,2.5782688587212e-07,2.86703497089798e-05,7.51727628131211
"Q9VA09",0.717891126775829,16.3754738181992,11.42084694789,3.3265068330136e-07,3.37554932242762e-05,7.26012169508041
"Q9W2N0",0.542470712111857,16.2793021701122,11.2257792280125,3.92881524274596e-07,3.37554932242762e-05,7.0917252259422
"Q9VLC5",0.701507924379619,21.7692412956303,11.2220140471308,3.94155178766879e-07,3.37554932242762e-05,7.08844671102711
"Q9Y119",-0.735322922691761,17.7195433413239,-11.2196527847401,3.94956221403794e-07,3.37554932242762e-05,7.08639010359949
"P19334",-1.02046554310178,15.2730765209876,-11.1912206229168,4.04742124991322e-07,3.37554932242762e-05,7.06159307574016
"Q9VZF6",0.551316518553071,14.9998471495332,11.1181731017177,4.31116122953762e-07,3.42429377660417e-05,6.99760217886482
"O17444",0.784590846022143,15.3876834242501,10.9421882539596,5.02671064415099e-07,3.70790823304472e-05,6.84174487283463
"P21187",0.620905529959327,18.8653479843893,10.9228688607702,5.11282310311921e-07,3.70790823304472e-05,6.82448773252691
"Q7JYX5",0.793371589126801,14.9267010936988,10.7959012639389,5.7203235454505e-07,3.9756248640881e-05,6.71033794036221
"O97125",0.662541786334245,18.4676698327401,10.6521336651366,6.50465714147654e-07,4.19334167823813e-05,6.57952356197389
"Q8IN49",0.504142342313791,16.8480441019707,10.6057745883844,6.7819558213449e-07,4.19334167823813e-05,6.53698305836305
"Q9VW54",0.560651678722614,15.8118021696516,10.576649883606,6.96273123284113e-07,4.19334167823813e-05,6.51016711383456
"Q9V3A8",0.688036884714656,15.5547024449285,10.5645795186677,7.03918267330142e-07,4.19334167823813e-05,6.49903309988078
"Q9VV31",-1.30560764476999,15.7123156107349,-10.4948109548456,7.49937676275957e-07,4.31343463458033e-05,6.43444040998491
"Q7K569",0.647037923071398,20.5586605327605,10.4334886306053,7.93096618596596e-07,4.36047798008895e-05,6.37733247317661
"A1Z803",0.62962900555803,18.7875165107467,10.4099153436893,8.10400583829481e-07,4.36047798008895e-05,6.35529532614478
"Q9VTZ4",0.485339585691364,18.1463896215055,10.1627399549062,1.01876222601169e-06,5.05488954842298e-05,6.1213787360048
"Q9VN13",0.710376988671154,17.0180794147003,10.1466191743346,1.03424593713986e-06,5.05488954842298e-05,6.10593974861004
"Q9VIE8",0.457393424264129,24.7787791147132,10.138258102602,1.04237724024962e-06,5.05488954842298e-05,6.09792336142795
"Q9W299",0.779784425939949,14.7567095230134,10.1196966180527,1.06067826255878e-06,5.05488954842298e-05,6.08010523346378
"Q9W3Y3",-0.482577044523619,18.1323159790602,-10.0325047028396,1.1514513350763e-06,5.33505785252017e-05,5.99600019427103
"Q24253",0.756144490100898,18.8785118802021,9.75172085157313,1.50611087647466e-06,6.69545224212191e-05,5.72054012748415
"O16797",0.502613650816549,16.5525710859797,9.73861408598584,1.52534283693425e-06,6.69545224212191e-05,5.70750681758337
"Q94523",0.588152281167012,20.3945432060371,9.67810792695838,1.61765285442395e-06,6.9039770444901e-05,5.64713413955695
"Q0E8E8",0.572028141560423,21.737234242923,9.65429668155406,1.65562998668827e-06,6.9039770444901e-05,5.62328233551901
"Q7K148",0.66557861952921,16.828608977072,9.61813013183072,1.71517900839512e-06,6.91669208203156e-05,5.58695306609553
"Q9VFQ9",0.448707242009668,19.0889759707233,9.60251060154758,1.74161311418061e-06,6.91669208203156e-05,5.57122542844108
"Q9VXQ0",0.532641285538663,14.9126197120224,9.54706082420704,1.83909062267654e-06,7.13396083401041e-05,5.51520666834977
"Q9V3B6",-0.832423531891061,13.1968670391521,-9.496502481538,1.93315099074615e-06,7.3283996649195e-05,5.46387629049129
"Q9W1H8",0.585664501461611,20.5577442943077,9.46270132820552,1.99894467410799e-06,7.40942159202694e-05,5.42942341323075
"Q9VQE0",0.549085874673347,17.2622245429953,9.44004514332221,2.04440457047918e-06,7.41318874686799e-05,5.40626928530711
"Q9VU68",0.470565659899201,19.4388250121947,9.38620019820314,2.15701577199343e-06,7.65511129294689e-05,5.35104316818362
"Q9VED8",0.573661669605334,16.2710401187074,9.27861384426788,2.40273705704752e-06,8.34951127324013e-05,5.23985645931036
"Q9VJQ3",0.450210331341523,20.5274965930756,9.17660420134489,2.66400825861254e-06,9.06850158237903e-05,5.13338595343063
"A1ZB70",-0.57368743941745,16.0980868163516,-9.07900140397558,2.9430858142725e-06,9.81813427641305e-05,5.03054769433862
"Q9VA42",-0.755475941357517,20.3322919174719,-9.0593615232661,3.00299117363708e-06,9.82106808334962e-05,5.00973887657329
"P23779",-0.470902804573218,20.984009434458,-9.04051468341029,3.06172386291475e-06,9.82106808334962e-05,4.98973371364871
"Q8SXD5",-0.567410558158702,20.7936229197279,-9.01362441544985,3.14769160853446e-06,9.90632000572732e-05,4.96112855958623
"Q9VUY9",0.482887429018465,19.7332429394191,8.98898637984964,3.22876234140143e-06,9.97328812121774e-05,4.934854847046
"P45437",0.55850861028784,16.0136600485525,8.93288496235604,3.42194512007174e-06,0.000103545735616877,4.87479799713128
"A1Z9A8",0.522674084939718,16.6312088986939,8.91770281090968,3.47635563222127e-06,0.000103545735616877,4.8584900109721
"P54385",0.54871898654509,21.4839687458882,8.85542950733143,3.70956108622775e-06,0.000108553471786454,4.79135036896676
"Q9V521",-0.722962615495023,17.7263101957716,-8.83023996302008,3.80866792615686e-06,0.000109532036221201,4.76407839044531
"Q9U9Q4",0.486398711129024,17.9078327292421,8.7770806105817,4.02737956253978e-06,0.000113858798479938,4.70630746348067
"Q9VKD3",0.499923639365804,18.6746524379746,8.75798453585332,4.10924125807847e-06,0.000114236906974581,4.68548265129149
"Q8SXF0",0.521309132596533,16.3341251347788,8.71573530111579,4.29684386274075e-06,0.000117494025623796,4.63927244202218
"P29613",-0.388251559438565,23.8922040676639,-8.67708467844145,4.47662282924495e-06,0.000120435594825493,4.59683315881054
"Q9W2L6",0.43362513511978,20.9501305306961,8.45423643990591,5.68595669649002e-06,0.00015054247253564,4.3490228236515
"Q9VF86",0.470456506848713,17.632686977658,8.39784144497411,6.04532197033922e-06,0.000157556203851966,4.28545644027289
"Q9VV36",-0.556198564578295,23.1814180507471,-8.31511618821141,6.61775613226683e-06,0.000169821803517247,4.19157723890933
"Q9W2E7",0.37425437252001,18.4701927689069,8.22718138929018,7.29129052553736e-06,0.000184270796918126,4.09095078740226
"P41093",0.622296737158742,18.835029355193,8.16237160787834,7.8351473261423e-06,0.000194374860135585,4.01623035787755
"Q7K2Q8",-0.398395918383683,16.1083529272324,-8.15223020337847,7.92415496955623e-06,0.000194374860135585,4.00449509894669
"Q9VXZ8",0.600293034583544,17.9019418010034,8.08143091252982,8.57689250055602e-06,0.000207337053491702,3.92224225274995
"Q9W309",-0.560497296245718,18.3949158035826,-8.03960552277454,8.98969370277816e-06,0.000214211558517628,3.87338074741525
"A8DYP0",-0.580146686000123,15.2845974395829,-7.96934692115766,9.73234401025069e-06,0.00022564948806518,3.79084825007991
"Q9VHT3",-0.462898367023577,15.8020360385269,-7.96676241332366,9.76089991801155e-06,0.00022564948806518,3.78780131876288
"Q8SZN1",-0.609020650279739,20.1626511352097,-7.95646780106253,9.87554713954325e-06,0.00022564948806518,3.77565706346413
"Q24276",-0.547336177520485,18.7145023724167,-7.92171791670986,1.02734345238753e-05,0.000231568767376,3.73457233629156
"Q01637",0.485075439620372,15.9273595432334,7.87854495069924,1.0792104645529e-05,0.000240016407316564,3.68333206845834
"Q7K485",0.475719983612446,20.5141273347905,7.83085084599457,1.13982358701987e-05,0.000250161281993307,3.62647079305393
"Q9VPN5",-0.431240780039978,21.2597316195653,-7.79926469902748,1.1819874400866e-05,0.000256046110397979,3.58866542302012
"Q9VNE9",0.509236117966555,18.695510857436,7.7202634259563,1.29501600822541e-05,0.000276934192528203,3.49358884487651
"Q9W253",0.514689251093907,15.1130395169647,7.69666457234635,1.33100714598464e-05,0.000281027837911694,3.46504309859731
"P46415",0.391581563534654,18.0968893840846,7.61413507319109,1.46563293312424e-05,0.000305584466556404,3.36468504454833
"Q9W461",-0.458675375780478,16.2136948665308,-7.58140399402594,1.52304193968102e-05,0.000313633821652832,3.32465431952582
"O01666",0.371951042810082,22.7594565068746,7.56089700178587,1.56024594018868e-05,0.000317376857101796,3.29950728751733
"Q9VMR6",-0.426275564100095,18.8334896695247,-7.53949484785625,1.60012401875957e-05,0.000318976646285979,3.27320767291039
"Q9VFZ4",0.668024980805045,16.4946847755605,7.52446155091937,1.62879325705105e-05,0.000318976646285979,3.25470071470864
"Q9VNW6",0.886768112530575,21.564159826657,7.52090131781711,1.63566379021179e-05,0.000318976646285979,3.25031377241352
"P35381",0.381231344047119,25.6871452573115,7.50986376233796,1.65716387043621e-05,0.000318976646285979,3.2367033174737
"Q9VH81",0.57411686681893,14.481187237746,7.50652518172778,1.66372711192327e-05,0.000318976646285979,3.23258354664151
"Q8SXQ1",0.49644565554901,18.6079920917571,7.49060209749176,1.69541879529809e-05,0.000321358926199683,3.21291574470417
"A0A0B7P9G0",0.759275092592084,14.659817896056,7.39066685167734,1.90983285197912e-05,0.000357932718775413,3.0887615074745
"Q9VBC7",0.541127349488585,16.1411389916009,7.36677740359695,1.96531508207734e-05,0.000363074684626165,3.05889842078705
"Q9V784",-0.579713391385583,14.2027932440259,-7.3602384999515,1.98080313555042e-05,0.000363074684626165,3.05071199559592
"Q9VIF2",0.418378605696796,17.4516358057169,7.2888001212034,2.15887036267708e-05,0.000391412583146235,2.96092439857486
"Q0E9B6",0.41581000738919,19.0414693457093,7.23425486455076,2.30645581669729e-05,0.000410917213303416,2.89193525052418
