"protein_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q9VC06",0.861311545357704,16.4572731614066,17.0271950622358,2.27439581990524e-11,3.79369222760194e-08,16.4000243256089
"Q9VC18",0.8409008937831,18.2956868694891,15.9756984229533,5.7511068997418e-11,4.79642315438466e-08,15.5117621848845
"Q9VLB7",0.814590382360993,21.0974381148568,14.7606589576254,1.80257074528044e-10,1.00222933437592e-07,14.4047637771722
"Q9VFN7",-0.588266316630904,18.6270162802085,-13.9954809683938,3.86441769568273e-10,1.6114621790997e-07,13.6586061810281
"Q9V3N7",0.605663705165842,20.5686569459863,13.7450780112769,4.99893330990734e-10,1.66764415218509e-07,13.4055548939968
"Q7JYW9",0.651452471682941,17.2438855857285,13.400592162657,7.17078227199795e-10,1.73026022815309e-07,13.0499296520903
"Q9VLC5",0.701507924379598,21.8300234017748,13.3821226676886,7.31247183314271e-10,1.73026022815309e-07,13.0306123704017
"Q9VZU7",0.551207876873768,17.579644743353,13.2599690165626,8.32758146802835e-10,1.73026022815309e-07,12.902198492323
"P10676",-1.06222841949458,19.6680274835087,-13.1533467528725,9.33593648284042e-10,1.73026022815309e-07,12.7891763103134
"Q9VAJ9",0.869971970779748,17.6372822657718,12.4994318077997,1.91530642114479e-09,2.97796713053442e-07,12.0763192205427
"Q9VA09",0.717891126775822,16.4222463769768,12.4545726184399,2.01439375040196e-09,2.97796713053442e-07,12.0261389410304
"Q9VXP3",0.65270190840609,14.6276616252256,12.3150442278242,2.35885793688295e-09,2.97796713053442e-07,11.8689793343977
"A1Z803",0.629629005558016,18.850181843222,12.2804654008238,2.45353134414646e-09,2.97796713053442e-07,11.8297761161399
"P21187",0.620905529959316,18.9554877083743,12.2641844665348,2.49949279541258e-09,2.97796713053442e-07,11.8112825517896
"Q9Y119",-0.735322922691768,17.7137644715383,-11.9944414625794,3.40953869309834e-09,3.79140702672535e-07,11.5015525613983
"Q9W3J5",0.639137617105979,16.1340150729091,11.8679596831181,3.9516850054697e-09,4.11963161820216e-07,11.3541264320372
"Q9W2N0",0.542470712111847,16.1920856092483,11.7759211543357,4.40320025641882e-09,4.15741219864059e-07,11.2459505348941
"Q9W1H8",0.585664501461594,20.5885079530425,11.7490204301733,4.54525060376087e-09,4.15741219864059e-07,11.2141893228491
"O97125",0.662541786334231,18.5365371323678,11.6730186626527,4.97342552633375e-09,4.15741219864059e-07,11.1241010907944
"Q9VV31",-1.30560764476998,15.6252071715139,-11.6710772714636,4.98490671299831e-09,4.15741219864059e-07,11.1217929935063
"Q9VHR8",0.524861763115304,20.4200281317183,11.40665723926,6.84425079416225e-09,5.14826801373419e-07,10.8041838262378
"Q7JUS9",0.711004592010092,20.4511940936475,11.3999690205398,6.89987582503677e-09,5.14826801373419e-07,10.7960659092596
"Q9V3A8",0.688036884714643,15.5552073607755,11.3764940544369,7.09893071438168e-09,5.14826801373419e-07,10.7675395573629
"Q9VN13",0.710376988671154,17.063191730045,11.3365005600549,7.45217698671916e-09,5.17926300576982e-07,10.7188205428374
"O16797",0.502613650816539,16.7021443619149,11.1118341112362,9.81466844834e-09,6.54834678873245e-07,10.4423052997502
"Q9V3B6",-0.832423531891063,13.2564357029021,-11.070629965636,1.03280256159664e-08,6.62582566439693e-07,10.3910642672852
"Q9VU68",0.470565659899183,19.3199390217204,10.9708888765887,1.16919204517277e-08,7.13245973362205e-07,10.2663409792095
"Q7K148",0.665578619529196,16.849496891228,10.9518703149001,1.19729539892936e-08,7.13245973362205e-07,10.2424479110992
"Q7JYX5",0.793371589126801,14.9157334791088,10.7622218479595,1.51999556086386e-08,8.47657775356806e-07,10.0022266370317
"A1ZB70",-0.573687439417457,16.1040253476183,-10.7598532326644,1.52456434416692e-08,8.47657775356806e-07,9.99920362950756
"Q24253",0.756144490100887,18.9061045823468,10.726553731461,1.59035502014238e-08,8.55713604386285e-07,9.95664433194997
"Q9W3Y3",-0.482577044523634,18.0873189781384,-10.5881161636925,1.89781208491041e-08,9.89234549259552e-07,9.77850324922088
"Q8SXD5",-0.567410558158709,20.7561679568443,-10.5390869504578,2.02127331311327e-08,1.02166178371907e-06,9.71494207914322
"Q9VW54",0.560651678722602,15.8773081089544,10.4345189277314,2.31383819320862e-08,1.13514179596235e-06,9.57854979611287
