"protein_id","Earth_F1","Earth_F2","Earth_F3","Earth_M1","Earth_M2","Earth_M3","SF1g_F1","SF1g_F2","SF1g_F3","SF1g_M1","SF1g_M2","SF1g_M3","SFug_F1","SFug_F2","SFug_F3","SFug_M1","SFug_M2","SFug_M3"
"A0A0B4K692",14.037240032759,15.7357971900809,17.6543359435988,13.6845027703483,15.8541494341468,17.7246162493948,14.1648261078672,15.8914914541735,17.7610926408992,14.0019483374587,15.8318911140651,17.7320414094911,14.165156617914,16.2146920328162,18.1769758288545,14.4063193910513,16.0923618156888,18.0036278914135
"A0A0B4K7J2",15.3587116180192,15.6242096694441,16.9290431793959,14.989064187701,15.0460005630306,16.3559631874593,15.146988885336,15.162065305391,16.4674292690608,15.2290527346252,15.1170431520127,16.4318273477707,15.3344314177887,15.4545266848476,16.6662716422739,15.5599169637275,15.7481216162736,16.6731970202038
"A0A0B4KGY6",20.5248901575634,21.3030869673414,22.8405182590124,20.8814231363393,21.542147860102,23.0844756912557,20.696147394954,21.3616046067982,23.018715292184,20.8478269932793,21.6380689735768,23.4279075372386,20.686338148939,21.3966016978775,22.8390881834122,20.8627875483588,21.6680733223335,23.2421191438671
"A0A0B4KH34",22.5883610773756,23.7028767501254,24.0327121001698,22.4095172871074,23.6291182732395,24.0760804727598,22.5970213996363,23.7552379956835,23.88035100258,22.4743277862582,23.6297791185023,24.0955433285592,22.5372990059315,23.6380702894803,23.9625243559701,22.5028474446146,23.4706260088979,23.8775961744023
"A0A0B4KHJ9",23.4968763033741,24.6525773907681,26.3301811924082,23.3140016677722,24.4092018368997,25.8819735318955,23.3796198764758,24.4250505896035,26.2788794819623,23.0661519962765,24.2191971694065,26.0153364505586,23.2500050243595,24.4019767353723,25.8710357558452,23.1975456787903,24.4122932930296,25.6246961652071
"A0A0B4KI23",20.0036525723621,20.7138764969923,21.3954092959766,19.9185205306108,20.5980337948025,21.2371681586035,19.8154594799554,20.3784754762538,21.3224631254833,19.5749979936243,20.4471844591571,21.1365253614935,19.9831411574068,20.4759649017843,21.2516331143663,19.709332139293,20.4895179140763,21.0097243580233
"A0A0B4LFA6",18.7137592574966,18.8236827556091,20.5692841430042,19.0881863387764,18.9663779697446,20.5202979826025,18.8890338830905,18.9291705123159,20.6962507647064,19.1093793956455,19.1066405297894,20.7095388203951,18.9492987250953,19.0144330989846,20.6969753942835,18.9689121397638,19.1456627286893,20.6484775125497
"A0A0B7P9G0",14.5928202575015,12.4577101736729,15.9032729739396,14.2078452697683,12.6252317721446,15.8942016515332,14.6405827368957,12.8808621921004,15.7309379546453,14.6737655281844,12.8829315986479,16.0401341602005,15.1160316745909,13.5757005911733,16.4320948096328,14.9381441901571,13.7010843957103,16.473676992848
"A0A126GUP6",16.1259169690665,17.3902934054597,18.1643908133209,16.0223950101516,17.2864289805526,17.9862360820398,15.9618717410184,17.2711610048282,18.0336028961272,15.8242349246042,17.1030939835971,17.8496304771478,15.2593731542736,17.0499928831809,17.6481121933974,16.0167001878307,17.2427098928545,17.7699353759704
"A0A6H2EG56",19.9569217534871,20.5680580802085,22.4814377595333,19.9355489258234,20.6183870440023,22.1307620751317,19.9135764120341,20.50848396884,22.4262634659875,19.7502300917762,20.666025458142,22.2714382275695,19.6996297617628,20.6032276260265,22.0870292855573,20.1014597862797,20.7219081693161,21.9703570528223
