Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 128C, Sample, n/a, Earth_F3	Abundances Count: F8: 128C, Sample, n/a, Earth_F3	Modifications
A0A0B4K692	Neprilysin-2	7.62	6	7	6	256919.44090000002	7	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	4.16	10	10	10	155403.47123	9	
A0A0B4KGY6	RNA-binding protein Pasilla	20.77	19	75	19	9353958.86192	66	
A0A0B7P9G0	Unextended protein	11.87	9	10	9	76325.47379999999	8	
A0A126GUP6	Melanization protease 1	31.25	10	14	9	365880.62343	12	
A0A1F4	Protein eyes shut	12.91	28	65	0	2742138.302	59	
A1Z6H7	Nuclear pore membrane glycoprotein 210	3.2	5	5	5	13091.820240000001	4	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	21.73	13	17	11	276638.9036	15	
A1Z713	Intermembrane lipid transfer protein Vps13	0.96	3	3	3	24974.568	3	
A1Z7G7	Latrophilin Cirl	1.24	2	2	0	12879.3022	2	
A1Z7T0	Serine/threonine-protein kinase N	3.78	4	4	0	17071.7272	4	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	10.1	5	6	1	26265.134899999997	4	
A1Z877	Nidogen	21.48	28	49	28	2842790.8297	46	
A1Z8D0	Periodic tryptophan protein 1 homolog	15.25	5	7	5	106301.8703	6	
A1Z8P9	Nucleoprotein TPR	24.08	56	65	0	1185789.6467	61	
A1Z9A2	UPF0587 protein CG4646	24.54	4	8	0	735031.417	7	
A1Z9A8	Small ribosomal subunit protein mS39	19.33	9	11	9	158328.23788	11	
A1Z9E2	Protein lin-54 homolog	24.32	22	26	0	459883.65464	26	
A1Z9S1	Biogenesis of lysosome-related organelles complex 1 subunit 1	31.29	3	4	3	16125.36206	3	
A1Z9X0	Atypical protein kinase C	3.96	2	2	0	12249.44	1	
A1ZA47	PDZ and LIM domain protein Zasp	28.08	49	133	0	226137.17373	19	
A1ZA77	Transmembrane protein 208	10.92	2	2	2	53049.842	2	
