Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 129N, Sample, n/a, Earth_M1	Abundances Count: F5: 129N, Sample, n/a, Earth_M1	Modifications
A0A0B4K692	Neprilysin-2	4.01	3	4	3	11193.3741	3	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.79	10	14	10	27649.84938	10	
A0A0B4KGY6	RNA-binding protein Pasilla	23.21	19	70	19	1642414.18964	64	
A0A0B7P9G0	Unextended protein	5.4	5	6	5	16088.39964	5	
A0A126GUP6	Melanization protease 1	23.0	8	16	7	56593.05945	12	
A0A1F4	Protein eyes shut	9.56	22	68	0	429810.59929	54	
A1Z6H7	Nuclear pore membrane glycoprotein 210	2.93	6	7	6	4730.2039	3	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	14.17	11	23	10	120511.08577	17	
A1Z7G7	Latrophilin Cirl	0.41	1	1	0	655.0238	1	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	9.07	4	4	1	5291.9177	3	
A1Z877	Nidogen	24.81	29	66	29	520940.85447	59	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	2	0	6572.6809	2	
A1Z8D0	Periodic tryptophan protein 1 homolog	6.75	3	3	3	454.79745	1	
A1Z8P9	Nucleoprotein TPR	19.69	51	83	0	176569.36842	59	
A1Z9A2	UPF0587 protein CG4646	30.67	5	10	0	108142.74595	10	
A1Z9A8	Small ribosomal subunit protein mS39	6.75	5	5	5	41065.61354	5	
A1Z9E2	Protein lin-54 homolog	24.95	21	43	0	144886.36554	33	
A1Z9X0	Atypical protein kinase C	2.97	2	2	0	5447.849099999999	2	
A1ZA47	PDZ and LIM domain protein Zasp	26.48	51	158	0	150995.36496	33	
A1ZA77	Transmembrane protein 208	10.92	2	5	2	39210.0741	3	
A1ZAJ2	Kinesin-like protein unc-104	3.41	6	6	0	6753.5244999999995	3	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	9.78	10	12	0	14863.67251	7	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	11.11	3	3	3	7533.0274	2	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	3.05	2	2	2	10971.5317	2	
A4VCL2	Extracellular serine/threonine protein CG31145	3.79	2	2	0	8936.7158	2	
A8DYH2	Ubiquitin-fold modifier 1	66.67	4	8	0	122360.69230000001	6	
A8DYP0	Protein Obscurin	2.11	10	12	10	22901.17164	7	
B7YZT2	Mitochondrial fission 1 protein	40.91	6	9	6	197777.6228	9	
C0HK92	Uncharacterized protein CG45076	49.92	34	106	0	1312811.60409	80	
C0HK94	Uncharacterized protein CG45078	50.92	11	31	9	192548.63622	17	
