Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 129N, Sample, n/a, Earth_M3	Abundances Count: F8: 129N, Sample, n/a, Earth_M3	Modifications
A0A0B4K692	Neprilysin-2	7.62	6	7	6	290206.8639	7	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	4.16	10	10	10	112382.54996	9	
A0A0B4KGY6	RNA-binding protein Pasilla	20.77	19	75	19	11917580.68525	67	
A0A0B7P9G0	Unextended protein	11.87	9	10	9	81600.50672	9	
A0A126GUP6	Melanization protease 1	31.25	10	14	9	347907.21045	12	
A0A1F4	Protein eyes shut	12.91	28	65	0	2795343.60599	58	
A1Z6H7	Nuclear pore membrane glycoprotein 210	3.2	5	5	5	14487.3912	4	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	21.73	13	17	11	307897.17863000004	15	
A1Z713	Intermembrane lipid transfer protein Vps13	0.96	3	3	3	16241.0513	3	
A1Z7G7	Latrophilin Cirl	1.24	2	2	0	17157.2774	2	
A1Z7T0	Serine/threonine-protein kinase N	3.78	4	4	0	13343.678	4	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	10.1	5	6	1	23035.6454	4	
A1Z877	Nidogen	21.48	28	49	28	2908778.7675	46	
A1Z8D0	Periodic tryptophan protein 1 homolog	15.25	5	7	5	89210.2151	6	
A1Z8P9	Nucleoprotein TPR	24.08	56	65	0	1142420.41813	61	
A1Z9A2	UPF0587 protein CG4646	24.54	4	8	0	746781.9380000001	7	
A1Z9A8	Small ribosomal subunit protein mS39	19.33	9	11	9	190164.3435	10	
A1Z9E2	Protein lin-54 homolog	24.32	22	26	0	483242.32415	26	
A1Z9S1	Biogenesis of lysosome-related organelles complex 1 subunit 1	31.29	3	4	3	16025.264299999999	3	
A1Z9X0	Atypical protein kinase C	3.96	2	2	0	12563.057	1	
A1ZA47	PDZ and LIM domain protein Zasp	28.08	49	133	0	315820.8023	19	
A1ZA77	Transmembrane protein 208	10.92	2	2	2	40844.6385	2	
A1ZAJ2	Kinesin-like protein unc-104	5.09	8	8	0	96326.8273	8	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	7.36	7	7	0	178877.70403	7	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	6.75	2	2	2	19233.238	1	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	4.95	3	4	3	94075.842	4	
A4VCL2	Extracellular serine/threonine protein CG31145	3.22	2	2	0	12928.532	2	
A8DYH2	Ubiquitin-fold modifier 1	71.26	5	11	0	1391766.2796	10	
A8DYP0	Protein Obscurin	1.87	8	8	8	61235.094	8	
B7YZT2	Mitochondrial fission 1 protein	38.96	6	13	6	790220.9502999999	10	
C0HK92	Uncharacterized protein CG45076	59.45	40	132	0	8981024.86366	118	
C0HK94	Uncharacterized protein CG45078	64.42	14	34	12	1035927.4487	23	
C0HK95	Protein anoxia up-regulated	87.02	12	67	10	2723389.38325	47	
C0HKA0	Small ribosomal subunit protein uS11A	47.68	7	23	0	1785577.47655	21	
C0HL62	Larval cuticle protein 65Ab1	46.15	3	8	0	201035.8186	8	
C0HL66	Histone H3.3A	55.15	7	37	0	59850.4148	5	
C0HLZ9	Baramicin A1	17.51	4	6	0	215204.6104	5	
C4NYP8	Hsc70-interacting protein 1	40.85	15	41	0	3214699.4905	39	
