Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 127C, Sample, n/a, SF1g_F2	Abundances Count: F5: 127C, Sample, n/a, SF1g_F2	Modifications
A0A0B4K692	Neprilysin-2	5.43	4	5	4	71428.2855	5	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.16	7	9	7	43081.0594	7	
A0A0B4KGY6	RNA-binding protein Pasilla	26.79	19	67	19	3166251.0570300003	59	
A0A0B7P9G0	Unextended protein	3.96	3	3	3	8861.9659	2	
A0A126GUP6	Melanization protease 1	25.5	8	12	7	185864.541	9	
A0A1F4	Protein eyes shut	12.13	24	45	0	841937.7483	38	
A1Z6H7	Nuclear pore membrane glycoprotein 210	0.48	1	1	1	5781.3105	1	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	18.11	11	17	9	254135.51526	16	
A1Z713	Intermembrane lipid transfer protein Vps13	0.39	1	1	1	596.9481	1	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	3.92	2	2	0	11927.8491	2	
A1Z877	Nidogen	18.37	23	35	23	861272.2794	33	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	3	0	41808.602	3	
A1Z8D0	Periodic tryptophan protein 1 homolog	3.92	2	2	2	65484.151	2	
A1Z8P9	Nucleoprotein TPR	20.29	45	54	0	613943.87115	47	
A1Z9A2	UPF0587 protein CG4646	36.2	6	8	0	252024.0062	8	
A1Z9A8	Small ribosomal subunit protein mS39	7.67	5	6	5	159460.722	6	
A1Z9E2	Protein lin-54 homolog	8.95	9	9	0	114356.2375	8	
A1ZA47	PDZ and LIM domain protein Zasp	25.71	45	119	0	167584.26009999998	18	
A1ZA77	Transmembrane protein 208	6.9	1	3	1	54879.5363	3	
A1ZAJ2	Kinesin-like protein unc-104	1.32	2	2	0	13751.765	2	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	5.71	6	6	0	70185.3784	4	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	4.37	1	1	1	8346.064	1	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	1.71	1	1	1	7123.8696	1	
A4VCL2	Extracellular serine/threonine protein CG31145	2.08	1	1	0	12420.4795	1	
A8DYH2	Ubiquitin-fold modifier 1	49.43	4	11	0	404153.2624	9	
A8DYP0	Protein Obscurin	1.38	6	8	6	53076.0836	6	
B7YZT2	Mitochondrial fission 1 protein	44.81	7	12	7	368514.40270000004	12	
C0HK92	Uncharacterized protein CG45076	57.19	35	108	0	2576081.18779	95	
C0HK94	Uncharacterized protein CG45078	67.48	12	27	10	300845.1052	16	
C0HK95	Protein anoxia up-regulated	85.5	11	57	9	1054239.24964	39	
C0HKA0	Small ribosomal subunit protein uS11A	46.36	7	25	0	1219172.4594999999	23	
C0HL62	Larval cuticle protein 65Ab1	22.12	2	3	0	114987.49900000001	3	
C0HL66	Histone H3.3A	52.21	6	31	0	26495.150999999998	2	
C0HLZ9	Baramicin A1	12.45	3	4	0	97794.49299999999	4	
C4NYP8	Hsc70-interacting protein 1	36.07	13	29	0	513719.23180999997	25	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	11.49	8	12	0	265536.169	10	
M9NDE3	Protein bark beetle	2.08	7	7	7	77330.3782	7	
M9PF61	Aldo-keto reductase 1B	51.71	18	74	18	6084885.3705	68	
M9PFN0	Phosphatase Herzog	26.42	7	11	7	93359.9252	8	
O01367	Protein held out wings	10.37	3	4	0	29242.2992	3	
O01382	Caspase drICE	12.68	4	4	4	15541.1916	2	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.15	4	12	0	368604.8064	11	
O01666	ATP synthase subunit gamma, mitochondrial	61.95	20	106	20	8296361.11635	93	
O02194	Presenilin homolog	5.73	3	3	0	17311.0186	3	
O02195	Eukaryotic translation initiation factor 3 subunit I	27.61	7	12	7	306340.196	9	
O02649	Heat shock protein 60A	65.1	34	143	23	9273334.75513	130	
O15943	Neural-cadherin	14.01	44	66	2	1497518.0122	65	
O16797	Large ribosomal subunit protein uL3	13.7	6	9	6	184353.0025	9	
O17444	Vesicular acetylcholine transporter	10.03	5	6	5	21074.20062	4	
O17445	Large ribosomal subunit protein eL15	14.22	3	6	0	55287.9127	5	
