Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128N, Sample, n/a, SF1g_M1	Abundances Count: F5: 128N, Sample, n/a, SF1g_M1	Modifications
A0A0B4K692	Neprilysin-2	4.01	3	4	3	17119.229199999998	3	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.79	10	14	10	40076.9444	9	
A0A0B4KGY6	RNA-binding protein Pasilla	23.21	19	70	19	1969360.71681	63	
A0A0B7P9G0	Unextended protein	5.4	5	6	5	27272.8917	5	
A0A126GUP6	Melanization protease 1	23.0	8	16	7	60543.303850000004	13	
A0A1F4	Protein eyes shut	9.56	22	68	0	500245.42319	58	
A1Z6H7	Nuclear pore membrane glycoprotein 210	2.93	6	7	6	7116.2031	3	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	14.17	11	23	10	153219.17909	17	
A1Z7G7	Latrophilin Cirl	0.41	1	1	0	1585.2805	1	
A1Z7T0	Serine/threonine-protein kinase N	1.34	2	3	0	750.3902	1	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	9.07	4	4	1	3422.16576	3	
A1Z877	Nidogen	24.81	29	66	29	633584.38633	62	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	2	0	4013.2026	1	
A1Z8D0	Periodic tryptophan protein 1 homolog	6.75	3	3	3	663.35095	1	
A1Z8P9	Nucleoprotein TPR	19.69	51	83	0	180929.88438	57	
A1Z9A2	UPF0587 protein CG4646	30.67	5	10	0	116713.8517	10	
A1Z9A8	Small ribosomal subunit protein mS39	6.75	5	5	5	58511.7369	5	
A1Z9E2	Protein lin-54 homolog	24.95	21	43	0	164295.52007	32	
A1Z9X0	Atypical protein kinase C	2.97	2	2	0	8703.8837	2	
A1ZA47	PDZ and LIM domain protein Zasp	26.48	51	158	0	130483.35429	37	
A1ZA77	Transmembrane protein 208	10.92	2	5	2	46915.5862	3	
A1ZAJ2	Kinesin-like protein unc-104	3.41	6	6	0	11712.3519	4	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	9.78	10	12	0	19656.08536	9	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	11.11	3	3	3	8461.8165	2	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	3.05	2	2	2	14485.380000000001	2	
A4VCL2	Extracellular serine/threonine protein CG31145	3.79	2	2	0	7868.481	2	
A8DYH2	Ubiquitin-fold modifier 1	66.67	4	8	0	171415.8391	6	
A8DYP0	Protein Obscurin	2.11	10	12	10	24633.32116	8	
B7YZT2	Mitochondrial fission 1 protein	40.91	6	9	6	221890.5203	8	
C0HK92	Uncharacterized protein CG45076	49.92	34	106	0	1508759.78137	82	
C0HK94	Uncharacterized protein CG45078	50.92	11	31	9	232070.60682	19	
C0HK95	Protein anoxia up-regulated	87.02	11	88	9	338633.67386	49	
C0HKA0	Small ribosomal subunit protein uS11A	48.34	8	36	0	601536.77823	32	
C0HL62	Larval cuticle protein 65Ab1	8.65	1	4	0	55332.9124	4	
C0HL66	Histone H3.3A	52.94	8	63	0	66788.028	3	
C0HLZ9	Baramicin A1	15.56	4	9	0	33033.0569	7	
C4NYP8	Hsc70-interacting protein 1	47.21	17	41	0	514189.72659	31	
E1JIT7	PH and SEC7 domain-containing protein	2.81	4	8	4	6620.91465	6	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	14.19	11	16	0	66606.14984	11	
M9NDE3	Protein bark beetle	3.91	13	19	13	60525.96117	13	
M9PF61	Aldo-keto reductase 1B	60.57	23	109	23	4326817.26102	102	
M9PFN0	Phosphatase Herzog	6.25	3	7	3	113905.0407	6	
O01367	Protein held out wings	21.48	8	10	0	40335.7773	9	
O01382	Caspase drICE	17.99	5	7	4	6936.91626	6	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.97	4	9	0	377164.287	8	
O01666	ATP synthase subunit gamma, mitochondrial	58.92	19	129	19	3413995.93942	103	
O02194	Presenilin homolog	5.73	3	5	0	6378.6137	3	
O02195	Eukaryotic translation initiation factor 3 subunit I	24.23	7	23	7	360618.2942	20	
O02649	Heat shock protein 60A	73.47	40	183	25	7439488.66789	155	
O15943	Neural-cadherin	14.89	49	91	2	658127.61151	76	
O16797	Large ribosomal subunit protein uL3	15.62	7	14	7	68251.2639	10	
O17444	Vesicular acetylcholine transporter	11.25	5	6	5	62317.1898	3	
O17445	Large ribosomal subunit protein eL15	12.25	3	8	0	23459.29753	5	
O18333	Ras-related protein Rab-2	18.31	5	10	5	52092.72115	9	
