Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128N, Sample, n/a, SF1g_M2	Abundances Count: F5: 128N, Sample, n/a, SF1g_M2	Modifications
A0A0B4K692	Neprilysin-2	5.43	4	5	4	52961.5805	5	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.16	7	9	7	32267.5122	6	
A0A0B4KGY6	RNA-binding protein Pasilla	26.79	19	67	19	2963479.62503	59	
A0A0B7P9G0	Unextended protein	3.96	3	3	3	6857.812599999999	2	
A0A126GUP6	Melanization protease 1	25.5	8	12	7	127830.7957	9	
A0A1F4	Protein eyes shut	12.13	24	45	0	646765.5353	38	
A1Z6H7	Nuclear pore membrane glycoprotein 210	0.48	1	1	1	5564.2773	1	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	18.11	11	17	9	211743.4964	14	
A1Z713	Intermembrane lipid transfer protein Vps13	0.39	1	1	1	631.1741	1	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	3.92	2	2	0	9524.7036	2	
A1Z877	Nidogen	18.37	23	35	23	630915.37057	33	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	3	0	28105.255599999997	3	
A1Z8D0	Periodic tryptophan protein 1 homolog	3.92	2	2	2	37383.904	2	
A1Z8P9	Nucleoprotein TPR	20.29	45	54	0	412027.56797	47	
A1Z9A2	UPF0587 protein CG4646	36.2	6	8	0	187219.99	8	
A1Z9A8	Small ribosomal subunit protein mS39	7.67	5	6	5	126696.379	6	
A1Z9E2	Protein lin-54 homolog	8.95	9	9	0	93681.1731	8	
A1ZA47	PDZ and LIM domain protein Zasp	25.71	45	119	0	141963.1838	20	
A1ZA77	Transmembrane protein 208	6.9	1	3	1	37376.0606	3	
A1ZAJ2	Kinesin-like protein unc-104	1.32	2	2	0	10905.3044	2	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	5.71	6	6	0	68849.4554	4	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	4.37	1	1	1	4183.531	1	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	1.71	1	1	1	4974.7285	1	
A4VCL2	Extracellular serine/threonine protein CG31145	2.08	1	1	0	9572.872	1	
A8DYH2	Ubiquitin-fold modifier 1	49.43	4	11	0	287045.71390000003	9	
A8DYP0	Protein Obscurin	1.38	6	8	6	47294.360799999995	6	
B7YZT2	Mitochondrial fission 1 protein	44.81	7	12	7	303463.4995	12	
C0HK92	Uncharacterized protein CG45076	57.19	35	108	0	1756681.98039	96	
C0HK94	Uncharacterized protein CG45078	67.48	12	27	10	219157.8148	16	
C0HK95	Protein anoxia up-regulated	85.5	11	57	9	800232.63315	38	
C0HKA0	Small ribosomal subunit protein uS11A	46.36	7	25	0	963454.9262	23	
C0HL62	Larval cuticle protein 65Ab1	22.12	2	3	0	72509.462	3	
C0HL66	Histone H3.3A	52.21	6	31	0	23671.012000000002	2	
C0HLZ9	Baramicin A1	12.45	3	4	0	77628.71489999999	4	
C4NYP8	Hsc70-interacting protein 1	36.07	13	29	0	442100.8801	25	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	11.49	8	12	0	184160.096	10	
M9NDE3	Protein bark beetle	2.08	7	7	7	60577.935	7	
