Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
A0A0B4K692	Neprilysin-2	4.01	3	4	3	17570.5566	4	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.79	10	14	10	39517.1337	9	
A0A0B4KGY6	RNA-binding protein Pasilla	23.21	19	70	19	1613913.11417	62	
A0A0B7P9G0	Unextended protein	5.4	5	6	5	33965.5651	5	
A0A126GUP6	Melanization protease 1	23.0	8	16	7	37513.716	12	
A0A1F4	Protein eyes shut	9.56	22	68	0	491062.33525	56	
A1Z6H7	Nuclear pore membrane glycoprotein 210	2.93	6	7	6	14889.7712	4	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	14.17	11	23	10	125721.0297	17	
A1Z713	Intermembrane lipid transfer protein Vps13	0.27	1	1	1	557.9401	1	
A1Z7G7	Latrophilin Cirl	0.41	1	1	0	1485.283	1	
A1Z7T0	Serine/threonine-protein kinase N	1.34	2	3	0	2180.936	1	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	9.07	4	4	1	4573.13032	3	
A1Z877	Nidogen	24.81	29	66	29	567820.30754	61	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	2	0	7702.3737	2	
A1Z8D0	Periodic tryptophan protein 1 homolog	6.75	3	3	3	562.53723	1	
A1Z8P9	Nucleoprotein TPR	19.69	51	83	0	166644.10181	56	
A1Z9A2	UPF0587 protein CG4646	30.67	5	10	0	73577.03988	10	
A1Z9A8	Small ribosomal subunit protein mS39	6.75	5	5	5	69611.1817	5	
A1Z9E2	Protein lin-54 homolog	24.95	21	43	0	145994.6646	35	
A1Z9X0	Atypical protein kinase C	2.97	2	2	0	10921.544	2	
A1ZA47	PDZ and LIM domain protein Zasp	26.48	51	158	0	92207.39222	29	
A1ZA77	Transmembrane protein 208	10.92	2	5	2	49853.417499999996	3	
A1ZAJ2	Kinesin-like protein unc-104	3.41	6	6	0	9493.03663	5	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	9.78	10	12	0	14572.97276	5	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	11.11	3	3	3	6325.2758300000005	2	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	3.05	2	2	2	15319.5404	2	
A4VCL2	Extracellular serine/threonine protein CG31145	3.79	2	2	0	5764.48753	2	
A8DYH2	Ubiquitin-fold modifier 1	66.67	4	8	0	149850.8316	6	
A8DYP0	Protein Obscurin	2.11	10	12	10	30910.4667	6	
B7YZT2	Mitochondrial fission 1 protein	40.91	6	9	6	224934.70832	9	
C0HK92	Uncharacterized protein CG45076	49.92	34	106	0	1557941.3334000001	86	
C0HK94	Uncharacterized protein CG45078	50.92	11	31	9	226382.7022	17	
C0HK95	Protein anoxia up-regulated	87.02	11	88	9	442888.12997	49	
C0HKA0	Small ribosomal subunit protein uS11A	48.34	8	36	0	485091.89567	31	
C0HL62	Larval cuticle protein 65Ab1	8.65	1	4	0	69503.4567	4	
C0HL66	Histone H3.3A	52.94	8	63	0	44129.74654	5	
C0HLZ9	Baramicin A1	15.56	4	9	0	32389.8329	7	
C4NYP8	Hsc70-interacting protein 1	47.21	17	41	0	443059.97424	30	
E1JIT7	PH and SEC7 domain-containing protein	2.81	4	8	4	2866.7996599999997	2	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	14.19	11	16	0	73827.78547	12	
M9NDE3	Protein bark beetle	3.91	13	19	13	51655.752739999996	11	
M9PF61	Aldo-keto reductase 1B	60.57	23	109	23	3708161.27815	99	
M9PFN0	Phosphatase Herzog	6.25	3	7	3	115713.55329	6	
O01367	Protein held out wings	21.48	8	10	0	34161.60171	9	
O01382	Caspase drICE	17.99	5	7	4	5323.04494	4	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.97	4	9	0	294849.2005	8	
O01666	ATP synthase subunit gamma, mitochondrial	58.92	19	129	19	4190451.14504	106	
O02194	Presenilin homolog	5.73	3	5	0	4909.84672	4	
O02195	Eukaryotic translation initiation factor 3 subunit I	24.23	7	23	7	297603.0327	20	
O02649	Heat shock protein 60A	73.47	40	183	25	5350851.731	148	
O15943	Neural-cadherin	14.89	49	91	2	531688.98238	74	
O16797	Large ribosomal subunit protein uL3	15.62	7	14	7	65603.10503	12	
