"protein_id","Earth_F1","Earth_F2","Earth_F3","Earth_M1","Earth_M2","Earth_M3","SF1g_F1","SF1g_F2","SF1g_F3","SF1g_M1","SF1g_M2","SF1g_M3","SFug_F1","SFug_F2","SFug_F3","SFug_M1","SFug_M2","SFug_M3"
"A0A0B4K692",15.9124115044161,15.7509036978092,15.7640579642136,15.5596742420054,15.869255941875,15.8343382700095,16.0399975795242,15.9065979619018,15.8708146615139,15.8771198091157,15.8469976217933,15.8417634301059,16.040328089571,16.2297985405444,16.2866978494693,16.2814908627083,16.1074683234171,16.1133499120283
"A0A0B4K7J2",15.8275653415064,16.0040965289643,16.0803025963886,15.4579179111881,15.4258874225507,15.507222604452,15.6158426088231,15.5419521649112,15.6186886860535,15.6979064581123,15.4969300115329,15.5830867647633,15.8032851412759,15.8344135443678,15.8175310592666,16.0287706872147,16.1280084757937,15.8244564371965
"A0A0B4KGY6",21.5450890895707,21.5882575579161,21.5351487364304,21.9016220683466,21.8273184506767,21.7791061686736,21.7163463269613,21.646775197373,21.713345769602,21.8680259252866,21.9232395641516,22.1225380146565,21.7065370809463,21.6817722884522,21.5337186608301,21.8829864803661,21.9532439129082,21.936749621285
"A0A0B4KH34",23.4512370700713,23.4463636703202,23.4263491872792,23.2723932798032,23.3726051934344,23.4697175598692,23.4598973923321,23.4987249158784,23.2739880896895,23.3372037789539,23.3732660386971,23.4891804156687,23.4001749986272,23.3815572096751,23.3561614430796,23.3657234373103,23.2141129290927,23.2712332615117
"A0A0B4KHJ9",24.7809873310885,24.8006723404773,24.8979752149846,24.5981126954866,24.5572967866089,24.4497675544719,24.6637309041903,24.5731455393128,24.8466735045386,24.350263023991,24.3672921191157,24.5831304731349,24.5341160520739,24.5500716850816,24.4388297784216,24.4816567065047,24.5603882427388,24.1924901877835
"A0A0B4KI23",20.6950841673903,20.7223165637182,20.6955376342225,20.609952125639,20.6064738615284,20.5372964968493,20.5068910749836,20.3869155429797,20.6225914637292,20.2664295886525,20.455624525883,20.4366536997394,20.674572752435,20.4844049685102,20.5517614526122,20.4007637343212,20.4979579808022,20.3098526962692
"A0A0B4LFA6",19.2909621871043,19.356319376006,19.4594445929996,19.6653892683841,19.4990145901414,19.410458432598,19.4662368126981,19.4618071327128,19.5864112147018,19.6865823252531,19.6392771501863,19.5996992703906,19.526501654703,19.5470697193815,19.587135844279,19.5461150693715,19.6782993490862,19.5386379625452
"A0A0B7P9G0",14.4961235881711,14.0352916599506,14.4223881569923,14.1111486004378,14.2028132584223,14.4133168345859,14.5438860675653,14.4584436783781,14.250053137698,14.577068858854,14.4605130849256,14.5592493432532,15.0193350052605,15.153282077451,14.9512099926856,14.8414475208267,15.278665881988,14.9927921759007
"A0A126GUP6",17.2578394143213,17.1666844901265,17.2560772833993,17.1543174554064,17.0628200652194,17.0779225521182,17.0937941862732,17.047552089495,17.1252893662056,16.956157369859,16.8794850682639,16.9413169472262,16.3912955995284,16.8263839678477,16.7397986634758,17.1486226330856,17.0191009775213,16.8616218460488
"A0A6H2EG56",20.9757353507544,20.8654177415804,21.1652645008942,20.9543625230906,20.9157467053742,20.8145888164925,20.9323900093013,20.8058436302119,21.1100902073483,20.7690436890435,20.9633851195139,20.9552649689303,20.71844335903,20.9005872873984,20.7708560269182,21.1202733835469,21.019267830688,20.6541837941832
