"sample","tmt_run","condition","sex"
"Earth_F1","TMTa","Earth","Female"
"Earth_F2","TMTb","Earth","Female"
"Earth_F3","TMTc","Earth","Female"
"Earth_M1","TMTa","Earth","Male"
"Earth_M2","TMTb","Earth","Male"
"Earth_M3","TMTc","Earth","Male"
"SF1g_F1","TMTa","SF1g","Female"
"SF1g_F2","TMTb","SF1g","Female"
"SF1g_F3","TMTc","SF1g","Female"
"SF1g_M1","TMTa","SF1g","Male"
"SF1g_M2","TMTb","SF1g","Male"
"SF1g_M3","TMTc","SF1g","Male"
"SFug_F1","TMTa","SFug","Female"
"SFug_F2","TMTb","SFug","Female"
"SFug_F3","TMTc","SFug","Female"
"SFug_M1","TMTa","SFug","Male"
"SFug_M2","TMTb","SFug","Male"
"SFug_M3","TMTc","SFug","Male"
