"protein_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"O16797",0.700026653213753,16.6512775871783,18.4387682295802,3.48372322398207e-09,5.8108503376021e-06,11.6105244174439
"Q9VC18",0.677337048443512,18.1282760796353,16.0579539618705,1.37235462888217e-08,1.14454376048773e-05,10.3639303359565
"Q9VNE9",0.66223218560279,18.7720088912541,13.1324308314396,9.83864788089298e-08,3.64920689718032e-05,8.48725078738745
"Q9VQE0",0.57893034694257,17.2771467791299,12.6418691283756,1.42258503835077e-07,3.64920689718032e-05,8.12669575952132
"Q9VXP3",0.672862129146633,14.5222380106146,12.5275795513419,1.55304047543036e-07,3.64920689718032e-05,8.04053181017381
"Q9VLC5",0.533100280623366,21.6850374737522,12.5073264120281,1.57749298834437e-07,3.64920689718032e-05,8.0251753546716
"Q9VC06",0.651655167867563,16.2787785075986,12.3716580673597,1.75254161715294e-07,3.64920689718032e-05,7.92162185943102
"Q9VFZ4",0.639562902078254,16.4804537361971,12.2230357572498,1.96899652725557e-07,3.64920689718032e-05,7.80679291335136
"Q9W370",0.583547445019452,18.3204812365226,11.7639847975504,2.84417612500198e-07,4.4049965444085e-05,7.44267042015027
"P41093",0.623397237729097,18.8355796054782,11.5761592577522,3.31804367560369e-07,4.4049965444085e-05,7.28943142043022
"P21187",0.580871936934628,18.8453311878769,11.4889776968987,3.56671469071939e-07,4.4049965444085e-05,7.21743791133399
"Q9VA42",-0.52730769138142,20.44637604246,-11.4458328838351,3.69723930585845e-07,4.4049965444085e-05,7.18160364776904
"P17336",0.564301229115877,20.6951623777099,11.1061214413097,4.92710095650285e-07,4.56578021969264e-05,6.89459723474048
"Q9VHR8",0.52279870593258,20.3322073283353,10.9698968494169,5.54021663781673e-07,4.86372702730437e-05,6.77703204541076
"O97125",0.537872792050312,18.4053353355981,10.7175086368186,6.90787051960269e-07,5.76116401334864e-05,6.5553506846339
"Q9VXQ0",0.647839252227998,14.9702186953671,10.4559368940628,8.72358028747211e-07,6.61405996341067e-05,6.32015464371672
"Q9VZF6",0.627736242643975,15.0380570115786,10.3235128129352,9.83612343541076e-07,6.70466592503295e-05,6.19890853590202
"Q9VIE8",0.540427659600912,24.8202962323816,10.2525116031065,1.04955627788386e-06,6.70466592503295e-05,6.13328604077682
"Q9VNB9",0.734286335244636,18.8272865429815,10.138559576662,1.16567932749374e-06,6.70466592503295e-05,6.02705712402085
"A1Z803",0.502810500204976,18.7241072580702,9.93403932370247,1.41076919601434e-06,7.17094469759409e-05,5.83353900434879
"Q9VG42",-0.84280439443549,16.2097515532707,-9.92807448090432,1.41871208045926e-06,7.17094469759409e-05,5.82783912757083
"Q9W3J5",0.55799131355891,16.0139677528003,9.50400771293255,2.13019228402958e-06,9.60313710746309e-05,5.41425578389648
"Q9VNW6",0.682036784364254,21.4617941625739,9.38243430765254,2.40000683947473e-06,0.000105347668637996,5.2925731789841
"P50887",0.608644887749232,17.6568887674278,9.23965443125954,2.76528082862265e-06,0.000112499717613233,5.1478377120321
"Q9W3E2",-0.634307082032201,17.7112104076546,-8.99038162088305,3.55640627865031e-06,0.000128958384191059,4.89030938872977
"Q9VV31",-0.914129140048026,15.9080548630959,-8.79403432185544,4.35304654779278e-06,0.000132695548038832,4.68300955120553
"P45437",0.521029435087762,15.9949204609525,8.76977080690761,4.46424505477715e-06,0.000132695548038832,4.65711461128289
"Q9V521",-0.525567173324955,17.8250079168567,-8.76819228099049,4.47158549707025e-06,0.000132695548038832,4.65542780946172
"Q9W253",0.502318549677815,15.1068541662566,8.73808819135427,4.61411378072677e-06,0.000132695548038832,4.62320864423425
"Q9VAY9",0.539726643299582,14.5035220179372,8.37381292423195,6.79128752234395e-06,0.000179807422020154,4.2256528863646
"Q9VED8",0.562512169993475,16.2654653689014,8.32811955388967,7.13517398709269e-06,0.000183099541699548,4.17476296951128
"Q9I7Q5",-0.572597641264366,20.6732751306916,-8.2765335700199,7.54626610046078e-06,0.000185105468464244,4.11703095103606
"Q9VR79",0.527422574355462,20.2302829306034,8.05541522192785,9.62355238175265e-06,0.000216920072604911,3.86616480539903
"Q9VV36",-0.523209203391218,23.1979127313407,-7.84863848078724,1.2136152467374e-05,0.000259526952763845,3.62647159149848
"P10676",-0.655514005724665,19.9128512890527,-6.93672034886772,3.57191653699028e-05,0.000618492667616421,2.50722264220662
