Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 128N, Sample, n/a, SF1g_M3	Abundances Count: F8: 128N, Sample, n/a, SF1g_M3	Modifications
A0A0B4K692	Neprilysin-2	7.62	6	7	6	198724.9988	7	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	4.16	10	10	10	80694.91192	9	
A0A0B4KGY6	RNA-binding protein Pasilla	20.77	19	75	19	10301038.61355	65	
A0A0B7P9G0	Unextended protein	11.87	9	10	9	61508.22876	9	
A0A126GUP6	Melanization protease 1	31.25	10	14	9	215600.8634	11	
A0A1F4	Protein eyes shut	12.91	28	65	0	1772567.65181	58	
A1Z6H7	Nuclear pore membrane glycoprotein 210	3.2	5	5	5	14511.48903	4	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	21.73	13	17	11	229166.14244999998	15	
A1Z713	Intermembrane lipid transfer protein Vps13	0.96	3	3	3	18197.99254	3	
A1Z7G7	Latrophilin Cirl	1.24	2	2	0	8006.5649	2	
A1Z7T0	Serine/threonine-protein kinase N	3.78	4	4	0	9671.44	4	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	10.1	5	6	1	25029.026700000002	4	
A1Z877	Nidogen	21.48	28	49	28	2083648.7297	46	
A1Z8D0	Periodic tryptophan protein 1 homolog	15.25	5	7	5	58638.181939999995	6	
A1Z8P9	Nucleoprotein TPR	24.08	56	65	0	608345.54727	59	
A1Z9A2	UPF0587 protein CG4646	24.54	4	8	0	439173.3088	7	
A1Z9A8	Small ribosomal subunit protein mS39	19.33	9	11	9	168862.6083	11	
A1Z9E2	Protein lin-54 homolog	24.32	22	26	0	333307.2269	25	
A1Z9S1	Biogenesis of lysosome-related organelles complex 1 subunit 1	31.29	3	4	3	10714.2464	2	
A1Z9X0	Atypical protein kinase C	3.96	2	2	0	5915.133	1	
A1ZA47	PDZ and LIM domain protein Zasp	28.08	49	133	0	213246.1844	18	
A1ZA77	Transmembrane protein 208	10.92	2	2	2	35057.895	2	
A1ZAJ2	Kinesin-like protein unc-104	5.09	8	8	0	62787.987799999995	8	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	7.36	7	7	0	146581.0911	7	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	6.75	2	2	2	14163.997	1	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	4.95	3	4	3	67396.3233	4	
A4VCL2	Extracellular serine/threonine protein CG31145	3.22	2	2	0	9304.4553	2	
A8DYH2	Ubiquitin-fold modifier 1	71.26	5	11	0	977572.59035	10	
A8DYP0	Protein Obscurin	1.87	8	8	8	33914.19714	8	
B7YZT2	Mitochondrial fission 1 protein	38.96	6	13	6	530623.6133300001	10	
C0HK92	Uncharacterized protein CG45076	59.45	40	132	0	5409696.29543	117	
C0HK94	Uncharacterized protein CG45078	64.42	14	34	12	840793.02405	23	
C0HK95	Protein anoxia up-regulated	87.02	12	67	10	1705162.67161	46	
C0HKA0	Small ribosomal subunit protein uS11A	47.68	7	23	0	1535988.8234	21	
C0HL62	Larval cuticle protein 65Ab1	46.15	3	8	0	161332.957	8	
C0HL66	Histone H3.3A	55.15	7	37	0	80234.90226	5	
C0HLZ9	Baramicin A1	17.51	4	6	0	113988.708	5	
C4NYP8	Hsc70-interacting protein 1	40.85	15	41	0	2013120.17084	40	
E1JIT7	PH and SEC7 domain-containing protein	2.12	3	3	3	14987.9833	2	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	12.7	9	13	0	148275.50089999998	12	
M9NDE3	Protein bark beetle	4.42	14	14	14	110680.98581	12	
M9PF61	Aldo-keto reductase 1B	60.0	21	73	21	12387061.19	69	
M9PFN0	Phosphatase Herzog	21.88	7	13	7	115756.7808	10	
O01367	Protein held out wings	18.52	7	14	0	324068.3393	13	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	17.26	6	16	0	710395.0036200001	13	
