Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 130C, Sample, n/a, ctrl_pool_1	Abundance: F5: 131, Sample, n/a, ctrl_pool_2	Modifications
A0A0B4K692	Neprilysin-2	5.43	4	5	4	27667.6968	36730.625	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.16	7	9	7	68289.5736	66736.40144	
A0A0B4KGY6	RNA-binding protein Pasilla	26.79	19	67	19	2835810.41149	3274809.28642	
A0A0B7P9G0	Unextended protein	3.96	3	3	3	4553.9712	5199.2725	
A0A126GUP6	Melanization protease 1	25.5	8	12	7	79457.9226	88369.8105	
A0A1F4	Protein eyes shut	12.13	24	45	0	898652.0064	1011417.6401	
A1Z6H7	Nuclear pore membrane glycoprotein 210	0.48	1	1	1	5075.0723	6669.156	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	18.11	11	17	9	178864.9642	205956.7337	
A1Z713	Intermembrane lipid transfer protein Vps13	0.39	1	1	1	752.52356	855.9148	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	3.92	2	2	0	10486.1654	9979.1646	
A1Z877	Nidogen	18.37	23	35	23	453601.2367	474213.64639999997	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	3	0	41105.1434	55857.3805	
A1Z8D0	Periodic tryptophan protein 1 homolog	3.92	2	2	2	33558.309	50955.5024	
A1Z8P9	Nucleoprotein TPR	20.29	45	54	0	762655.70922	895144.28087	
A1Z9A2	UPF0587 protein CG4646	36.2	6	8	0	156682.50335999997	205729.83975	
A1Z9A8	Small ribosomal subunit protein mS39	7.67	5	6	5	66120.5967	74880.9113	
A1Z9E2	Protein lin-54 homolog	8.95	9	9	0	123633.652	125141.568	
A1ZA47	PDZ and LIM domain protein Zasp	25.71	45	119	0	94567.63385	123367.16003	
A1ZA77	Transmembrane protein 208	6.9	1	3	1	40698.4694	57852.0933	
A1ZAJ2	Kinesin-like protein unc-104	1.32	2	2	0	7816.78025	10967.1134	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	5.71	6	6	0	99184.0995	100428.4933	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	4.37	1	1	1	6447.4272	10056.607	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	1.71	1	1	1	3292.6467	3632.0852	
A4VCL2	Extracellular serine/threonine protein CG31145	2.08	1	1	0	12255.325	12138.767	
A8DYH2	Ubiquitin-fold modifier 1	49.43	4	11	0	304807.205	459536.2773	
A8DYP0	Protein Obscurin	1.38	6	8	6	49366.0712	46895.729	
B7YZT2	Mitochondrial fission 1 protein	44.81	7	12	7	347548.37	413386.0834	
C0HK92	Uncharacterized protein CG45076	57.19	35	108	0	3911607.3535	4011647.89997	
C0HK94	Uncharacterized protein CG45078	67.48	12	27	10	327633.49916	341748.0299	
C0HK95	Protein anoxia up-regulated	85.5	11	57	9	1709456.5107	1647677.35997	
C0HKA0	Small ribosomal subunit protein uS11A	46.36	7	25	0	847398.5464000001	963828.6842199999	
C0HL62	Larval cuticle protein 65Ab1	22.12	2	3	0	118568.057	166290.32499999998	
C0HL66	Histone H3.3A	52.21	6	31	0	33571.559	27403.438000000002	
C0HLZ9	Baramicin A1	12.45	3	4	0	114468.55799999999	106577.172	
C4NYP8	Hsc70-interacting protein 1	36.07	13	29	0	808849.80266	967177.9874999999	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	11.49	8	12	0	160987.2782	190783.8639	
M9NDE3	Protein bark beetle	2.08	7	7	7	38601.0535	46238.54355	
M9PF61	Aldo-keto reductase 1B	51.71	18	74	18	4687524.3188	5718432.1069	
M9PFN0	Phosphatase Herzog	26.42	7	11	7	75222.598	135103.1555	
O01367	Protein held out wings	10.37	3	4	0	23520.9578	31635.4908	
