Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 127C, Sample, n/a, SF1g_F1	Abundances Count: F5: 127C, Sample, n/a, SF1g_F1	Modifications
A0A0B4K692	Neprilysin-2	4.01	3	4	3	22819.5652	4	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.79	10	14	10	45079.5423	9	
A0A0B4KGY6	RNA-binding protein Pasilla	23.21	19	70	19	2110835.42617	63	
A0A0B7P9G0	Unextended protein	5.4	5	6	5	31734.4535	5	
A0A126GUP6	Melanization protease 1	23.0	8	16	7	79302.85926	13	
A0A1F4	Protein eyes shut	9.56	22	68	0	645088.3622999999	58	
A1Z6H7	Nuclear pore membrane glycoprotein 210	2.93	6	7	6	12113.5199	3	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	14.17	11	23	10	178922.76128	18	
A1Z713	Intermembrane lipid transfer protein Vps13	0.27	1	1	1	914.77026	1	
A1Z7G7	Latrophilin Cirl	0.41	1	1	0	751.34375	1	
A1Z7T0	Serine/threonine-protein kinase N	1.34	2	3	0	2176.0796	1	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	9.07	4	4	1	8040.6734	3	
A1Z877	Nidogen	24.81	29	66	29	786093.8338	64	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	2	0	12876.645	2	
A1Z8D0	Periodic tryptophan protein 1 homolog	6.75	3	3	3	1902.5934	1	
A1Z8P9	Nucleoprotein TPR	19.69	51	83	0	244311.7652	64	
A1Z9A2	UPF0587 protein CG4646	30.67	5	10	0	117158.28177999999	10	
A1Z9A8	Small ribosomal subunit protein mS39	6.75	5	5	5	91854.62156999999	5	
A1Z9E2	Protein lin-54 homolog	24.95	21	43	0	207960.14054	37	
A1Z9X0	Atypical protein kinase C	2.97	2	2	0	13074.899399999998	2	
A1ZA47	PDZ and LIM domain protein Zasp	26.48	51	158	0	168409.58286	36	
A1ZA77	Transmembrane protein 208	10.92	2	5	2	65023.0406	4	
A1ZAJ2	Kinesin-like protein unc-104	3.41	6	6	0	12764.774350000002	4	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	9.78	10	12	0	22004.43185	9	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	11.11	3	3	3	10629.0114	2	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	3.05	2	2	2	16503.328	2	
A4VCL2	Extracellular serine/threonine protein CG31145	3.79	2	2	0	8755.383100000001	2	
A8DYH2	Ubiquitin-fold modifier 1	66.67	4	8	0	180702.2903	6	
A8DYP0	Protein Obscurin	2.11	10	12	10	48783.66865	8	
B7YZT2	Mitochondrial fission 1 protein	40.91	6	9	6	289610.1287	9	
C0HK92	Uncharacterized protein CG45076	49.92	34	106	0	1831141.205	87	
C0HK94	Uncharacterized protein CG45078	50.92	11	31	9	289263.1701	19	
C0HK95	Protein anoxia up-regulated	87.02	11	88	9	577565.86654	53	
C0HKA0	Small ribosomal subunit protein uS11A	48.34	8	36	0	648396.73708	32	
C0HL62	Larval cuticle protein 65Ab1	8.65	1	4	0	97734.92300000001	4	
C0HL66	Histone H3.3A	52.94	8	63	0	69790.09300000001	3	
C0HLZ9	Baramicin A1	15.56	4	9	0	48988.936	8	
