Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F2	Abundances Count: F5: 126, Sample, n/a, SFug_F2	Modifications
A0A0B4K692	Neprilysin-2	5.43	4	5	4	72304.685	5	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.16	7	9	7	42690.3687	8	
A0A0B4KGY6	RNA-binding protein Pasilla	26.79	19	67	19	2624715.4983800002	59	
A0A0B7P9G0	Unextended protein	3.96	3	3	3	11607.027	2	
A0A126GUP6	Melanization protease 1	25.5	8	12	7	129008.8666	9	
A0A1F4	Protein eyes shut	12.13	24	45	0	794701.9419	38	
A1Z6H7	Nuclear pore membrane glycoprotein 210	0.48	1	1	1	9356.875	1	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	18.11	11	17	9	215081.70227	15	
A1Z713	Intermembrane lipid transfer protein Vps13	0.39	1	1	1	426.35672	1	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	3.92	2	2	0	6817.362300000001	2	
A1Z877	Nidogen	18.37	23	35	23	821049.84386	33	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	3	0	42668.937999999995	3	
A1Z8D0	Periodic tryptophan protein 1 homolog	3.92	2	2	2	52103.2077	2	
A1Z8P9	Nucleoprotein TPR	20.29	45	54	0	470060.95378	46	
A1Z9A2	UPF0587 protein CG4646	36.2	6	8	0	219757.7923	7	
A1Z9A8	Small ribosomal subunit protein mS39	7.67	5	6	5	137315.581	6	
A1Z9E2	Protein lin-54 homolog	8.95	9	9	0	89599.1848	8	
A1ZA47	PDZ and LIM domain protein Zasp	25.71	45	119	0	122793.39923	18	
A1ZA77	Transmembrane protein 208	6.9	1	3	1	49357.5305	3	
A1ZAJ2	Kinesin-like protein unc-104	1.32	2	2	0	12780.686399999999	2	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	5.71	6	6	0	53440.815500000004	4	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	4.37	1	1	1	6976.284	1	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	1.71	1	1	1	5256.2896	1	
A4VCL2	Extracellular serine/threonine protein CG31145	2.08	1	1	0	8617.857	1	
A8DYH2	Ubiquitin-fold modifier 1	49.43	4	11	0	335077.87163999997	9	
A8DYP0	Protein Obscurin	1.38	6	8	6	49177.64905	7	
B7YZT2	Mitochondrial fission 1 protein	44.81	7	12	7	277620.6247	12	
C0HK92	Uncharacterized protein CG45076	57.19	35	108	0	2264733.93002	94	
C0HK94	Uncharacterized protein CG45078	67.48	12	27	10	223720.4333	16	
C0HK95	Protein anoxia up-regulated	85.5	11	57	9	820203.10252	39	
C0HKA0	Small ribosomal subunit protein uS11A	46.36	7	25	0	908327.3766000001	23	
C0HL62	Larval cuticle protein 65Ab1	22.12	2	3	0	100784.761	3	
C0HL66	Histone H3.3A	52.21	6	31	0	26304.793999999998	2	
C0HLZ9	Baramicin A1	12.45	3	4	0	67803.895	4	
C4NYP8	Hsc70-interacting protein 1	36.07	13	29	0	416128.2205	26	
E1JIT7	PH and SEC7 domain-containing protein	0.94	1	1	1	313.6123	1	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	11.49	8	12	0	250568.928	10	
M9NDE3	Protein bark beetle	2.08	7	7	7	67442.3391	7	
M9PF61	Aldo-keto reductase 1B	51.71	18	74	18	5154503.1506	68	
M9PFN0	Phosphatase Herzog	26.42	7	11	7	80033.1597	8	
O01367	Protein held out wings	10.37	3	4	0	27222.468999999997	3	
O01382	Caspase drICE	12.68	4	4	4	8396.2358	2	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.15	4	12	0	315022.38300000003	11	
O01666	ATP synthase subunit gamma, mitochondrial	61.95	20	106	20	7898263.96214	91	
O02194	Presenilin homolog	5.73	3	3	0	12725.4244	3	
O02195	Eukaryotic translation initiation factor 3 subunit I	27.61	7	12	7	241488.201	9	
O02649	Heat shock protein 60A	65.1	34	143	23	7564513.194970001	129	
O15943	Neural-cadherin	14.01	44	66	2	1330278.8583	65	
O16797	Large ribosomal subunit protein uL3	13.7	6	9	6	120753.7466	9	
O17444	Vesicular acetylcholine transporter	10.03	5	6	5	28917.459000000003	4	
O17445	Large ribosomal subunit protein eL15	14.22	3	6	0	44980.1043	5	
O18333	Ras-related protein Rab-2	24.41	6	11	6	243575.1466	11	
O18334	Ras-related protein Rab6	33.65	8	12	0	100187.62297	6	
O18373	Inactive selenide, water dikinase-like protein	16.33	8	17	8	664695.98143	16	
O18388	Importin subunit beta	2.26	2	2	0	5052.7511	2	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	79.22	16	133	16	7917499.4628	115	
O18413	26S proteasome regulatory subunit 8	45.68	18	36	6	820090.8705	26	
O18640	Small ribosomal subunit protein RACK1	22.64	8	13	0	357259.1617	12	
O44081	H/ACA ribonucleoprotein complex subunit 4	2.95	2	2	0	16073.257999999998	2	
O44342	Protein windbeutel	28.79	7	9	0	124226.56700000001	9	
O44386	Integrin alpha-PS3	6.1	8	8	8	121760.64526	8	
O46037	Vinculin	55.88	45	103	0	2609046.56176	93	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	11.76	3	4	0	48681.7983	4	
O46098	LYR motif-containing protein 4 homolog	65.22	7	12	7	223595.7624	10	
O46106	Splicing factor 3A subunit 3	9.54	4	4	4	96501.4406	4	
O46339	Homeobox protein homothorax	4.72	2	2	2	2430.7534	1	
O61231	Large ribosomal subunit protein uL16	27.06	8	15	0	519528.3283	11	
O61305	DEAD-box helicase Dbp80	3.91	2	3	0	30137.264600000002	3	
O61307	Teneurin-m	0.92	2	2	0	31108.303	1	
O61443	Mitogen-activated protein kinase p38b	12.88	4	10	3	240330.6754	10	
O61491	Flotillin-1	45.77	19	45	19	1964815.6006	45	
O61722	PRL-1 phosphatase	55.11	7	19	7	653291.2008	16	
O62619	Pyruvate kinase	57.6	24	73	24	5635912.3377	63	
O62621	Coatomer subunit beta'	2.84	3	3	3	15284.600699999999	3	
O76206	Putative riboflavin kinase	55.56	6	17	0	469418.1797	13	
O76454	Pterin-4-alpha-carbinolamine dehydratase	33.85	4	6	4	245325.4649	6	
O76742	Ras-related protein Rab7	36.71	7	10	7	358016.4591	10	
O76878	RILP-like protein homolog	8.35	4	5	0	68490.4963	5	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	27.85	8	10	8	184343.663	9	
O76927	Small ribosomal subunit protein eS21	50.6	5	14	0	172803.8616	8	
O77051	Transcription factor E2F2	18.65	7	9	0	36416.4098	8	
O77263	tRNA (guanine-N(7)-)-methyltransferase	12.5	3	4	3	54645.559400000006	4	
O77277	Torsin-like protein	15.29	6	8	0	105684.02096000001	8	
O77410	Eukaryotic translation initiation factor 3 subunit E	8.28	4	4	4	57063.8209	4	
O77460	Inorganic pyrophosphatase	62.72	16	93	1	105877.95	1	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	15.39	15	15	0	209101.16952999998	14	
O96690	Protein PDF	23.53	1	1	1	3136.2112	1	
O96827	Probable elongation factor 1-beta	83.78	17	84	0	3927168.10836	78	
O97067	Probable peptidyl-tRNA hydrolase 2	26.34	4	7	0	59447.6665	7	
O97125	Heat shock protein 68	35.28	20	66	13	447971.7745	21	
O97172	UPF0729 protein CG18508	21.21	3	5	0	51811.034	4	
O97394	Protein sidekick	1.48	3	3	0	17252.13	2	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.82	3	3	3	83193.497	3	
O97477	Inositol-3-phosphate synthase	36.28	15	41	15	1945988.4849999999	39	
P00334	Alcohol dehydrogenase	85.16	20	241	20	19861557.6109	217	
P00408	Cytochrome c oxidase subunit 2	33.77	7	20	7	3077139.321	17	
P00522	Tyrosine-protein kinase Abl	3.7	4	4	0	4292.6608	2	
P02255	Histone H1	14.45	3	3	0	44130.875	3	
P02283	Histone H2B	54.47	8	74	8	1929586.76163	68	
P02299	Histone H3	52.21	6	34	2	4926872.3336	29	
P02515	Heat shock protein 22	32.76	6	14	6	379156.18707	14	
P02516	Heat shock protein 23	70.97	15	72	0	5655970.61738	70	
P02517	Heat shock protein 26	58.17	9	19	0	2281392.52231	19	
P02518	Heat shock protein 27	52.11	10	28	0	680774.1923999999	24	
P02572	Actin-42A	63.83	25	618	2	80972441.90054	529	
P02574	Actin, larval muscle	65.69	27	537	0	497666.59245999996	24	
P02828	Heat shock protein 83	59.27	42	143	0	7911739.59328	131	
P02843	Vitellogenin-1	73.35	27	218	0	7983385.885009999	166	
P02844	Vitellogenin-2	67.65	24	169	0	6581960.33675	129	
P04197	Myb protein	2.74	2	2	0	11302.936000000002	2	
P04359	Large ribosomal subunit protein eL32	18.66	3	8	3	674779.154	8	
P04388	Ras-like protein 2	33.33	5	7	5	51263.0309	6	
P05031	Aromatic-L-amino-acid decarboxylase	7.06	3	3	3	12358.6854	3	
P05205	Heterochromatin protein 1	32.52	7	16	7	96430.9969	15	
P05303	Elongation factor 1-alpha 2	59.74	24	115	0	1810492.496	16	
P05389	Large ribosomal subunit protein P2	29.2	3	18	3	1708540.4085000001	18	
P05552	Transcription factor Adf-1	12.21	3	3	0	72878.60699999999	3	
P05661	Myosin heavy chain, muscle	53.72	124	410	1	365451.5772	7	
P05812	Heat shock protein 67B1	11.91	5	6	5	66772.1372	5	
P06002	Opsin Rh1	8.85	3	8	3	224418.7182	8	
P06603	Tubulin alpha-1 chain	58.44	23	182	0	28644619.6263	165	
P06604	Tubulin alpha-2 chain	34.52	15	132	1	26573.774	2	
P06607	Vitellogenin-3	79.05	31	233	0	15828777.14101	206	
P06742	Myosin light chain alkali	41.94	6	120	0	11610410.645299999	103	
