Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 126, Sample, n/a, SFug_F3	Abundances Count: F8: 126, Sample, n/a, SFug_F3	Modifications
A0A0B4K692	Neprilysin-2	7.62	6	7	6	307017.8858	7	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	4.16	10	10	10	107744.14809	10	
A0A0B4KGY6	RNA-binding protein Pasilla	20.77	19	75	19	7773216.1829699995	67	
A0A0B7P9G0	Unextended protein	11.87	9	10	9	91600.6815	8	
A0A126GUP6	Melanization protease 1	31.25	10	14	9	212793.9175	11	
A0A1F4	Protein eyes shut	12.91	28	65	0	2629333.78853	59	
A1Z6H7	Nuclear pore membrane glycoprotein 210	3.2	5	5	5	17577.827100000002	4	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	21.73	13	17	11	220811.1507	14	
A1Z713	Intermembrane lipid transfer protein Vps13	0.96	3	3	3	21754.258700000002	3	
A1Z7G7	Latrophilin Cirl	1.24	2	2	0	7504.841600000001	2	
A1Z7T0	Serine/threonine-protein kinase N	3.78	4	4	0	15243.714100000001	4	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	10.1	5	6	1	19271.1292	4	
A1Z877	Nidogen	21.48	28	49	28	2642690.5885	46	
A1Z8D0	Periodic tryptophan protein 1 homolog	15.25	5	7	5	75828.5722	6	
A1Z8P9	Nucleoprotein TPR	24.08	56	65	0	721297.67423	61	
A1Z9A2	UPF0587 protein CG4646	24.54	4	8	0	499724.782	7	
A1Z9A8	Small ribosomal subunit protein mS39	19.33	9	11	9	181662.3768	11	
A1Z9E2	Protein lin-54 homolog	24.32	22	26	0	358193.62425	25	
A1Z9S1	Biogenesis of lysosome-related organelles complex 1 subunit 1	31.29	3	4	3	10876.48605	3	
A1Z9X0	Atypical protein kinase C	3.96	2	2	0	11137.106	1	
A1ZA47	PDZ and LIM domain protein Zasp	28.08	49	133	0	188375.13171	17	
A1ZA77	Transmembrane protein 208	10.92	2	2	2	55477.499	2	
A1ZAJ2	Kinesin-like protein unc-104	5.09	8	8	0	71716.436	8	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	7.36	7	7	0	128160.46656000002	7	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	6.75	2	2	2	9942.933	1	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	4.95	3	4	3	72058.16560000001	4	
A4VCL2	Extracellular serine/threonine protein CG31145	3.22	2	2	0	10506.6306	2	
A8DYH2	Ubiquitin-fold modifier 1	71.26	5	11	0	900772.3641	9	
A8DYP0	Protein Obscurin	1.87	8	8	8	43228.75554	8	
B7YZT2	Mitochondrial fission 1 protein	38.96	6	13	6	534456.5093	9	
