Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 130C, Sample, n/a, ctrl_pool_1	Abundance: F8: 131, Sample, n/a, ctrl_pool_2	Modifications
A0A0B4K692	Neprilysin-2	7.62	6	7	6	106758.204	135820.9774	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	4.16	10	10	10	186510.89578	208763.9309	
A0A0B4KGY6	RNA-binding protein Pasilla	20.77	19	75	19	9864302.76613	11049327.04008	
A0A0B7P9G0	Unextended protein	11.87	9	10	9	42925.22655	57393.875199999995	
A0A126GUP6	Melanization protease 1	31.25	10	14	9	130082.9321	160849.9145	
A0A1F4	Protein eyes shut	12.91	28	65	0	2740308.02697	3423438.8529	
A1Z6H7	Nuclear pore membrane glycoprotein 210	3.2	5	5	5	14448.4653	17424.0265	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	21.73	13	17	11	193289.9252	215856.85187	
A1Z713	Intermembrane lipid transfer protein Vps13	0.96	3	3	3	13918.575060000001	22893.8603	
A1Z7G7	Latrophilin Cirl	1.24	2	2	0	8417.45425	14368.0043	
A1Z7T0	Serine/threonine-protein kinase N	3.78	4	4	0	17713.5631	23174.9382	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	10.1	5	6	1	19552.482	22917.344	
A1Z877	Nidogen	21.48	28	49	28	1114639.68522	1502314.07157	
A1Z8D0	Periodic tryptophan protein 1 homolog	15.25	5	7	5	73408.47614	81661.9758	
A1Z8P9	Nucleoprotein TPR	24.08	56	65	0	1321244.0574999999	1613659.71607	
A1Z9A2	UPF0587 protein CG4646	24.54	4	8	0	322442.4388	451787.44200000004	
A1Z9A8	Small ribosomal subunit protein mS39	19.33	9	11	9	109087.60579999999	128013.4913	
A1Z9E2	Protein lin-54 homolog	24.32	22	26	0	452477.2947	586651.88726	
A1Z9S1	Biogenesis of lysosome-related organelles complex 1 subunit 1	31.29	3	4	3	11537.30155	13897.29172	
A1Z9X0	Atypical protein kinase C	3.96	2	2	0	7139.143	9674.205	
A1ZA47	PDZ and LIM domain protein Zasp	28.08	49	133	0	128811.1578	172382.0767	
A1ZA77	Transmembrane protein 208	10.92	2	2	2	53348.136	47918.947	
A1ZAJ2	Kinesin-like protein unc-104	5.09	8	8	0	71718.4208	100358.6418	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	7.36	7	7	0	222943.95010000002	299721.6479	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	6.75	2	2	2	18540.074	21781.215	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	4.95	3	4	3	38807.8714	45921.386	
A4VCL2	Extracellular serine/threonine protein CG31145	3.22	2	2	0	11976.2835	13711.521700000001	
A8DYH2	Ubiquitin-fold modifier 1	71.26	5	11	0	1130089.2110000001	1514004.59693	
A8DYP0	Protein Obscurin	1.87	8	8	8	45736.42219	51957.612	
B7YZT2	Mitochondrial fission 1 protein	38.96	6	13	6	484190.5185	509994.91183	
C0HK92	Uncharacterized protein CG45076	59.45	40	132	0	12849915.84095	14567870.2829	
C0HK94	Uncharacterized protein CG45078	64.42	14	34	12	1200810.91263	1380841.49407	
C0HK95	Protein anoxia up-regulated	87.02	12	67	10	3899630.53287	4457931.467	
C0HKA0	Small ribosomal subunit protein uS11A	47.68	7	23	0	1277916.3635	1863887.70825	
C0HL62	Larval cuticle protein 65Ab1	46.15	3	8	0	164405.928	386197.601	
C0HL66	Histone H3.3A	55.15	7	37	0	92493.0117	39365.72327	
C0HLZ9	Baramicin A1	17.51	4	6	0	202526.3498	269424.664	
C4NYP8	Hsc70-interacting protein 1	40.85	15	41	0	4693163.2262699995	5167984.6912	
E1JIT7	PH and SEC7 domain-containing protein	2.12	3	3	3	16313.7114	23034.9781	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	12.7	9	13	0	125298.7224	155261.6247	
M9NDE3	Protein bark beetle	4.42	14	14	14	82355.68723	110044.20214	
M9PF61	Aldo-keto reductase 1B	60.0	21	73	21	11867791.5464	16051474.8798	
M9PFN0	Phosphatase Herzog	21.88	7	13	7	110982.5651	166611.0875	
O01367	Protein held out wings	18.52	7	14	0	362195.5477	426843.02270000003	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	17.26	6	16	0	496669.7525	721539.4844	
O01666	ATP synthase subunit gamma, mitochondrial	59.26	19	142	19	11063762.181739999	11275764.85455	
O02194	Presenilin homolog	5.73	2	2	0	16708.14216	17830.746	
O02195	Eukaryotic translation initiation factor 3 subunit I	44.48	11	19	11	495452.05730000004	674554.7684	
O02649	Heat shock protein 60A	76.27	44	168	28	21403764.64608	26970019.96767	
O15943	Neural-cadherin	17.05	53	82	2	1619119.31115	2110617.51735	
O16797	Large ribosomal subunit protein uL3	15.62	8	13	8	372983.152	453647.157	
O17444	Vesicular acetylcholine transporter	10.9	5	7	5	67618.47284	85763.9551	
O17445	Large ribosomal subunit protein eL15	12.25	3	6	0	62962.048	69175.974	
O18333	Ras-related protein Rab-2	44.6	9	17	9	519492.94086000003	540749.9199	
O18334	Ras-related protein Rab6	33.17	8	22	0	93683.43400000001	119907.2709	
O18373	Inactive selenide, water dikinase-like protein	21.36	10	22	10	758517.22826	836380.78704	
O18388	Importin subunit beta	3.85	4	4	0	64137.057	88893.10380000001	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	83.53	18	148	18	15000784.00537	24997146.52655	
O18413	26S proteasome regulatory subunit 8	48.4	20	54	8	711304.5719	895852.32473	
O18640	Small ribosomal subunit protein RACK1	27.67	11	15	0	844045.6164	1094057.9141	
O44081	H/ACA ribonucleoprotein complex subunit 4	3.15	2	2	0	20020.268	16397.838	
O44342	Protein windbeutel	17.51	4	5	0	72354.9691	73734.3064	
