Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 127N, Sample, n/a, SFug_M1	Abundances Count: F5: 127N, Sample, n/a, SFug_M1	Modifications
A0A0B4K692	Neprilysin-2	4.01	3	4	3	14143.3738	4	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.79	10	14	10	31465.2729	9	
A0A0B4KGY6	RNA-binding protein Pasilla	23.21	19	70	19	1242119.4853	63	
A0A0B7P9G0	Unextended protein	5.4	5	6	5	20448.167950000003	5	
A0A126GUP6	Melanization protease 1	23.0	8	16	7	43185.64344	11	
A0A1F4	Protein eyes shut	9.56	22	68	0	313311.02954	52	
A1Z6H7	Nuclear pore membrane glycoprotein 210	2.93	6	7	6	5841.92865	3	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	14.17	11	23	10	88562.74826	15	
A1Z7G7	Latrophilin Cirl	0.41	1	1	0	588.8135	1	
A1Z7T0	Serine/threonine-protein kinase N	1.34	2	3	0	797.50415	1	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	9.07	4	4	1	3703.78889	3	
A1Z877	Nidogen	24.81	29	66	29	459579.33592	61	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	2	0	3187.9934	1	
A1Z8D0	Periodic tryptophan protein 1 homolog	6.75	3	3	3	511.20242	1	
A1Z8P9	Nucleoprotein TPR	19.69	51	83	0	99639.63603	50	
A1Z9A2	UPF0587 protein CG4646	30.67	5	10	0	66080.61265	9	
A1Z9A8	Small ribosomal subunit protein mS39	6.75	5	5	5	46103.09805	5	
A1Z9E2	Protein lin-54 homolog	24.95	21	43	0	89385.03922	30	
A1Z9X0	Atypical protein kinase C	2.97	2	2	0	7858.6991	2	
A1ZA47	PDZ and LIM domain protein Zasp	26.48	51	158	0	111309.41238	33	
A1ZA77	Transmembrane protein 208	10.92	2	5	2	34690.22324	4	
A1ZAJ2	Kinesin-like protein unc-104	3.41	6	6	0	6189.18714	4	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	9.78	10	12	0	8983.7989	4	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	11.11	3	3	3	5822.6557	2	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	3.05	2	2	2	12640.601999999999	2	
A4VCL2	Extracellular serine/threonine protein CG31145	3.79	2	2	0	4395.47846	2	
A8DYH2	Ubiquitin-fold modifier 1	66.67	4	8	0	100185.1308	6	
A8DYP0	Protein Obscurin	2.11	10	12	10	12469.0005	7	
B7YZT2	Mitochondrial fission 1 protein	40.91	6	9	6	161387.7487	8	
C0HK92	Uncharacterized protein CG45076	49.92	34	106	0	868321.45595	71	
C0HK94	Uncharacterized protein CG45078	50.92	11	31	9	145354.10296	19	
C0HK95	Protein anoxia up-regulated	87.02	11	88	9	320948.98085	48	
C0HKA0	Small ribosomal subunit protein uS11A	48.34	8	36	0	350842.43965	31	
C0HL62	Larval cuticle protein 65Ab1	8.65	1	4	0	36385.457200000004	4	
C0HL66	Histone H3.3A	52.94	8	63	0	30844.005299999997	3	
C0HLZ9	Baramicin A1	15.56	4	9	0	23504.972420000002	7	
C4NYP8	Hsc70-interacting protein 1	47.21	17	41	0	266622.54366	28	
E1JIT7	PH and SEC7 domain-containing protein	2.81	4	8	4	2723.8527	2	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	14.19	11	16	0	48822.17413	12	
M9NDE3	Protein bark beetle	3.91	13	19	13	39667.2833	11	
M9PF61	Aldo-keto reductase 1B	60.57	23	109	23	2696440.45295	98	
M9PFN0	Phosphatase Herzog	6.25	3	7	3	68411.28439999999	6	
O01367	Protein held out wings	21.48	8	10	0	24102.258130000002	8	
O01382	Caspase drICE	17.99	5	7	4	2643.42393	4	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.97	4	9	0	231090.0077	8	
O01666	ATP synthase subunit gamma, mitochondrial	58.92	19	129	19	2659205.59194	97	
O02194	Presenilin homolog	5.73	3	5	0	4508.954470000001	3	
O02195	Eukaryotic translation initiation factor 3 subunit I	24.23	7	23	7	242907.1549	20	
O02649	Heat shock protein 60A	73.47	40	183	25	3726093.46518	144	
O15943	Neural-cadherin	14.89	49	91	2	440676.88949000003	73	
O16797	Large ribosomal subunit protein uL3	15.62	7	14	7	36452.58122	11	
O17444	Vesicular acetylcholine transporter	11.25	5	6	5	38733.6285	3	
O17445	Large ribosomal subunit protein eL15	12.25	3	8	0	18822.2333	5	
O18333	Ras-related protein Rab-2	18.31	5	10	5	33476.8339	7	
O18334	Ras-related protein Rab6	18.75	5	16	0	6238.9765	2	
O18373	Inactive selenide, water dikinase-like protein	23.87	9	27	9	376460.00063	26	
O18388	Importin subunit beta	3.73	4	6	0	3909.43728	3	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	89.02	18	147	18	2722071.78682	98	
O18413	26S proteasome regulatory subunit 8	36.54	15	53	6	222416.52028	29	
O18640	Small ribosomal subunit protein RACK1	13.52	5	12	0	40440.53891	11	
O44081	H/ACA ribonucleoprotein complex subunit 4	6.3	4	4	0	24171.039099999998	2	
O44342	Protein windbeutel	19.46	5	10	0	27555.91706	8	
O44386	Integrin alpha-PS3	11.84	14	20	12	59903.28235	17	
O44437	Small nuclear ribonucleoprotein Sm D3	11.26	2	2	2	2080.8657	1	
O46037	Vinculin	53.69	50	137	0	1335644.52798	110	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	11.76	3	4	0	26135.8939	4	
O46098	LYR motif-containing protein 4 homolog	36.96	4	10	4	62425.765	6	
O46106	Splicing factor 3A subunit 3	9.15	5	10	5	52501.484300000004	8	
O61231	Large ribosomal subunit protein uL16	43.12	9	25	0	200684.7635	20	
O61305	DEAD-box helicase Dbp80	3.91	2	3	0	2994.8288000000002	3	
O61307	Teneurin-m	0.66	2	2	0	2249.3527	2	
O61443	Mitogen-activated protein kinase p38b	7.67	3	6	2	13322.5604	3	
O61491	Flotillin-1	48.83	23	81	23	792164.83708	66	
O61722	PRL-1 phosphatase	44.32	7	23	7	223173.30198	12	
O62619	Pyruvate kinase	69.23	27	80	27	1854994.6438	59	
O62621	Coatomer subunit beta'	3.17	3	4	3	4387.38734	3	
O76206	Putative riboflavin kinase	49.02	7	15	0	246860.475	12	
O76454	Pterin-4-alpha-carbinolamine dehydratase	23.96	3	7	3	99455.4522	6	
O76742	Ras-related protein Rab7	28.5	6	12	6	97137.05334	10	
O76878	RILP-like protein homolog	9.71	5	10	0	31658.1076	7	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	18.35	7	17	7	82528.58385	15	
O76927	Small ribosomal subunit protein eS21	50.6	5	22	0	203533.47511	15	
O77051	Transcription factor E2F2	22.97	9	14	0	19285.626	6	
O77263	tRNA (guanine-N(7)-)-methyltransferase	12.5	3	5	3	12547.0242	4	
O77277	Torsin-like protein	12.65	5	8	0	38457.16734	8	
O77410	Eukaryotic translation initiation factor 3 subunit E	3.68	2	2	2	2457.38424	2	
O77460	Inorganic pyrophosphatase	61.24	15	67	1	16420.727	1	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	15.39	17	27	0	47589.595219999996	21	
O96690	Protein PDF	23.53	1	1	1	715.8874	1	
O96827	Probable elongation factor 1-beta	83.78	18	82	0	1699825.88603	57	
O97067	Probable peptidyl-tRNA hydrolase 2	31.18	5	9	0	18309.93952	6	
O97125	Heat shock protein 68	24.09	13	89	6	114015.98771	19	
O97172	UPF0729 protein CG18508	29.29	3	8	0	43291.6072	7	
O97394	Protein sidekick	1.89	4	5	0	1280.1734999999999	2	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.17	3	6	3	15357.22684	5	
O97477	Inositol-3-phosphate synthase	33.81	15	58	15	645886.42538	44	
P00334	Alcohol dehydrogenase	88.28	21	200	21	18869989.90143	139	
P00408	Cytochrome c oxidase subunit 2	33.77	7	40	7	1300095.01843	33	
P00522	Tyrosine-protein kinase Abl	3.33	4	6	0	4175.4402	3	
P02255	Histone H1	14.45	3	6	0	20549.467259999998	5	
P02283	Histone H2B	56.91	8	70	8	830011.16013	50	
P02299	Histone H3	52.94	8	67	2	1087900.91672	53	
P02515	Heat shock protein 22	40.8	8	18	8	101906.6033	10	
P02516	Heat shock protein 23	84.41	16	83	0	3109549.29404	67	
P02517	Heat shock protein 26	57.69	10	30	0	793959.06992	20	
P02518	Heat shock protein 27	44.13	9	21	0	394425.336	20	
P02572	Actin-42A	64.1	25	768	2	29304090.0776	570	
P02574	Actin, larval muscle	65.96	25	672	0	977294.7384	21	
P02828	Heat shock protein 83	48.4	33	148	0	2179455.41857	125	
P02843	Vitellogenin-1	70.84	32	265	0	3954423.65304	161	
P02844	Vitellogenin-2	59.28	26	187	0	2320549.37532	107	
P04359	Large ribosomal subunit protein eL32	33.58	5	17	5	174591.7509	13	
P04388	Ras-like protein 2	13.02	2	10	2	32729.99519	9	
P05031	Aromatic-L-amino-acid decarboxylase	10.78	5	9	5	11476.51488	7	
P05205	Heterochromatin protein 1	36.89	8	22	8	152271.96664	19	
P05303	Elongation factor 1-alpha 2	68.4	29	177	0	1559721.65955	30	
P05389	Large ribosomal subunit protein P2	31.86	4	18	4	465638.0204	16	
P05552	Transcription factor Adf-1	7.63	2	5	0	18194.225899999998	5	
P05661	Myosin heavy chain, muscle	50.46	119	519	1	9927.80366	10	
P05812	Heat shock protein 67B1	12.13	5	7	5	12375.798040000001	5	
P06002	Opsin Rh1	4.56	2	8	2	33328.11371	6	
P06603	Tubulin alpha-1 chain	64.67	27	183	0	14022471.135569999	128	
P06604	Tubulin alpha-2 chain	38.75	18	147	1	2239.383	1	
P06607	Vitellogenin-3	82.14	33	299	0	4400920.20169	207	
P06742	Myosin light chain alkali	56.77	11	71	0	5043148.34756	43	
P07207	Neurogenic locus Notch protein	0.48	1	1	0	4061.5125	1	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	70.18	22	133	9	1281814.38815	40	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	84.04	23	156	0	7142861.49831	126	
P07665	Serendipity locus protein beta	8.43	4	5	0	811.2053	1	
P07668	Choline O-acetyltransferase	7.63	5	6	5	13008.1916	4	
P07764	Fructose-bisphosphate aldolase	93.63	43	422	0	13137587.15076	313	
P08111	Lethal(2) giant larvae protein	5.43	7	9	0	10835.51818	7	
P08120	Collagen alpha-1(IV) chain	5.96	7	22	7	169952.53085	22	
P08144	Alpha-amylase A	18.22	8	15	0	185470.84214	12	
P08171	Esterase-6	13.24	9	22	0	112064.7461	20	
P08182	Casein kinase II subunit beta	38.72	8	38	2	412953.33419	31	
