"protein_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"O16797",0.700026653213753,16.6512775871783,18.4387682295802,3.48372322398207e-09,5.8108503376021e-06,11.6105244174439
"Q9VC18",0.677337048443512,18.1282760796353,16.0579539618705,1.37235462888217e-08,1.14454376048773e-05,10.3639303359565
"Q9VN13",0.490525440369574,16.9081536405495,14.0384330823103,5.13829690467843e-08,2.85689307900121e-05,9.11584932903829
"Q9VNE9",0.66223218560279,18.7720088912541,13.1324308314396,9.83864788089298e-08,3.64920689718032e-05,8.48725078738745
"Q9VQE0",0.57893034694257,17.2771467791299,12.6418691283756,1.42258503835077e-07,3.64920689718032e-05,8.12669575952132
"Q9VXP3",0.672862129146633,14.5222380106146,12.5275795513419,1.55304047543036e-07,3.64920689718032e-05,8.04053181017381
"Q9VLC5",0.533100280623366,21.6850374737522,12.5073264120281,1.57749298834437e-07,3.64920689718032e-05,8.0251753546716
"Q9VC06",0.651655167867563,16.2787785075986,12.3716580673597,1.75254161715294e-07,3.64920689718032e-05,7.92162185943102
"Q9VFZ4",0.639562902078254,16.4804537361971,12.2230357572498,1.96899652725557e-07,3.64920689718032e-05,7.80679291335136
"Q9W370",0.583547445019452,18.3204812365226,11.7639847975504,2.84417612500198e-07,4.4049965444085e-05,7.44267042015027
"P48596",0.457556396197216,21.8400422654538,11.6710791928301,3.06861922111973e-07,4.4049965444085e-05,7.36718860570205
"P41093",0.623397237729097,18.8355796054782,11.5761592577522,3.31804367560369e-07,4.4049965444085e-05,7.28943142043022
"P21187",0.580871936934628,18.8453311878769,11.4889776968987,3.56671469071939e-07,4.4049965444085e-05,7.21743791133399
"Q9VA42",-0.52730769138142,20.44637604246,-11.4458328838351,3.69723930585845e-07,4.4049965444085e-05,7.18160364776904
"Q0E9B6",0.42712200214967,19.0471253430896,11.3564583917212,3.98451083096741e-07,4.41501699226886e-05,7.1069354411699
"Q9VZU7",0.483502751290402,17.4764925762768,11.2806876799292,4.24717230824306e-07,4.41501699226886e-05,7.04316618875509
"Q8IN44",-0.480054656949751,19.9397899008626,-11.2125073794937,4.49971755806778e-07,4.41501699226886e-05,6.98541563245442
"P17336",0.564301229115877,20.6951623777099,11.1061214413097,4.92710095650285e-07,4.56578021969264e-05,6.89459723474048
"Q9VHR8",0.52279870593258,20.3322073283353,10.9698968494169,5.54021663781673e-07,4.86372702730437e-05,6.77703204541076
"O97125",0.537872792050312,18.4053353355981,10.7175086368186,6.90787051960269e-07,5.76116401334864e-05,6.5553506846339
"X2JAU8",-0.420848631305201,21.7818985247322,-10.5634979551303,7.92065749441175e-07,6.29126509556134e-05,6.41755307440762
"Q9VXQ0",0.647839252227998,14.9702186953671,10.4559368940628,8.72358028747211e-07,6.61405996341067e-05,6.32015464371672
"Q9VZF6",0.627736242643975,15.0380570115786,10.3235128129352,9.83612343541076e-07,6.70466592503295e-05,6.19890853590202
"Q9VEY0",0.48806611806226,18.0375391887424,10.31114825052,9.9476382625711e-07,6.70466592503295e-05,6.18751169848498
"Q9VIE8",0.540427659600912,24.8202962323816,10.2525116031065,1.04955627788386e-06,6.70466592503295e-05,6.13328604077682
"P09180",0.361481455578033,20.6643489681242,10.2231691039426,1.07820202356837e-06,6.70466592503295e-05,6.10603982620273
"Q24276",-0.452482484912029,18.7619292187209,-10.1673655432627,1.13505864773117e-06,6.70466592503295e-05,6.05401732228099
"Q9VLB7",0.462060910732596,20.9029181391919,10.1496976557687,1.15373419408193e-06,6.70466592503295e-05,6.03749010900245
"Q9VNB9",0.734286335244636,18.8272865429815,10.138559576662,1.16567932749374e-06,6.70466592503295e-05,6.02705712402085
"Q9VFQ9",0.445307743632576,19.0872762215348,10.083092522217,1.22720547582498e-06,6.82326244558691e-05,5.97493956422808
"Q9VHC3",0.457015836325521,17.1483476542039,9.9858289868395,1.34380525828523e-06,7.17094469759409e-05,5.88289399810968
"A1Z803",0.502810500204976,18.7241072580702,9.93403932370247,1.41076919601434e-06,7.17094469759409e-05,5.83353900434879
"Q9VG42",-0.84280439443549,16.2097515532707,-9.92807448090432,1.41871208045926e-06,7.17094469759409e-05,5.82783912757083
"Q9V3N7",0.393187325729443,20.4323002652192,9.79657768046727,1.60678409900347e-06,7.8826937562876e-05,5.7013663031442
"Q7JPS2",-0.474778117691947,20.6985184536622,-9.73426152154745,1.7052472088873e-06,8.12672098406862e-05,5.64088003783348
