Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 127C, Sample, n/a, SF1g_F3	Abundances Count: F8: 127C, Sample, n/a, SF1g_F3	Modifications
A0A0B4K692	Neprilysin-2	7.62	6	7	6	214144.5382	7	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	4.16	10	10	10	87351.96622999999	8	
A0A0B4KGY6	RNA-binding protein Pasilla	20.77	19	75	19	8192397.75703	66	
A0A0B7P9G0	Unextended protein	11.87	9	10	9	52428.0271	9	
A0A126GUP6	Melanization protease 1	31.25	10	14	9	258667.0437	11	
A0A1F4	Protein eyes shut	12.91	28	65	0	1921367.68291	58	
A1Z6H7	Nuclear pore membrane glycoprotein 210	3.2	5	5	5	12235.93612	4	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	21.73	13	17	11	198102.13584	14	
A1Z713	Intermembrane lipid transfer protein Vps13	0.96	3	3	3	14450.622900000002	3	
A1Z7G7	Latrophilin Cirl	1.24	2	2	0	9324.1556	2	
A1Z7T0	Serine/threonine-protein kinase N	3.78	4	4	0	10079.3691	4	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	10.1	5	6	1	26419.2022	4	
A1Z877	Nidogen	21.48	28	49	28	2262283.9722	46	
A1Z8D0	Periodic tryptophan protein 1 homolog	15.25	5	7	5	73363.8418	6	
A1Z8P9	Nucleoprotein TPR	24.08	56	65	0	743980.93298	58	
A1Z9A2	UPF0587 protein CG4646	24.54	4	8	0	505042.6191	7	
A1Z9A8	Small ribosomal subunit protein mS39	19.33	9	11	9	175707.60706	11	
A1Z9E2	Protein lin-54 homolog	24.32	22	26	0	353164.3356	26	
A1Z9S1	Biogenesis of lysosome-related organelles complex 1 subunit 1	31.29	3	4	3	11179.58054	3	
A1Z9X0	Atypical protein kinase C	3.96	2	2	0	5432.571	1	
A1ZA47	PDZ and LIM domain protein Zasp	28.08	49	133	0	205324.122	19	
A1ZA77	Transmembrane protein 208	10.92	2	2	2	38554.209	2	
A1ZAJ2	Kinesin-like protein unc-104	5.09	8	8	0	67621.2393	8	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	7.36	7	7	0	141073.71881	7	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	6.75	2	2	2	11047.637	1	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	4.95	3	4	3	57607.1278	4	
A4VCL2	Extracellular serine/threonine protein CG31145	3.22	2	2	0	11251.645	2	
A8DYH2	Ubiquitin-fold modifier 1	71.26	5	11	0	972451.4707000001	10	
A8DYP0	Protein Obscurin	1.87	8	8	8	33479.9543	8	
B7YZT2	Mitochondrial fission 1 protein	38.96	6	13	6	429844.61100000003	9	
