Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 127N, Sample, n/a, SFug_M3	Abundances Count: F8: 127N, Sample, n/a, SFug_M3	Modifications
A0A0B4K692	Neprilysin-2	7.62	6	7	6	236137.5777	7	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	4.16	10	10	10	93899.4398	9	
A0A0B4KGY6	RNA-binding protein Pasilla	20.77	19	75	19	8914761.14886	65	
A0A0B7P9G0	Unextended protein	11.87	9	10	9	81771.2943	8	
A0A126GUP6	Melanization protease 1	31.25	10	14	9	200824.34373999998	11	
A0A1F4	Protein eyes shut	12.91	28	65	0	1842597.8583199999	59	
A1Z6H7	Nuclear pore membrane glycoprotein 210	3.2	5	5	5	15015.0265	4	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	21.73	13	17	11	206739.86983	15	
A1Z713	Intermembrane lipid transfer protein Vps13	0.96	3	3	3	16896.079719999998	3	
A1Z7G7	Latrophilin Cirl	1.24	2	2	0	10312.6221	2	
A1Z7T0	Serine/threonine-protein kinase N	3.78	4	4	0	11337.86644	4	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	10.1	5	6	1	15205.9957	4	
A1Z877	Nidogen	21.48	28	49	28	2415405.8337	46	
A1Z8D0	Periodic tryptophan protein 1 homolog	15.25	5	7	5	66206.299	6	
A1Z8P9	Nucleoprotein TPR	24.08	56	65	0	469316.65954	57	
A1Z9A2	UPF0587 protein CG4646	24.54	4	8	0	439577.7654	7	
A1Z9A8	Small ribosomal subunit protein mS39	19.33	9	11	9	166524.77665	11	
A1Z9E2	Protein lin-54 homolog	24.32	22	26	0	304728.16053	25	
A1Z9S1	Biogenesis of lysosome-related organelles complex 1 subunit 1	31.29	3	4	3	12291.93174	3	
A1Z9X0	Atypical protein kinase C	3.96	2	2	0	8704.169	1	
A1ZA47	PDZ and LIM domain protein Zasp	28.08	49	133	0	247121.4184	19	
A1ZA77	Transmembrane protein 208	10.92	2	2	2	30967.145	2	
A1ZAJ2	Kinesin-like protein unc-104	5.09	8	8	0	60853.27835	8	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	7.36	7	7	0	118670.79631	6	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	6.75	2	2	2	12893.494	1	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	4.95	3	4	3	79536.375	4	
A4VCL2	Extracellular serine/threonine protein CG31145	3.22	2	2	0	9404.6443	2	
A8DYH2	Ubiquitin-fold modifier 1	71.26	5	11	0	848692.11085	10	
A8DYP0	Protein Obscurin	1.87	8	8	8	22097.07268	8	
B7YZT2	Mitochondrial fission 1 protein	38.96	6	13	6	440457.63056	10	
C0HK92	Uncharacterized protein CG45076	59.45	40	132	0	4391954.84001	117	
C0HK94	Uncharacterized protein CG45078	64.42	14	34	12	702511.4725	23	
C0HK95	Protein anoxia up-regulated	87.02	12	67	10	1938236.26676	45	
C0HKA0	Small ribosomal subunit protein uS11A	47.68	7	23	0	1468972.50055	21	
C0HL62	Larval cuticle protein 65Ab1	46.15	3	8	0	165174.0741	8	
C0HL66	Histone H3.3A	55.15	7	37	0	48400.914	5	
C0HLZ9	Baramicin A1	17.51	4	6	0	104457.61140000001	5	
C4NYP8	Hsc70-interacting protein 1	40.85	15	41	0	1436309.142	39	
E1JIT7	PH and SEC7 domain-containing protein	2.12	3	3	3	12396.7775	2	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	12.7	9	13	0	172054.39457	12	
M9NDE3	Protein bark beetle	4.42	14	14	14	108720.84798	12	
M9PF61	Aldo-keto reductase 1B	60.0	21	73	21	11540358.305499999	69	
M9PFN0	Phosphatase Herzog	21.88	7	13	7	111904.3643	10	
O01367	Protein held out wings	18.52	7	14	0	248119.13725	12	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	17.26	6	16	0	738592.8828	13	
O01666	ATP synthase subunit gamma, mitochondrial	59.26	19	142	19	12996129.7501	127	
O02194	Presenilin homolog	5.73	2	2	0	14066.439	1	
O02195	Eukaryotic translation initiation factor 3 subunit I	44.48	11	19	11	1128960.1701	18	
O02649	Heat shock protein 60A	76.27	44	168	28	17743974.21743	147	
O15943	Neural-cadherin	17.05	53	82	2	1861234.33682	78	
O16797	Large ribosomal subunit protein uL3	15.62	8	13	8	159626.8607	12	
O17444	Vesicular acetylcholine transporter	10.9	5	7	5	90523.7011	5	
O17445	Large ribosomal subunit protein eL15	12.25	3	6	0	21968.8954	3	
O18333	Ras-related protein Rab-2	44.6	9	17	9	505821.72813999996	17	
O18334	Ras-related protein Rab6	33.17	8	22	0	149573.0135	8	
O18373	Inactive selenide, water dikinase-like protein	21.36	10	22	10	1168892.9282	21	
O18388	Importin subunit beta	3.85	4	4	0	69187.94902	4	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	83.53	18	148	18	13874470.75256	120	
