Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 130C, Sample, n/a, ctrl_pool_1	Abundance: F5: 131, Sample, n/a, ctrl_pool_2	Modifications
A0A0B4K692	Neprilysin-2	4.01	3	4	3	12694.29245	11591.24217	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.79	10	14	10	75120.4748	52012.290199999996	
A0A0B4KGY6	RNA-binding protein Pasilla	23.21	19	70	19	2271608.8363	1757886.42865	
A0A0B7P9G0	Unextended protein	5.4	5	6	5	18968.00113	18227.12143	
A0A126GUP6	Melanization protease 1	23.0	8	16	7	48765.989310000004	36018.303	
A0A1F4	Protein eyes shut	9.56	22	68	0	807487.36505	586759.3787	
A1Z6H7	Nuclear pore membrane glycoprotein 210	2.93	6	7	6	9359.6044	9197.4969	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	14.17	11	23	10	163955.22367	133186.0919	
A1Z713	Intermembrane lipid transfer protein Vps13	0.27	1	1	1	657.6401	467.70508	
A1Z7G7	Latrophilin Cirl	0.41	1	1	0	1549.5828	986.90063	
A1Z7T0	Serine/threonine-protein kinase N	1.34	2	3	0	1754.74	972.8829	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	9.07	4	4	1	4924.39032	5257.283149999999	
A1Z877	Nidogen	24.81	29	66	29	471989.35168	357647.50504	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	2	0	8665.3295	5915.2231	
A1Z8D0	Periodic tryptophan protein 1 homolog	6.75	3	3	3	895.492	2010.77677	
A1Z8P9	Nucleoprotein TPR	19.69	51	83	0	387717.10654	286084.62208	
A1Z9A2	UPF0587 protein CG4646	30.67	5	10	0	87991.7119	71901.2378	
A1Z9A8	Small ribosomal subunit protein mS39	6.75	5	5	5	42254.33384	37450.78690000001	
A1Z9E2	Protein lin-54 homolog	24.95	21	43	0	253059.44183	183742.28522	
A1Z9X0	Atypical protein kinase C	2.97	2	2	0	14088.751	11029.4884	
A1ZA47	PDZ and LIM domain protein Zasp	26.48	51	158	0	78106.79571	53136.20757	
A1ZA77	Transmembrane protein 208	10.92	2	5	2	56228.0232	43369.6661	
A1ZAJ2	Kinesin-like protein unc-104	3.41	6	6	0	11025.855	8294.1112	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	9.78	10	12	0	36347.91247	28915.56958	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	11.11	3	3	3	9211.53666	7549.2919	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	3.05	2	2	2	10580.0236	8981.493999999999	
A4VCL2	Extracellular serine/threonine protein CG31145	3.79	2	2	0	9318.8298	6241.1371	
A8DYH2	Ubiquitin-fold modifier 1	66.67	4	8	0	228965.5949	175659.4701	
A8DYP0	Protein Obscurin	2.11	10	12	10	48027.80664	31008.73486	
