Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 127N, Sample, n/a, SFug_M2	Abundances Count: F5: 127N, Sample, n/a, SFug_M2	Modifications
A0A0B4K692	Neprilysin-2	5.43	4	5	4	31565.8666	5	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.16	7	9	7	24865.054529999998	6	
A0A0B4KGY6	RNA-binding protein Pasilla	26.79	19	67	19	1505498.10452	55	
A0A0B7P9G0	Unextended protein	3.96	3	3	3	6016.5162	2	
A0A126GUP6	Melanization protease 1	25.5	8	12	7	70066.4976	9	
A0A1F4	Protein eyes shut	12.13	24	45	0	384481.01266	37	
A1Z6H7	Nuclear pore membrane glycoprotein 210	0.48	1	1	1	3096.9363	1	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	18.11	11	17	9	111379.1917	16	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	3.92	2	2	0	5814.6231	2	
A1Z877	Nidogen	18.37	23	35	23	356378.48497	32	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	3	0	11680.535899999999	2	
A1Z8D0	Periodic tryptophan protein 1 homolog	3.92	2	2	2	17621.1744	2	
A1Z8P9	Nucleoprotein TPR	20.29	45	54	0	177946.74822	42	
A1Z9A2	UPF0587 protein CG4646	36.2	6	8	0	114982.6229	8	
A1Z9A8	Small ribosomal subunit protein mS39	7.67	5	6	5	60601.2852	6	
A1Z9E2	Protein lin-54 homolog	8.95	9	9	0	39073.0658	8	
A1ZA47	PDZ and LIM domain protein Zasp	25.71	45	119	0	81967.45053999999	18	
A1ZA77	Transmembrane protein 208	6.9	1	3	1	28847.0193	3	
A1ZAJ2	Kinesin-like protein unc-104	1.32	2	2	0	7506.837299999999	2	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	5.71	6	6	0	31974.2477	4	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	4.37	1	1	1	2470.5044	1	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	1.71	1	1	1	2645.9297	1	
A4VCL2	Extracellular serine/threonine protein CG31145	2.08	1	1	0	4283.7627	1	
A8DYH2	Ubiquitin-fold modifier 1	49.43	4	11	0	145926.28280000002	8	
